schema_namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,submitted_tua
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,2d19d6c1-34aa-43e0-afa8-36cef0831c28,ea0c03d5-df91-40b0-8558-4b5cb433094e,2020-03-22 21:26:16.903515,2020-03-22 21:33:06.414812,409.511297,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A4,Excellent job! (artfully and fairly presenting a very difficult subject),05ae42f5-ddbd-44a4-9d96-20b296e03a82,4f7e18a1-f2bb-4575-b375-d62700f6d62b,Excellent job! (artfully and fairly presenting a very difficult subject),1,1,"[{""case_number"": 1, ""text"": ""The report was written in September 2005 and was voiced by the Frenchman Alexander Adler in his book \u201cThe New CIA Report on What the World Will Be in 2020\u201d . The book was published in Western countries in 2005 - 2009"", ""answer_id"": 5936, ""end"": 589, ""start"": 373}]"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,2d19d6c1-34aa-43e0-afa8-36cef0831c28,ea0c03d5-df91-40b0-8558-4b5cb433094e,2020-03-22 21:26:16.903515,2020-03-22 21:33:06.414812,409.511297,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A2,2,f8b9aa2b-b0c4-478b-a31a-eabc42101dcb,e0316c3c-7e0b-4b7f-a249-621f6bdaee08,2,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,2d19d6c1-34aa-43e0-afa8-36cef0831c28,ea0c03d5-df91-40b0-8558-4b5cb433094e,2020-03-22 21:26:16.903515,2020-03-22 21:33:06.414812,409.511297,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A9,9,2e6d8c3f-c8e5-485e-bf50-0827f607c446,38433479-8cb0-46ff-a0f6-971aa8688d78,9,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,c61809b6-161e-4fe5-bcb7-1bfa3588b3e4,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-23 05:25:05.492579,2020-03-23 05:28:42.275402,216.782823,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A13,Nothing wrong with language,f2a393ae-f059-46bc-bd39-c4eadd7bdfcc,6cef0ee7-4a7e-483a-8e07-c848fbb32386,Nothing wrong with language,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,c61809b6-161e-4fe5-bcb7-1bfa3588b3e4,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-23 05:25:05.492579,2020-03-23 05:28:42.275402,216.782823,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A3,Great job!,ad9d6dee-f385-4847-be82-eca6f4bf6847,702e8197-f877-47b9-b4ee-0f08e5860086,Great job!,1,1,"[{""case_number"": 1, ""text"": ""a retelling of the 2005 CIA report appeared on the subject \u201cWhat will the"", ""answer_id"": 5935, ""end"": 237, ""start"": 164}]"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,c61809b6-161e-4fe5-bcb7-1bfa3588b3e4,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-23 05:25:05.492579,2020-03-23 05:28:42.275402,216.782823,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A3,3,8983ed40-7485-4a46-b87f-df64af2061f8,1f7d6f68-75db-4fbe-bf94-a845e3dbba3e,3,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,c61809b6-161e-4fe5-bcb7-1bfa3588b3e4,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-23 05:25:05.492579,2020-03-23 05:28:42.275402,216.782823,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A7,7,82a67310-fc33-41da-9658-a0ec596bfc31,be5e8c9c-1c24-4637-9cc0-79fa8f7734cf,7,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,9deb0efa-132f-4b05-ab0f-9f913f7e3a34,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-23 05:39:58.184033,2020-03-23 05:40:25.744547,27.560514,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A13,Nothing wrong with language,f2a393ae-f059-46bc-bd39-c4eadd7bdfcc,24fdcb55-3969-433d-a95b-452058444842,Nothing wrong with language,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,9deb0efa-132f-4b05-ab0f-9f913f7e3a34,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-23 05:39:58.184033,2020-03-23 05:40:25.744547,27.560514,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,1199a2a4-c9c4-4e74-a4c6-a43535f5b7aa,ab558f74-1768-49f8-b15d-fb7cd6be3927,Nope,0,0,[]
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2828,3d2ef8e4-6aa6-401d-988f-40612ce49f28,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,4,4,9deb0efa-132f-4b05-ab0f-9f913f7e3a34,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-23 05:39:58.184033,2020-03-23 05:40:25.744547,27.560514,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A2,2,f8b9aa2b-b0c4-478b-a31a-eabc42101dcb,a5661b42-77c1-4b57-b3de-192a3ac640dd,2,0,0,[]
