article_filename,article_sha256,namespace,start_pos,end_pos,category,case_number,target_text
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,390,546,Arguments,1,"research suggests that rather than lying in bed miserably counting imaginary sheep, insomniacs should get out among some real ones and try a spot of camping"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,549,646,Arguments,1,"If a person wants to go to bed at an earlier hour, then a weekend camping could be just the thing"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,1052,1221,Arguments,2,"a stint in the countryside is able to rapidly shift the timing forward by two and a half hours, allowing campers to go to bed at a civilised hour once they returned home"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,1510,1632,Quoted Sources,1,"If a person wants to go to bed at an earlier hour, then a weekend camping could be just the thing,” said Dr Kenneth Wright"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,1658,1838,Quoted Sources,1,Our findings demonstrate that living in our modern environment contributes to late circadian timing regardless of season and that a weekend camping trip can reset our clock rapidly
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,2636,2645,Quoted Sources,1,Dr Wright
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,2744,3053,Quoted Sources,1,"Our findings highlight an opportunity for architectural design to bring in more natural sunlight into the modern built environment and to work with lighting companies to incorporate tunable lighting that would be able to change across the day and night to enhance performance, health, and well-being,"" he said"
1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,nan,470,511,Arguments,1,physicists are questioning the conclusion
1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,nan,4175,4360,Arguments,1,"statistical techniques used by the original team were too simplistic, and were based on a model devised in the 1930s, which can't reliability be applied to the growing supernova dataset"
1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,nan,4363,4506,Arguments,1,"They also mention that the cosmic microwave background isn't directly affected by dark energy, so only serves as an ""indirect"" type of evidence"
1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,nan,2939,3053,Fact-check,1,NASA and ESA scientists found that the Universe could be expanding around 8 percent faster than originally thought
