task_pybossa_id,taskrun_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,contributor_id,created,finish_time,elapsed_seconds,anno_id,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,1,,Quoted Sources,1,1145,1313,"according to data compiled by SportVU client manager Matt Scott at FiveThirtyEight’s request, the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,1,,Quoted Sources,1,2670,2897,"San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,2,,Fact-check,1,1630,1693,where players complained about struggling with depth perception,3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,3,,Arguments,1,298,340,the club’s perennially outstanding defense,3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,3,,Arguments,1,343,722,"No team over the past two decades has been better at getting stops than the Spurs, who not only stand as the NBA’s best defense this year, but have ranked among the top 10 in defensive efficiency in 17 of the past 20 seasons.

In particular, dating back to last season, the Spurs have been fantastic at taking away corner 3-pointers, arguably the most valuable shot in basketball",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,3,,Arguments,1,1239,1375,"the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league; this year, they’re third from the bottom with a similar rate",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,3,,Arguments,1,2630,3098,"Beyond that, there’s also the fact that San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would. Kawhi Leonard and Danny Green, the team’s two best wing defenders, have been impactful when contesting shots, holding shooters to a combined 5-of-24 this season when closing out on corner three-point",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,3,,Arguments,1,2411,2626,"Still, that wouldn’t explain this season, given that the Rockets, Pelicans and Mavericks are all hitting corner 3s at about league-average rates, while the Grizzlies rank third best in the NBA in the category so far",3110
1016,2370,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,17,32:04.0,53:28.0,1284.008421,4,,Arguments,2,1831,2408,"But while the numbers may represent an aberration — there’s an intelligent argument to be made that 3-point defense is somewhat random — a couple of things could explain how San Antonio has avoided getting burned from the corners. Last season, for example, the Spurs played in a division where the majority of the teams were among the NBA’s worst at connecting on corner 3-point tries. That meant they got to play against Memphis (worst), New Orleans (third-worst) and Houston (ninth-worst) four times each, whereas the majority of clubs wouldn’t have had that same opportunity",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,5,,Quoted Sources,1,1145,1313,"according to data compiled by SportVU client manager Matt Scott at FiveThirtyEight’s request, the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,5,,Quoted Sources,1,2670,2795,"San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,6,,Fact-check,1,1630,1693,where players complained about struggling with depth perception,3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,298,340,the club’s perennially outstanding defense,3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,343,722,"No team over the past two decades has been better at getting stops than the Spurs, who not only stand as the NBA’s best defense this year, but have ranked among the top 10 in defensive efficiency in 17 of the past 20 seasons.

In particular, dating back to last season, the Spurs have been fantastic at taking away corner 3-pointers, arguably the most valuable shot in basketball",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,724,939,"But is some of that due to sheer luck?

San Antonio, after holding opponents to 33 percent from the corners last season (second best, behind the Clippers), is limiting foes to an NBA-low 33 percent again this season",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,1239,1375,"the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league; this year, they’re third from the bottom with a similar rate",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,2630,3098,"Beyond that, there’s also the fact that San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would. Kawhi Leonard and Danny Green, the team’s two best wing defenders, have been impactful when contesting shots, holding shooters to a combined 5-of-24 this season when closing out on corner three-point",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,7,,Arguments,1,2411,2592,"Still, that wouldn’t explain this season, given that the Rockets, Pelicans and Mavericks are all hitting corner 3s at about league-average rates, while the Grizzlies rank third best",3110
1016,2371,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,2,31:30.9,56:06.0,1475.065943,8,,Arguments,2,1883,2408,"there’s an intelligent argument to be made that 3-point defense is somewhat random — a couple of things could explain how San Antonio has avoided getting burned from the corners. Last season, for example, the Spurs played in a division where the majority of the teams were among the NBA’s worst at connecting on corner 3-point tries. That meant they got to play against Memphis (worst), New Orleans (third-worst) and Houston (ninth-worst) four times each, whereas the majority of clubs wouldn’t have had that same opportunity",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,9,,Quoted Sources,1,1134,1313,"Last year, according to data compiled by SportVU client manager Matt Scott at FiveThirtyEight’s request, the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,9,,Quoted Sources,1,2670,2795,"San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,10,,Fact-check,1,1630,1693,where players complained about struggling with depth perception,3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,11,,Arguments,1,298,340,the club’s perennially outstanding defense,3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,11,,Arguments,1,343,675,"No team over the past two decades has been better at getting stops than the Spurs, who not only stand as the NBA’s best defense this year, but have ranked among the top 10 in defensive efficiency in 17 of the past 20 seasons.

In particular, dating back to last season, the Spurs have been fantastic at taking away corner 3-pointers",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,11,,Arguments,1,1239,1375,"the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league; this year, they’re third from the bottom with a similar rate",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,11,,Arguments,1,2630,3098,"Beyond that, there’s also the fact that San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would. Kawhi Leonard and Danny Green, the team’s two best wing defenders, have been impactful when contesting shots, holding shooters to a combined 5-of-24 this season when closing out on corner three-point",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,12,,Arguments,2,1883,2408,"there’s an intelligent argument to be made that 3-point defense is somewhat random — a couple of things could explain how San Antonio has avoided getting burned from the corners. Last season, for example, the Spurs played in a division where the majority of the teams were among the NBA’s worst at connecting on corner 3-point tries. That meant they got to play against Memphis (worst), New Orleans (third-worst) and Houston (ninth-worst) four times each, whereas the majority of clubs wouldn’t have had that same opportunity",3110
1016,2372,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,25,31:38.9,57:15.0,1536.136828,12,,Arguments,2,2411,2626,"Still, that wouldn’t explain this season, given that the Rockets, Pelicans and Mavericks are all hitting corner 3s at about league-average rates, while the Grizzlies rank third best in the NBA in the category so far",3110
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,13,,Quoted Sources,1,120,126,Stacey,10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,13,,Quoted Sources,1,179,293,"In moderation, it’s O.K.,” she said of marijuana use during pregnancy. Credit Jennifer Sens for The New York Times",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,13,,Quoted Sources,1,691,945,"I wouldn’t necessarily say, ‘Go smoke a pound of pot when you’re pregnant,’” said Stacey, now a stay-at-home mother in Deltona, Fla., who asked that her full name be withheld because street-bought marijuana is illegal in Florida. “In moderation, it’s O.K",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,13,,Quoted Sources,1,10073,10116,"I don’t have to smoke as much anymore,” she",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,14,,Quoted Sources,2,3749,3963,"Prenatal exposure can affect the adolescent pretty significantly,” said Dr. Lauren M. Jansson, the director of pediatrics at the Center for Addiction and Pregnancy at the Johns Hopkins University School of Medicine",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,15,,Quoted Sources,3,2044,2339,"There is an increased perception of the safety of cannabis use, even in pregnancy, without data to say it’s actually safe,” said Dr. Torri Metz, an obstetrician at Denver Health Medical Center who specializes in high-risk pregnancies. Ten percent of her patients acknowledge recent marijuana use",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,16,,Quoted Sources,4,6296,6625,"In a statement, C.D.C. officials expressed concern about memory and attention problems among children exposed to THC in utero.

“While current evidence on health consequences is inconsistent, some studies have found risks associated with marijuana use during pregnancy, such as low birth weight or preterm birth,” the agency said",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,17,,Quoted Sources,5,6628,6867,"Dr. Marie McCormick, a pediatrician and the chairwoman of a new report on cannabis from the National Academies of Sciences, Engineering and Medicine, said smoking cannabis “does confer, in terms of birth weight, the same risk as cigarettes",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,18,,Quoted Sources,6,7008,7313,"That’s why some providers and lay people alike think there’s no effect,” said Dr. Erica Wymore, a neonatologist at Children’s Hospital Colorado. But she warned, “Just because they don’t have a major birth defect or overt withdrawal symptoms doesn’t mean the baby’s neurological development is not impacted",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,19,,Quoted Sources,7,9455,9777,"Women are thinking of this as medical marijuana in that they are treating some condition,” said Elizabeth Nash, a policy analyst at the Guttmacher Institute who researches substance abuse in pregnancy.

“If you’re going to consider it like medicine,” she said, “then treat it like medicine and talk to your doctor about it",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,20,,Quoted Sources,8,8600,8793,"To find out whether that’s happening, Dr. Judy Chang, an obstetrician-gynecologist at the University of Pittsburgh, and her colleagues recorded more than 450 first visits with pregnant patients",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,21,,Quoted Sources,9,8456,8597,The American College of Obstetricians and Gynecologists advises clinicians to ask pregnant women about marijuana use and to urge them to quit,10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,22,,Quoted Sources,10,2342,2633,"In the federal survey, published online in December, almost 4 percent of mothers-to-be said they had used marijuana in the past month in 2014, compared with 2.4 percent in 2002. (By comparison, roughly 9 percent of pregnant women ages 18 to 44 acknowledge using alcohol in the previous month",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,23,,Quoted Sources,11,4235,4566,"Even early in development, marijuana is changing critical circuits and neurotransmitting receptors,” said Dr. Yasmin Hurd, a neuroscientist and the director of the addiction center at Icahn School of Medicine at Mount Sinai in Manhattan. “Those are important for regulation of emotions and reward, even motor function and cognition",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,24,,Quoted Sources,12,4715,4981,"The effects are not dramatic, but that doesn’t mean they are not important,” said Jodi Gilman, an assistant professor of psychiatry at Harvard Medical School who studies adolescent users of cannabis. “It could make the difference between getting an A and getting a B",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,24,,Quoted Sources,12,4986,5109,"You could imagine that a similar subtle effect may be present in those who were exposed prenatally to marijuana,” she added",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,25,,Quoted Sources,13,5112,5376,The American Academy of Pediatrics and the American College of Obstetricians and Gynecologists both advise against prenatal cannabis use because of its links to cognitive impairment and academic underachievement. But many state and federal agencies avoid the topic,10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,26,,Quoted Sources,14,5735,6018,"I don’t think public health officials should be alarming people,” said Marian Jarlenski, the study’s lead author and an assistant professor at the University of Pittsburgh Graduate School of Public Health. “They just have to say, ‘There have been studies done, and there is some risk",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,27,,Quoted Sources,15,7516,7812,"All those really good earlier studies on marijuana effects aren’t telling us what we need to know now about higher concentration levels,” said Therese Grant, an epidemiologist and director of the University of Washington’s fetal alcohol and drug unit. “We need to do a whole lot more research now",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,28,,Fact-check,1,1043,1288,"As states legalize marijuana or its medical use, expectant mothers are taking it up in increasing numbers — another example of the many ways in which acceptance of marijuana has outstripped scientific understanding of its effects on human health",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,28,,Fact-check,1,949,1041,"Many pregnant women, particularly younger ones, seem to agree, a recent federal survey shows",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,28,,Fact-check,1,1760,2040,"But preliminary research suggests otherwise: Marijuana’s main psychoactive ingredient — tetrahydrocannabinol, or THC — can cross the placenta to reach the fetus, experts say, potentially harming brain development, cognition and birth weight. THC can also be present in breast milk",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,29,,Fact-check,2,3602,3745,"children of mothers who used marijuana heavily in the first trimester had lower scores in reading, math and spelling at age 14 than their peers",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,29,,Fact-check,2,3966,4231,"Several studies have found changes in the brains of fetuses, 18 to 22 weeks old, linked to maternal marijuana use. In male fetuses who were exposed, for instance, researchers have noted abnormal function of the amygdala, the part of the brain that regulates emotion",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,29,,Fact-check,2,4570,4711,"It is already well documented that the developing brains of teenagers can be altered with regular marijuana use, even eventually reducing I.Q",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,30,,Fact-check,3,6917,7005,"So far, prenatal cannabis exposure does not appear to be linked to obvious birth defects",10122
1014,2375,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1014,SSSPETest2,1739,1739SSSArticle.txt,17,54:50.4,05:35.7,645.329726,31,,Arguments,1,7816,8256,"There are two additional problems with studies of maternal cannabis use. Research is often based on reports by pregnant women — instead of, say, tests of urine or the umbilical cord — and they consistently underreport their use. (Researchers know of underreporting because samples reveal discrepancies.) And pregnant women who roll joints also tend to smoke tobacco or drink alcohol; it can be hard to tease out the risks of cannabis itself",10122
