,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,18.0,1,1,2.0,63.0,100.0,200.0,nominal,0.0
1,18.0,2,1,2.0,64.0,97.0,200.0,nominal,0.0
2,18.0,3,1,2.0,44.0,123.0,200.0,nominal,0.0
3,18.0,4,1,1.0,72.0,167.0,200.0,nominal,0.0
4,18.0,5,1,1.0,44.0,114.0,200.0,nominal,0.0
5,18.0,1,2,5.0,150.0,184.0,200.0,nominal,0.0
6,18.0,2,2,5.0,142.0,179.0,200.0,nominal,0.0
7,18.0,3,2,5.0,131.0,180.0,200.0,nominal,0.0
8,18.0,4,2,4.0,107.0,66.0,200.0,nominal,0.0
9,18.0,5,2,4.0,53.0,140.0,200.0,nominal,0.0
10,18.0,1,3,3.0,78.0,97.0,200.0,nominal,0.0
11,18.0,2,3,4.0,90.0,130.0,200.0,nominal,0.0
12,18.0,3,3,2.0,87.0,132.0,200.0,nominal,0.0
13,18.0,4,3,4.0,32.0,155.0,200.0,nominal,0.0
14,18.0,5,3,2.0,4.0,134.0,200.0,nominal,0.0
15,18.0,1,4,5.0,89.0,151.0,200.0,nominal,0.0
16,18.0,2,4,4.0,92.0,143.0,200.0,nominal,0.0
17,18.0,3,4,5.0,55.0,122.0,200.0,nominal,0.0
18,18.0,4,4,4.0,122.0,106.0,200.0,nominal,0.0
19,18.0,5,4,4.0,188.0,111.0,200.0,nominal,0.0
20,18.0,1,5,1.0,86.0,146.0,200.0,nominal,0.0
21,18.0,2,5,1.0,81.0,166.0,200.0,nominal,0.0
22,18.0,3,5,1.0,100.0,175.0,200.0,nominal,0.0
23,18.0,4,5,5.0,172.0,138.0,200.0,nominal,0.0
24,18.0,5,5,3.0,44.0,135.0,200.0,nominal,0.0
25,18.0,1,6,4.0,14.0,164.0,200.0,nominal,0.0
26,18.0,2,6,2.0,38.0,156.0,200.0,nominal,0.0
27,18.0,3,6,3.0,12.0,157.0,200.0,nominal,0.0
28,18.0,4,6,1.0,67.0,11.0,200.0,nominal,0.0
29,18.0,5,6,1.0,12.0,98.0,200.0,nominal,0.0
30,18.0,1,7,4.0,97.0,148.0,200.0,nominal,0.0
31,18.0,2,7,4.0,86.0,146.0,200.0,nominal,0.0
32,18.0,3,7,3.0,45.0,159.0,200.0,nominal,0.0
33,18.0,4,7,2.0,90.0,32.0,200.0,nominal,0.0
34,18.0,5,7,3.0,104.0,143.0,200.0,nominal,0.0
35,18.0,1,8,1.0,175.0,190.0,200.0,nominal,0.0
36,18.0,2,8,1.0,146.0,178.0,200.0,nominal,0.0
37,18.0,3,8,2.0,132.0,150.0,200.0,nominal,0.0
38,18.0,4,8,2.0,69.0,95.0,200.0,nominal,0.0
39,18.0,5,8,2.0,18.0,24.0,200.0,nominal,0.0
40,18.0,1,9,2.0,107.0,177.0,200.0,nominal,0.0
41,18.0,2,9,2.0,119.0,177.0,200.0,nominal,0.0
42,18.0,3,9,2.0,108.0,129.0,200.0,nominal,0.0
43,18.0,4,9,1.0,154.0,110.0,200.0,nominal,0.0
44,18.0,5,9,1.0,88.0,70.0,200.0,nominal,0.0
45,18.0,1,10,4.0,59.0,98.0,200.0,nominal,0.0
46,18.0,2,10,2.0,72.0,112.0,200.0,nominal,0.0
47,18.0,3,10,3.0,91.0,104.0,200.0,nominal,0.0
48,18.0,4,10,1.0,161.0,186.0,200.0,nominal,0.0
49,18.0,5,10,2.0,8.0,170.0,200.0,nominal,0.0
