,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,35.0,1,1,1.0,1765.0,1829.0,4000.0,nominal,0.0
1,35.0,2,1,1.0,1778.0,1838.0,4000.0,nominal,0.0
2,35.0,3,1,5.0,1799.0,1858.0,4000.0,nominal,0.0
3,35.0,4,1,5.0,1744.0,1831.0,4000.0,nominal,0.0
4,35.0,5,1,3.0,1897.0,1899.0,4000.0,nominal,0.0
5,35.0,1,2,4.0,1455.0,1491.0,4000.0,nominal,0.0
6,35.0,2,2,4.0,1440.0,1475.0,4000.0,nominal,0.0
7,35.0,3,2,4.0,1428.0,1507.0,4000.0,nominal,0.0
8,35.0,4,2,4.0,1441.0,1486.0,4000.0,nominal,0.0
9,35.0,5,2,2.0,1421.0,1535.0,4000.0,nominal,0.0
10,35.0,1,3,5.0,1000.0,1045.0,4000.0,nominal,0.0
11,35.0,2,3,5.0,996.0,1042.0,4000.0,nominal,0.0
12,35.0,3,3,5.0,1000.0,1060.0,4000.0,nominal,0.0
13,35.0,4,3,5.0,1000.0,1028.0,4000.0,nominal,0.0
14,35.0,5,3,4.0,1041.0,1051.0,4000.0,nominal,0.0
15,35.0,1,4,2.0,1184.0,1236.0,4000.0,nominal,0.0
16,35.0,2,4,2.0,1206.0,1208.0,4000.0,nominal,0.0
17,35.0,3,4,2.0,1165.0,1242.0,4000.0,nominal,0.0
18,35.0,4,4,2.0,1195.0,1218.0,4000.0,nominal,0.0
19,35.0,5,4,1.0,1148.0,1362.0,4000.0,nominal,0.0
20,35.0,1,5,2.0,1552.0,1601.0,4000.0,nominal,0.0
21,35.0,2,5,3.0,1557.0,1582.0,4000.0,nominal,0.0
22,35.0,3,5,3.0,1534.0,1617.0,4000.0,nominal,0.0
23,35.0,4,5,2.0,1528.0,1580.0,4000.0,nominal,0.0
24,35.0,5,5,5.0,1336.0,1611.0,4000.0,nominal,0.0
25,35.0,1,6,4.0,1061.0,1132.0,4000.0,nominal,0.0
26,35.0,2,6,4.0,1040.0,1103.0,4000.0,nominal,0.0
27,35.0,3,6,2.0,1052.0,1079.0,4000.0,nominal,0.0
28,35.0,4,6,4.0,1040.0,1109.0,4000.0,nominal,0.0
29,35.0,5,6,1.0,1086.0,1209.0,4000.0,nominal,0.0
30,35.0,1,7,4.0,1206.0,1297.0,4000.0,nominal,0.0
31,35.0,2,7,4.0,1242.0,1274.0,4000.0,nominal,0.0
32,35.0,3,7,1.0,1239.0,1249.0,4000.0,nominal,0.0
33,35.0,4,7,4.0,1241.0,1278.0,4000.0,nominal,0.0
34,35.0,5,7,3.0,1131.0,1145.0,4000.0,nominal,0.0
35,35.0,1,8,4.0,1603.0,1645.0,4000.0,ordinal,0.0
36,35.0,2,8,4.0,1601.0,1666.0,4000.0,ordinal,0.0
37,35.0,3,8,4.0,1600.0,1667.0,4000.0,ordinal,0.0
38,35.0,4,8,1.0,1618.0,1672.0,4000.0,ordinal,0.0
39,35.0,5,8,5.0,1424.0,1533.0,4000.0,ordinal,0.0
40,35.0,1,9,3.0,1372.0,1422.0,4000.0,ordinal,0.0
41,35.0,2,9,4.0,1383.0,1437.0,4000.0,ordinal,0.0
42,35.0,3,9,4.0,1348.0,1458.0,4000.0,ordinal,0.0
43,35.0,4,9,3.0,1371.0,1443.0,4000.0,ordinal,0.0
44,35.0,5,9,4.0,1270.0,1373.0,4000.0,ordinal,0.0
45,35.0,1,10,3.0,1478.0,1528.0,4000.0,ordinal,0.0
46,35.0,2,10,3.0,1473.0,1506.0,4000.0,ordinal,0.0
47,35.0,3,10,3.0,1483.0,1497.0,4000.0,ordinal,0.0
48,35.0,4,10,2.0,1483.0,1494.0,4000.0,ordinal,0.0
49,35.0,5,10,1.0,1298.0,1800.0,4000.0,ordinal,0.0
