schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5bee2544-d160-4e01-8dcd-d6d000e2268e,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,a02c8d88-136a-4978-9493-7d8b5206eaf8,5bee2544-d160-4e01-8dcd-d6d000e2268e,Yes,1,950,968,noticeable changes,2342
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a147bc11-bd02-4bfe-bda5-b0438c241d35,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A2,Maybe,79a83d02-10f3-4338-bd71-ee40ef9be655,a147bc11-bd02-4bfe-bda5-b0438c241d35,Maybe,1,2230,2253,three times more likely,5385
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,14664b98-59f3-43fa-846a-7d4071a073cc,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q6,"If any numbers are given, is a comparison number for a similar case given for context?",T1.Q6.A4,Very different comparison number given for contrast,f1218eb0-ad5c-4dd3-92e3-dcce4afce9a6,14664b98-59f3-43fa-846a-7d4071a073cc,Very different comparison number given for contrast,1,2230,2253,three times more likely,5385
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,a7d206db-1aff-4ac3-bf40-e58028d83686,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",T1.Q5.A1,"Yes, explicitly",9d42f4ab-a101-4051-bc81-3318f08a99d9,a7d206db-1aff-4ac3-bf40-e58028d83686,"Yes, explicitly",1,1845,1850,could,6078
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,b3a98ae5-a2be-4847-813c-7b3d1299ac22,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q11,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,T1.Q11.A1,"Yes, explicitly",b943c920-287b-42ff-8613-8c25dfa30c27,b3a98ae5-a2be-4847-813c-7b3d1299ac22,"Yes, explicitly",1,1825,1850,"future research, it could",6078
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,29cab67f-7cf9-474a-bd07-bcb17fba32a7,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Probability Specialist,T1.Q12,Does the text acknowledge the possibility of additional evidence that would (check all that apply):,T1.Q12.A3,Add evidence to the claim,46745670-16fe-45ab-ba57-fb0ad3a4ac02,29cab67f-7cf9-474a-bd07-bcb17fba32a7,Add evidence to the claim,1,1845,1869,could offer a new option,6078
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0bc3c894-ce16-481e-8a71-e0e5694bb45e,daa7dee2-9725-46f6-94a9-9f97905c4795,Probability Specialist,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,a02c8d88-136a-4978-9493-7d8b5206eaf8,0bc3c894-ce16-481e-8a71-e0e5694bb45e,Yes,1,890,968,the scientists discovered that every single one of them saw noticeable changes,2342
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,7c584339-6bd9-4afc-b46f-97d787f40223,daa7dee2-9725-46f6-94a9-9f97905c4795,Probability Specialist,T1.Q10,"Does the text make a specific point estimate as if their probability estimate was definitely exactly right? (e.g. no “about,” “approximately,” or confidence intervals)",T1.Q10.A1,Explicitly,ab833aca-87ff-41a2-a1a1-a3d0adbdf27f,7c584339-6bd9-4afc-b46f-97d787f40223,Explicitly,1,921,933,every single,2342
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,822ef974-82d5-450d-bfec-ab357388aef7,daa7dee2-9725-46f6-94a9-9f97905c4795,Probability Specialist,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,a02c8d88-136a-4978-9493-7d8b5206eaf8,822ef974-82d5-450d-bfec-ab357388aef7,Yes,1,2141,2173,doctors’ actions mattered hugely,5385
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,24d9fa72-e4c4-4561-b98a-9a249910b565,daa7dee2-9725-46f6-94a9-9f97905c4795,Probability Specialist,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,a02c8d88-136a-4978-9493-7d8b5206eaf8,24d9fa72-e4c4-4561-b98a-9a249910b565,Yes,2,2230,2253,three times more likely,5385
