highlight_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,task_uuid,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,200,225,"implies that\u2019s definitely",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,265,307,"certainly unlikely, and perhaps impossible",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,1900,1918,somewhat falsified,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,2138,2186,"no chance\u201d that the findings have zero relevance",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,2565,2567,"\n\n",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b949a7f3-8b0b-4754-a0ba-0980a6889107,Language_2018_08_21,Language,1,316,321,could,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,7323f754-236b-4480-8058-d4dc5ae2d947,Language_2018_08_21,Language,2,616,630,totally upends,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,7323f754-236b-4480-8058-d4dc5ae2d947,Language_2018_08_21,Language,2,686,715,significantly more vulnerable,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,34d88916-7c58-4acc-bfb2-7f63d3092617,Language_2018_08_21,Language,3,773,776,the,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,25946714-96ff-48a9-8808-c5a21e9bb426,Language_2018_08_21,Language,4,802,815,every trusted,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,4628a9d4-bbdd-4ad8-be13-a6eff34b8e04,Language_2018_08_21,Language,6,1920,1968,"Insisting that she is \u201cnot some sort of crackpot",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,4628a9d4-bbdd-4ad8-be13-a6eff34b8e04,Language_2018_08_21,Language,6,2567,2679,"It seems to be just a hop, skip, and a jump to the idea that sea levels will rise faster than previously thought",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,677e4372-1754-455b-8c4a-7b2f64891901,Language_2018_08_21,Language,7,2075,2098,a modicum of skepticism,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,f6ea2c94-b6b4-41c4-929e-016a8b917516,Reasoning_2018_08_21,Reasoning,1,64,85,Anyone under 30 knows,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,f6ea2c94-b6b4-41c4-929e-016a8b917516,Reasoning_2018_08_21,Reasoning,1,631,657,the widely-held assumption,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,2880858d-1340-474c-8b99-9547cf76fa92,Reasoning_2018_08_21,Reasoning,2,1197,1260,perhaps the highest-profile NOAA member who dismissed the study,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,79c4f04e-1f9a-4f3c-824e-f41df35a165c,Reasoning_2018_08_21,Reasoning,3,1971,2098,"Dr. Marolf made clear that every simulation should be taken seriously, even if its conclusions call for a modicum of skepticism",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,a9fe00c5-6ff7-4eac-ba0f-91021c84d78f,Reasoning_2018_08_21,Reasoning,4,2218,2355,"In my book, if you dismiss simulations of this level of rigor and sophistication, you may as well dismiss the entirety of climate science",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,a9fe00c5-6ff7-4eac-ba0f-91021c84d78f,Reasoning_2018_08_21,Reasoning,4,2375,2488,"For every so-called expert who questions this stuff, there are five who at least give it the benefit of the doubt",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,a9fe00c5-6ff7-4eac-ba0f-91021c84d78f,Reasoning_2018_08_21,Reasoning,4,2490,2562,"I trust in this study\u2019s validity because I trust my community\u2019s judgment",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0cb3e192-c615-4929-80c5-b1ac3221f90b,Evidence_2018_08_21,Evidence,1,441,599,a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0cb3e192-c615-4929-80c5-b1ac3221f90b,Evidence_2018_08_21,Evidence,1,1000,1090,we have no direct evidence of ice sheets that large having broken off in the last 30 years,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0cb3e192-c615-4929-80c5-b1ac3221f90b,Evidence_2018_08_21,Evidence,1,1263,1623,"Even before that, the few examples of breaks we\u2019ve accounted for were so rare and poorly-understood that they constitute edge cases. And the simulation also ignores recent climate commitments from the OECD countries that should lower projected carbon emissions. So you see, this study is an extrapolation, on top of an extrapolation, on top of an extrapolation",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,21,8,623f2843-1701-40b3-82af-71fec794c112,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0cb3e192-c615-4929-80c5-b1ac3221f90b,Evidence_2018_08_21,Evidence,1,1627,1748,Dr. Marolf suggests that a follow-up simulation that incorporates most of her concerns would be worth paying attention to,2681
