,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
90,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,3bcd2782-28d2-4e2e-b7d7-d6f716395412,ordinal,1,0.6113992332437558,0.6113992332437558,"[2213, 2214, 2215, 2216, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 2248, 2249, 2250, 2251, 2252, 2253, 2254, 2255, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264]",0.37448460592730404,0.37448460592730404,0.4929419195855299,11,3,None//the diets increased HDL levels significantly,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
137,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,779779b2-6509-46c4-bbbc-18c1cc298422,ordinal,2,0.707518749639422,0.707518749639422,L,L,L,0.353759374819711,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
92,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,779779b2-6509-46c4-bbbc-18c1cc298422,ordinal,2,0.6166240708746678,0.6166240708746678,L,L,L,0.3083120354373339,11,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
122,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,46b42a03-4765-4644-a834-b6755171bc54,ordinal,3,0.8088286353081535,0.8088286353081535,[],,,0.8088286353081535,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
136,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.8082213927893762,0.8082213927893762,[],,,0.8082213927893762,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
143,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,4ccdff5e-4750-4368-90f2-40de922c013f,ordinal,8,0.8358611266224651,0.8358611266224651,[],,,0.8358611266224651,12,10,,"How confident are you about your answers, on the whole?",8,True
91,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.7882545281188738,0.7882545281188738,[],,,0.7882545281188738,11,5,,To what extent does the confidence seem justified?,Mostly justified,True
93,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,0.7958243190060779,0.7958243190060779,[],,,0.7958243190060779,11,3,,Are any numbers given?,No,True
124,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,1.0,1.0,[],,,1.0,12,3,,Are any numbers given?,No,True
123,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,ee7111c1-d9df-4d98-9c42-118bcaf64d04,ordinal,3,0.9773466659180378,0.9773466659180378,L,L,L,0.4886733329590189,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
