schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q2.A1,T1.Q2.A2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q4,T1.Q5,T1.Q6
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,45553fae-79da-4754-8b09-a9ebeba97255,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-04-19 09:00:25.078262,2019-04-19 09:01:09.757155,44.678893,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Provide important support to central claim of article.,4,9
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,504f5832-6e70-451d-984f-30ef3075a131,bcf4ec10-b869-4e0f-89a7-133f825c910d,2019-04-22 03:24:45.988484,2019-04-22 03:43:07.087601,1101.099117,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Provide important support to central claim of article.,5: Middling difficulty,8
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c99118d8-3be0-4fd3-a4fe-30877babf614,a2f9116f-94e4-448c-b513-8a7ab93d3d2f,2019-04-23 07:21:31.477115,2019-04-23 07:23:01.702414,90.225299,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Provide important support to central claim of article.,2,8
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,94b684ff-a13b-4781-908a-43e06c368364,a2c02f27-95a3-4b31-9f31-bd024c0c0517,2019-04-23 06:53:48.283961,2019-04-23 09:15:39.475981,8511.19202,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Provide important support to central claim of article.,4,9
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f80153cb-ee5e-45bb-b96b-d5a4ca65f790,d970aaa4-3cde-4e75-937b-ea73fb0ca0f1,2019-04-23 17:34:40.634891,2019-04-23 17:45:55.176435,674.541544,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Provide important support to central claim of article.,6,7
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,8624d75a-2f87-466a-b5b0-262ef77effa7,b359f9af-81af-4246-96d3-ee2c770022bb,2019-04-23 22:00:13.703936,2019-04-23 22:00:55.508842,41.804906,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Central idea/s of article.,7,5: 50-50
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,dd5c22f5-b60a-4a4c-b546-cc7af87f37ac,3a6b0929-a821-4616-8599-9b860526d09d,2019-04-23 22:02:32.519400,2019-04-23 22:05:50.776399,198.256999,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Central idea/s of article.,5: Middling difficulty,8
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,345b12b2-0537-4487-9867-e46f9cd6fd3e,https://pe.goodlylabs.org/project/sp19_urap_source/task/1865,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,af640579-6574-456c-b513-93b1ef1b57df,7b50486e-3d5e-474f-a40a-09c738f19bda,2019-04-23 23:46:09.215660,2019-04-23 23:47:05.958086,56.742426,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Provide important support to central claim of article.,6,9
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,96573005-9530-4310-ae43-85e70cdb5da3,https://pe.goodlylabs.org/project/sp19_urap_source/task/1866,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7dd795b5-ec61-490a-a4cf-3648a61db689,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-04-19 09:00:25.169761,2019-04-19 09:04:38.818060,253.648299,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,Central idea/s of article.,5: Middling difficulty,7
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,96573005-9530-4310-ae43-85e70cdb5da3,https://pe.goodlylabs.org/project/sp19_urap_source/task/1866,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f17e4f81-a97b-4ab3-8ad2-c6fe2a2357fa,bcf4ec10-b869-4e0f-89a7-133f825c910d,2019-04-22 03:24:46.105961,2019-04-22 03:54:53.881005,1807.775044,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,Provide important support to central claim of article.,5: Middling difficulty,8
