schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q7,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13,T1.Q14,T1.Q15
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,834a1f2e-ec75-48b3-976c-f8afc38601fb,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-04 22:48:34.095561,2019-09-04 22:50:32.477936,118.382375,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,1,1,0,0,0,0,0,1,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Maybe,,Nope,,4,9
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,188881d0-4d23-491e-9989-2fc0e1b1c849,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-04 23:58:04.708578,2019-09-04 23:58:28.876952,24.168374,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Nope,,8,7
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ce1cf497-1fb4-437d-9dfc-fdd117c08944,45c40bb3-569d-4d6c-9067-bdf0cb3ce923,2019-09-05 01:26:07.406218,2019-09-05 01:41:28.034121,920.627903,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,1,0,0,1,1,0,0,0,1,0,1,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Maybe,,Nope,Mildly,5: Middling difficulty,7
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,8bb2e94a-bef6-4015-9458-a831825caeb6,40e8da50-18a7-4eaf-aba1-69b3ee956fc1,2019-09-05 01:20:41.199481,2019-09-05 01:41:47.779605,1266.580124,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,1,1,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,Nope,,5: Middling difficulty,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,963a6810-1cec-4585-ba41-c7453465879e,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-05 01:41:47.588590,2019-09-05 01:42:09.906186,22.317596,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,1,1,0,0,0,0,0,1,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,Nope,,2,9
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,40bfc99b-6057-4028-a771-400c44041280,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-09-05 01:46:27.532927,2019-09-05 01:47:05.258625,37.725698,"T1.Q1, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Maybe,,Nope,,6,5: 50-50
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0a1ee7c2-3f8f-4cf9-b110-d44721b2da83,38fb75e6-c5d5-499a-a351-90fedf929474,2019-09-05 01:46:10.188246,2019-09-05 01:47:11.174293,60.986047,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,1,1,0,0,0,0,0,1,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,Nope,,3,7
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f2e57ab6-b17a-44c4-9b1e-4ed35089bc06,50b97722-8671-4131-8a54-409491b48a1e,2019-09-05 01:45:02.871344,2019-09-05 01:47:11.488003,128.616659,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,1,0,0,0,1,0,0,0,1,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Completely appropriate,No,,Nope,Very Mildly,4,7
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0286da7f-6275-446a-a95a-1d8304c3222a,e0834165-64cc-41e5-994f-9be97a16ef93,2019-09-05 01:46:21.668649,2019-09-05 01:47:24.335182,62.666533,"T1.Q1, T1.Q3, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,Nope,,2,4
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,https://pe.goodlylabs.org/project/Sep-19-Tag-Sprint/task/2171,28,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,544a81a1-6335-472f-995a-38e1068fa894,12d9718f-030a-487e-872c-46372f945e17,2019-09-05 01:46:07.755212,2019-09-05 01:48:58.361935,170.606723,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,1,0,0,1,0,1,1,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Moderately inappropriate,No,Mildly,Nope,,4,6
