quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q6.A9,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,03dced48-b10a-475a-a4d6-553d500c5ea9,f9c04b64-a008-41c0-a832-a02b9975c57c,2018-07-19 22:44:47.202766,2018-07-19 22:45:24.873188,37.670422,,No,0,0,0,0,0,0,0,0,0,,,,,Possibly,,
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,ade1639a-cece-48af-9947-5b0e1671fadf,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-07-19 23:47:31.805007,2018-07-19 23:50:00.025516,148.220509,,"Yes, explicitly",0,0,0,0,0,0,1,0,0,,,,,Can't tell,,
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,4824c2e6-4df3-4ed2-8257-32d3eac831bf,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-07-20 00:09:52.651345,2018-07-20 00:10:43.521459,50.870114,,No,0,0,0,0,0,0,0,0,0,,,,,Possibly,,
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,6cf6da77-d120-4c87-b1d9-0ed4a56e6e30,fca8adf4-bd3a-443e-9f1a-fad6c3b21489,2018-07-20 00:04:42.903050,2018-07-20 00:12:01.715755,438.812705,,"Yes, explicitly",0,0,0,0,0,0,1,0,0,,,,,Probably,,
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,f1c2a2cb-0d82-4029-98d8-3a9e0fecdadd,f9c04b64-a008-41c0-a832-a02b9975c57c,2018-07-19 22:44:47.320212,2018-07-19 22:46:05.379384,78.059172,,No,0,0,0,0,0,0,0,0,0,,,,,Possibly,,
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,228c7200-a5af-400e-bf22-b5e80d807294,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-07-19 23:47:31.930635,2018-07-19 23:58:19.801154,647.870519,,"Yes, implicitly",0,1,0,1,0,0,0,0,0,,,,,Possibly,"Maybe other things changed, like laws or the types of cars people were driving",Equally likely
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,5d0dd709-c00f-4a9d-bd3d-7f925b4237ac,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-07-20 00:09:52.802430,2018-07-20 00:23:12.515044,799.712614,,"Yes, implicitly",0,1,0,0,0,0,0,0,0,,,,,Possibly,We got better at driving,Much less likely
3f3a9eed-ab89-46b1-b130-b5777581b492,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1085,SSSPETest2,1730,1730SSSArticle.txt,7205e6c5-2b5d-442e-9d7c-5dbb3cd89cdc,f9c04b64-a008-41c0-a832-a02b9975c57c,2018-07-19 22:45:25.058450,2018-07-19 22:46:37.885899,72.827449,,No,0,0,0,0,0,0,0,0,0,,,,,Definitely not,,
3f3a9eed-ab89-46b1-b130-b5777581b492,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1085,SSSPETest2,1730,1730SSSArticle.txt,b4831a40-0c6e-4020-999f-23f157a6d797,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-07-19 23:50:00.208473,2018-07-19 23:58:40.301770,520.093297,,No,0,0,0,0,0,0,0,0,0,,,,,Can't tell,,
788b1a99-bbc1-4eec-8b7d-ae59fb6ef43a,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1086,SSSPETest2,1730,1730SSSArticle.txt,90cf8b95-049f-45e6-ba3d-f24bc94ea2c5,f9c04b64-a008-41c0-a832-a02b9975c57c,2018-07-19 22:46:05.597139,2018-07-19 22:46:56.120698,50.523559,,No,0,0,0,0,0,0,0,0,0,,,,,Can't tell,,
