schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0009e5f8-17fc-4c4b-8281-717d4d14c7db,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,96bca7a1-0be8-42bf-b9d8-bb03b45ea122,0009e5f8-17fc-4c4b-8281-717d4d14c7db,Metaphorical Language,1,844,858,wind up hooked,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,22f556ea-f4c4-4721-887a-a23096607fb5,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,67a95b42-1bf4-4b81-9113-3917291ad12f,22f556ea-f4c4-4721-887a-a23096607fb5,Exaggeration,1,585,603,so shockingly high,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,81f98ba7-fa5a-401d-be13-ea3520842ad7,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A5,Shock or surprise,11b71a76-0b92-4b01-8924-3aaf44a8dceb,81f98ba7-fa5a-401d-be13-ea3520842ad7,Shock or surprise,1,585,603,so shockingly high,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,886f01d0-eb66-449d-a192-4ce2594b4fbb,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,0bddd655-dd94-45d6-b469-86953b983701,886f01d0-eb66-449d-a192-4ce2594b4fbb,Slang,1,844,858,wind up hooked,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2d4a80f4-c448-48ab-99dc-5e5d16084edd,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A12,Other problem with language,061d1a1c-ae3a-4238-bccc-9fb36ae60613,2d4a80f4-c448-48ab-99dc-5e5d16084edd,Other problem with language,1,2167,2173,hugely,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,32d6bbe2-df36-4f7d-97d4-c78dda92e67b,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,6cf6e5c3-63be-4c97-b980-3b9d786c86bc,32d6bbe2-df36-4f7d-97d4-c78dda92e67b,Nope,1,737,858,"Patients seek relief from some minor problem like a toothache or back pain, leave with a prescription, and wind up hooked",5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,http://pe.goodlylabs.org/project/DemoLang/task/1248,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,7c3cf5df-c20d-442b-8dc7-d7a2141db0f6,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,96bca7a1-0be8-42bf-b9d8-bb03b45ea122,7c3cf5df-c20d-442b-8dc7-d7a2141db0f6,Metaphorical Language,1,633,641,shocking,2342
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,http://pe.goodlylabs.org/project/DemoLang/task/1248,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e6be0acf-cb17-4555-9386-b94e733a574b,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A5,Shock or surprise,11b71a76-0b92-4b01-8924-3aaf44a8dceb,e6be0acf-cb17-4555-9386-b94e733a574b,Shock or surprise,1,633,641,shocking,2342
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,f108dd02-4869-4485-96c6-6b7ab391c281,http://pe.goodlylabs.org/project/DemoLang/task/1249,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7f117fd5-7598-42a6-b79c-7a9c3c54b244,c37ed572-0042-460d-a585-7280158e1687,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A13,Nothing wrong with language,f9a2a481-869c-4620-b727-1eff5be163eb,7f117fd5-7598-42a6-b79c-7a9c3c54b244,Nothing wrong with language,1,641,656,A common belief,5385
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,http://pe.goodlylabs.org/project/DemoLang/task/1247,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7b357bf0-957f-4c15-a3f3-bebe63795d64,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A5,Shock or surprise,11b71a76-0b92-4b01-8924-3aaf44a8dceb,7b357bf0-957f-4c15-a3f3-bebe63795d64,Shock or surprise,1,585,598,so shockingly,5385
