article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,1,1.0,0.0,L,L,L,0.5,0.5,0.5,5,3,N/A,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: General Causal Claim (i.e., in general, X causes Y)"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,2,0.8,0.19999999999999996,L,L,L,0.4,0.5,0.5,5,3,N/A,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: Singular Causal Claim (i.e., in this particular case, A caused/is causing B)"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,5,3,L,Is a causal claim made? Highlight the section(s) that supports your answer.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.6,0.4,M,M,M,0.3,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.4,0.6,M,M,M,0.2,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,5,1.0,0.0,L,L,L,0.5,0.5,0.5,5,9,N/A,What evidence is given for the primary causal claim? Select all that apply.,"An experimental study was conducted (natural experiments OK, including before/after comparison)"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.4,0.6,M,M,M,0.2,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,3,0,0,0,0,0,0,0,0.0,0.5,0.5,0,0,0,What other evidence is given?,zero
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,4,ordinal,1,0.9553605099474312,0.9553605099474312,[],NA,NA,0.9553605099474312,0.5,0.5,5,5,NA,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,Fully
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,5,ordinal,3,0.8334701898431784,0.8334701898431784,L,L,L,0.4167350949215892,0.5,0.5,5,6,N/A,How representative is the sample of the population that the claim is made about?,Somewhat representative
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,6,ordinal,3,0.7636275885860788,0.7636275885860788,L,L,L,0.3818137942930394,0.5,0.5,5,6,N/A,"Was there an adequate control? If so, highlight section.",Questionably appropriate control
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,7,nominal,M,0.75,0.5,M,M,M,0.375,0.5,0.5,4,3,M,Was randomized assignment used?,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,8,0,0,0,0,0,0,0,0.0,0.5,0.5,0,0,0,What is the best alternative explanation you can think of that could lead to the same set of evidence?,zero
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,9,ordinal,1,0.9505023280326036,0.9505023280326036,[],NA,NA,0.9505023280326036,0.5,0.5,5,7,NA,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much more likely than author’s
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,10,ordinal,M,0.6149321633158761,0.6149321633158761,M,M,M,0.30746608165793804,0.5,0.5,5,3,M,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,11,ordinal,M,0.7605078530008333,0.7605078530008333,M,M,M,0.3802539265004167,0.5,0.5,4,5,M,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,12,ordinal,1,0.9707785413586439,0.9707785413586439,[],NA,NA,0.9707785413586439,0.5,0.5,4,5,NA,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could NOT be canceled out by collecting more data)?",Extremely Likely
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,13,ordinal,1,0.7387138949015927,0.7387138949015927,L,L,L,0.36935694745079634,0.5,0.5,5,4,N/A,Does the author suggest in any way that further evidence might improve our understanding of the topic?,"Yes, expicitly"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,14,ordinal,7,0.8911425723165086,0.8911425723165086,[],NA,NA,0.8911425723165086,0.5,0.5,5,10,NA,"How confident are you about your answers, on the whole?",7
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,15,0,0,0,0,0,0,0,0.0,0.5,0.5,0,0,0,Please let us know if you have suggestions for how we might improve this task or its interface. Thank you for participating!,zero
