Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Exaggeration,-2.1620648128589544,"[2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2699, 2700, 2701, 2702, 2703, 2704]",2686,2704,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Exaggeration,0,"[2786, 2787, 2788, 2789, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798, 2799, 2800, 2801, 2802]",2786,2803,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Exaggeration,-2.5,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Inappropriate slang,0.0,"[2499, 2500, 2501, 2502, 2503, 2504, 2505, 2506, 2507, 2508, 2509, 2510, 2511, 2512, 2513, 2514, 2515]",2499,2516,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Denigration,-0.5424812503605781,"[2499, 2500, 2501, 2502, 2503, 2504, 2505, 2506, 2507, 2508, 2509, 2510, 2511, 2512, 2513, 2514, 2515]",2499,2516,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Denigration,-0.25,"[2607, 2608, 2609, 2610, 2611, 2612, 2613, 2614, 2615]",2607,2616,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.414317304999748,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.5,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.5,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.345900206316,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.414317304999748,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,L0,Language,Well-balanced,0.414317304999748,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Inappropriate confidence,-0.3926906350375459,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Inappropriate confidence,-1.0,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Inappropriate confidence,-2.5944777754307453,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Inappropriate confidence,-2.139639268093926,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Inappropriate confidence,-2.139639268093926,[],-1,-1,nan
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Acknowledges uncertainty,0.8091453983129662,"[1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1183]",1175,1183,seem like//seem
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Acknowledges uncertainty,0,"[1243, 1244, 1245]",1243,1246,seem like//seem
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Acknowledges uncertainty,0.3501443756629563,"[2849, 2850, 2851, 2852, 2853, 2854, 2855, 2856, 2857, 2858, 2859, 2860, 2861, 2862, 2863]",2849,2864,much more likely
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Acknowledges uncertainty,0.3826709208360611,"[1499, 1500, 1501, 1502, 1503, 1504]",1499,1504,seemed//seems to
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Acknowledges uncertainty,0,"[1605, 1606, 1607, 1608, 1609, 1610, 1611]",1605,1612,seemed//seems to
dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,P0,Probability,Open to evidence,0.4832324731421864,"[2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 3021, 3022, 3023]",2980,3024,It is also possible that she is attempting to
,,,,,,,,
