,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Language,2,,ordinal,2,-3.0,Metaphor unhelpful,267,100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,5dd1205f-a9d6-4676-bd05-deda3d3b9c8d,b4bf9978-1a70-41dc-8859-0bcf2caa802e,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3e6a9f29-8fff-49cf-a525-5ddae8b29498,ordinal,2,1.0,1.0,"[590.0, 591.0, 592.0, 593.0, 594.0, 595.0, 596.0, 597.0, 598.0, 599.0, 600.0, 601.0, 602.0, 603.0, 604.0, 605.0, 606.0, 607.0, 608.0, 609.0, 610.0, 611.0, 2750.0, 2751.0, 2752.0, 2753.0, 2754.0, 2755.0, 2756.0, 2757.0, 2758.0, 2759.0, 2760.0, 2761.0, 2762.0, 2763.0, 2764.0, 2765.0, 2766.0, 4496.0, 4497.0, 4498.0, 4499.0, 4500.0, 4501.0, 4502.0, 4503.0, 4504.0, 4505.0, 4506.0, 4507.0, 4508.0, 4509.0, 4510.0, 4511.0, 4512.0, 4513.0, 4514.0, 4515.0]",nan,nan,1.0,1,5,nan,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",CONSIDERABLY excessive/inappropriate,True,-3.0,Language
1,Language,2,,ordinal,4,-1.0,Metaphor unhelpful,94,100030,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,1f1f4f61-9dca-442a-be51-02ed0e5f7ec8,7fef1e3e-8d18-4a0e-8f89-977c9c3ce72b,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,92c2c3f1-bf97-4c57-be63-cc8cc72f7f4f,ordinal,4,1.0,1.0,[],nan,nan,1.0,1,5,nan,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",MILDLY excessive/inappropriate,True,-1.0,Language
2,Language,2,,ordinal,4,-1.0,Metaphor unhelpful,31,100031,729c16dbf760152f8bb67a7ecfbb15a25ae7f594fe35bd711c1d5e1ef1ff5c1f,0251a8d9-7e15-4521-8353-5ff620c8f113,9a5069d1-5b3d-4c1b-8505-9774a32647cd,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,92c2c3f1-bf97-4c57-be63-cc8cc72f7f4f,ordinal,4,1.0,1.0,[],nan,nan,1.0,1,5,nan,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",MILDLY excessive/inappropriate,True,-1.0,Language
3,Language,3,,ordinal,3,-2.5,Exaggeration,173,100030,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,36d26207-daca-4955-bca8-ea3a60a3b5d9,f2f56150-fa6e-46c8-9c45-fdfc5a4e595f,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,eeb1946c-0054-45ae-ae67-ace18d009fa0,ordinal,3,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.5,Language
4,Language,3,,ordinal,3,-2.5,Exaggeration,73,100031,729c16dbf760152f8bb67a7ecfbb15a25ae7f594fe35bd711c1d5e1ef1ff5c1f,1ceb21a3-1252-44ea-ba08-38b97dc7e869,933a53ce-2735-4105-b767-d3114de7d0bf,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,eeb1946c-0054-45ae-ae67-ace18d009fa0,ordinal,3,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.5,Language
5,Language,3,,ordinal,3,-2.5,Exaggeration,113,100032,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,21f97050-e76d-445c-a261-df489009c51c,e8833dbe-360d-47d4-a341-a7ac1466fe03,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,eeb1946c-0054-45ae-ae67-ace18d009fa0,ordinal,3,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.5,Language
6,Language,3,,ordinal,3,-2.5,Exaggeration,133,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,251a3d9b-bc13-4faa-9a8c-dc316b6de570,14156354-0cf7-48d3-ae94-db28a1c61a4f,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,eeb1946c-0054-45ae-ae67-ace18d009fa0,ordinal,3,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.5,Language
7,Language,3,,ordinal,3,-2.5,Exaggeration,54,100035,d7a866ba4b0104b93dc030d98d2416a336e37ef90f6c073c339e05cd47d19e24,0d3fca42-138f-4925-b124-4863e9c71019,6b5f80c1-8c30-49a3-a132-105272536ca7,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,eeb1946c-0054-45ae-ae67-ace18d009fa0,ordinal,3,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.5,Language
8,Language,3,,ordinal,4,-1.25,Exaggeration,416,100032,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,c3247759-6acc-470c-abad-363a6ddf71cf,7dc6b045-95bd-410c-9bff-3f41f6ccfd5d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d239156-5e05-477a-80ff-d5f368c051e6,ordinal,4,1.0,1.0,"[813.0, 814.0, 815.0, 816.0, 817.0, 818.0, 819.0, 820.0, 821.0, 822.0, 823.0, 824.0, 825.0, 826.0, 827.0, 847.0, 848.0, 849.0, 850.0, 851.0, 957.0, 958.0, 959.0, 960.0, 961.0, 962.0, 963.0, 964.0, 965.0, 966.0]",nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Minor misrepresentation,True,-1.25,Language
9,Language,3,,ordinal,4,-1.25,Exaggeration,377,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,a5cd74e5-0be8-4307-96dd-52a197308fdf,c4692d72-62d6-43bb-8989-0b5640098950,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d239156-5e05-477a-80ff-d5f368c051e6,ordinal,4,1.0,1.0,[],nan,nan,1.0,1,5,nan,How much does the exaggeration misrepresent reality?,Minor misrepresentation,True,-1.25,Language
