,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
34,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,8,2652c44f-77b0-4791-a42e-0d2bf7c35e45,ordinal,3,1.0,1.0,[],,,1.0,1,5,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,True
37,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,13,39c4f70f-9c47-4770-88b5-ca1bc6093882,ordinal,4,0.9342150418290642,0.9342150418290642,[],,,0.9342150418290642,3,10,,"How difficult was this task for you, on the whole?",4,True
36,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,12,d1b0ea73-2a57-4b44-a60b-b2269d5435b8,ordinal,1,0.3899750004807708,0.3899750004807708,[],,,0.3899750004807708,3,4,,Does the author suggest in any way that further evidence might improve our understanding of the topic?,"Yes, explicitly",True
35,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,9,f9e30dd9-2c13-421d-91d3-13ef6e843c72,ordinal,3,1.0,1.0,[],,,1.0,3,3,,Is data presented as evidence for a pattern (e.g. A relationship between two variables)?,No,True
33,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,7,XXX,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,What is the best alternative explanation you can think of that could lead to the same set of evidence?,zero,True
38,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,14,088039fa-3628-4476-8777-062576ce3572,ordinal,7,0.9342150418290642,0.9342150418290642,[],,,0.9342150418290642,3,10,,"How confident are you about your answers, on the whole?",7,True
20,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1,1001814f-3d89-4e1f-8c1e-e712a4999c51,checklist,1,0.3333333333333333,0.6666666666666667,[],,,0.3333333333333333,3,3,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"General Causation (In general, X causes Y.)",True
21,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1,291df628-7c03-473d-a625-d189a6c4367a,checklist,2,0.0,1.0,[],,,0.0,3,3,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"Singular Causation (In this case, A caused/is causing B)",True
22,100043,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,f8c05253-e7d4-420f-8728-5dc0869855ff,05b31292-9f3c-410a-8500-d11fc7c2bf98,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1,43deba4a-8963-4910-8ab0-e2a76b258c70,checklist,3,0.6666666666666666,0.33333333333333337,[],,,0.6666666666666666,3,3,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,No causal claim made,True
12,100047,bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,be3d77ab-978a-4f47-944c-1c3d08d2dd4e,86ff9189-131b-4df0-8ac0-ecb492f7138b,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,7,XXX,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,What is the best alternative explanation you can think of that could lead to the same set of evidence?,zero,True
