Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Exaggeration,-2.5,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Exaggeration,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,-0.75,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,-0.1783032723411605,"[1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626]",1606,1627,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,-0.25,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,-0.25,"[1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626]",1606,1627,nan
raw_3095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Writing errors,-1.25,"[641, 642, 643, 644, 645, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 675, 676, 677, 678, 679, 680, 681, 682, 683, 684, 685, 686, 687, 688, 689, 690, 691, 692, 693, 694, 695, 696, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 709, 710, 711, 712, 713, 714, 715, 716, 717, 718]",641,719,nan
,,,,,,,,
