Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Metaphor unhelpful,-1.3561438102252754,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriately emotional,-3.8917166631461177,"[3896, 3897, 3898, 3899, 3900, 3901]",3896,3902,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.5085539288344783,"[6999, 7000, 7001, 7002, 7003, 7004, 7005, 7006, 7007, 7008, 7009, 7010, 7011, 7012, 7013, 7014, 7015, 7016, 7017, 7018, 7019, 7020, 7021, 7022, 7023]",6999,7024,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.25,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.25,"[210, 211, 212, 213, 214, 215, 216, 217, 218]",210,219,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.40367746102880203,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.40367746102880203,"[6999, 7000, 7001, 7002, 7003, 7004, 7005, 7006, 7007, 7008, 7009, 7010, 7011, 7012, 7013, 7014, 7015, 7016, 7017, 7018, 7019, 7020, 7021, 7022, 7023]",6999,7024,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.25,"[210, 211, 212, 213, 214, 215, 216, 217, 218]",210,219,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.8286346099994961,[],-1,-1,nan
,,,,,,,,
