Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Metaphor unhelpful,-2.0,"[1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275]",1264,1276,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Exaggeration,-3.1799883995810623,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Exaggeration,-2.1620648128589544,"[1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958]",1933,1959,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Exaggeration,-2.5,"[3945, 3946, 3947, 3948, 3949, 3950, 3951, 3952, 3953, 3954, 3955, 3956, 3957, 3958, 3959, 3960, 3961, 3962, 3963, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3973, 3974, 3975, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999, 4000, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4010, 4011, 4012, 4013, 4014, 4015, 4016, 4017, 4018, 4019, 4020, 4021, 4022]",3945,4023,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Inappropriately emotional,-6.0,"[4026, 4027, 4028, 4029, 4030, 4031, 4032, 4033, 4034, 4035, 4036, 4037, 4038, 4039]",4026,4040,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Inappropriate slang,1.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Denigration,-0.25,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Writing errors,-4.7712962015577185,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Writing errors,-4.70553155473216,"[3738, 3739, 3740, 3741, 3742, 3743, 3744, 3745, 3746, 3747, 3748, 3749, 3750, 3751, 3752, 3753, 3754, 3755, 3756, 3757, 3758, 3759, 3760, 3761, 3762, 3763, 3764, 3765, 3766, 3767, 3768, 3769, 3770, 3771, 3772, 3773, 3774, 3775, 3776, 3777, 3778, 3779, 3780, 3781, 3782, 3783, 3784, 3785, 3786, 3787, 3788, 3789, 3790, 3791, 3792, 3793, 3794, 3795, 3796, 3797, 3798, 3799, 3800, 3801, 3802, 3803, 3804, 3805, 3806, 3807, 3808, 3809, 3810, 3811, 3812, 3813, 3814, 3815, 3816, 3817, 3818, 3819, 3820, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3828, 3829, 3830, 3831, 3832, 3833, 3834, 3835, 3836, 3837, 3838, 3839, 3840, 3841, 3842]",3738,3843,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Writing errors,-1.0810324064294772,"[150, 151, 152]",150,153,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,O0,Overall,Very Biased,-1.250758053014374,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,O0,Overall,Good Title,1.7081072626288039,[],-1,-1,nan
ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,R0,Reasoning,Naturalistic Fallacy,-3.333333333333333,"[3057, 3058, 3059, 3060, 3061, 3062, 3063, 3064, 3065, 3066, 3067, 3068, 3069, 3070, 3071, 3072, 3073, 3074, 3075, 3076, 3077, 3078, 3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092, 3093, 3094, 3095, 3096, 3097, 3098, 3099, 3100, 3101, 3102, 3103, 3104, 3105]",3057,3106,nan
,,,,,,,,
