,article_sha256,article_filename,article_number,article_url
1,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,FormerUkraineProsecutorSaysHe.txt,100028,publiceditor.io/Articles/Visualizationraw_60f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7.html
45,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,ExplosiveReportRepAdamSchiff.txt,100029,publiceditor.io/Articles/Visualizationraw_604c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364.html
59,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,CouldTrumpsImpeachmentPushHilary.txt,100030,publiceditor.io/Articles/Visualizationraw_60dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b.html
30,729c16dbf760152f8bb67a7ecfbb15a25ae7f594fe35bd711c1d5e1ef1ff5c1f,CongressAnnouncesSeizureOfTrump.txt,100031,publiceditor.io/Articles/Visualizationraw_60729c16dbf760152f8bb67a7ecfbb15a25ae7f594fe35bd711c1d5e1ef1ff5c1f.html
67,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,TIFinallyExplainsWhyHe.txt,100032,publiceditor.io/Articles/Visualizationraw_60832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791.html
113,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,RogerStoneTrialEndsRick.txt,100033,publiceditor.io/Articles/Visualizationraw_6086d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c.html
76,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,NBCABCAndCBSAppear.txt,100034,publiceditor.io/Articles/Visualizationraw_603b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75.html
120,d7a866ba4b0104b93dc030d98d2416a336e37ef90f6c073c339e05cd47d19e24,UkrainianOfficialsReleaseRecordsOf.txt,100035,publiceditor.io/Articles/Visualizationraw_60d7a866ba4b0104b93dc030d98d2416a336e37ef90f6c073c339e05cd47d19e24.html
155,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,DonaldTrumpJrHumiliatedBooed.txt,100036,publiceditor.io/Articles/Visualizationraw_6095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd.html
170,dffe5d7618e02096848897a44be4304eeef2fc09af7e33852dd71113a6c61bf2,EricTrumpIsHostingA.txt,100037,publiceditor.io/Articles/Visualizationraw_60dffe5d7618e02096848897a44be4304eeef2fc09af7e33852dd71113a6c61bf2.html
135,68c644ee4676eeca87052755ec73bde24a957e12dc1d1fcba93795f08063520d,SchiffClaimsHeDoesNot.txt,100038,publiceditor.io/Articles/Visualizationraw_6068c644ee4676eeca87052755ec73bde24a957e12dc1d1fcba93795f08063520d.html
184,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,DoctorTellsCNNTrump’sWalter.txt,100039,publiceditor.io/Articles/Visualizationraw_60ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7.html
214,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,FamilyFacingJailforLiving.txt,100040,publiceditor.io/Articles/Visualizationraw_60ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed.html
195,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,JesusisKingSundayService.txt,100041,publiceditor.io/Articles/Visualizationraw_60a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0.html
229,c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,SchiffNamedinWHOfficial.txt,100042,publiceditor.io/Articles/Visualizationraw_60c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140.html
250,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,ShooterCommitsSuicideAfterBeing.txt,100043,publiceditor.io/Articles/Visualizationraw_60d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d.html
261,ce9fb9b9358c71daead068bb2ab24ebfbcd68d1bb8b0611114621d290e0c0764,RudyGiulianihascompletelyberserk.txt,100044,publiceditor.io/Articles/Visualizationraw_60ce9fb9b9358c71daead068bb2ab24ebfbcd68d1bb8b0611114621d290e0c0764.html
292,c668f1d99cb59e7df1f13a6a3a4f1a6a0ffdb847d9f0441ee369cd4dd62c626c,LtColVindmanThis Is.txt,100045,publiceditor.io/Articles/Visualizationraw_60c668f1d99cb59e7df1f13a6a3a4f1a6a0ffdb847d9f0441ee369cd4dd62c626c.html
284,df6df207fbec112ddaf44daf2190f5f8dc1812eeed256738e6bf658ec8217f52,NoShotsFiredCitizenwith.txt,100046,publiceditor.io/Articles/Visualizationraw_60df6df207fbec112ddaf44daf2190f5f8dc1812eeed256738e6bf658ec8217f52.html
300,bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,PoundslostdoesntmeanFAT.txt,100047,publiceditor.io/Articles/Visualizationraw_60bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1.html
308,451edcdfeb13e92a47319c8933da0a45dfc5c7baa616f64ed73bad2bd3b59b05,UkrainianMPClaims$7.4Billion.txt,100048,publiceditor.io/Articles/Visualizationraw_60451edcdfeb13e92a47319c8933da0a45dfc5c7baa616f64ed73bad2bd3b59b05.html
