Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,E0,Evidence,Alternative explanation,-1.5296178724558762,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,E0,Evidence,Open to evidence,-1.7701227334342735,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Exaggeration,-2.0798832166548915,"[779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821]",779,821,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Exaggeration,0,"[1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329]",1316,1329,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Exaggeration,0,"[1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356]",1341,1356,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Exaggeration,0,"[5015, 5016, 5017, 5018, 5019, 5020, 5021, 5022, 5023, 5024, 5025, 5026, 5027, 5028, 5029, 5030, 5031, 5032, 5033, 5034, 5035, 5036, 5037, 5038, 5039, 5040, 5041, 5042, 5043, 5044, 5045, 5046, 5047, 5048, 5049, 5050, 5051, 5052, 5053, 5054, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083]",5015,5084,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,-2.0686544085147425,"[534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573]",534,573,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,0,"[777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821]",777,821,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,0,"[1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329]",1316,1329,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,0,"[1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356]",1332,1356,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,0,"[5015, 5016, 5017, 5018, 5019, 5020, 5021, 5022, 5023, 5024, 5025, 5026, 5027, 5028, 5029, 5030, 5031, 5032, 5033, 5034, 5035, 5036, 5037, 5038, 5039, 5040, 5041, 5042, 5043, 5044, 5045, 5046, 5047, 5048, 5049, 5050, 5051, 5052, 5053, 5054, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083]",5015,5084,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.35952332828347183,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.35826205623580765,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.3202998988133621,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.3462580155460799,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.8490772729895113,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.7786281066853388,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,P0,Probability,Inappropriate confidence,-1.2437216903788595,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,P0,Probability,Doesn’t acknowledge uncertainty,-1.4781453282289796,"[3936, 3937, 3938, 3939, 3940, 3941, 3942, 3943, 3944, 3945, 3946, 3947, 3948, 3949, 3950, 3951, 3952, 3953, 3954, 3955, 3956, 3957, 3958, 3959, 3960, 3961, 3962, 3963, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3973, 3974, 3975, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999, 4000, 4001, 4002, 4003, 4004, 4005, 4006]",3936,4007,may not be a friend of mine anymore. But I think he probably respects me
,,,,,,,,
