,article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text,arg_T1.Q1,source_T1.Q1,source_T1.Q2,source_T1.Q3,source_T1.Q4
15,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,63b82c75-5c1e-42e8-a859-ffff39f7d18a,Arguments_2018_08_21,Arguments,7,,{},1,3267,4116,"In a separate analysis, the researchers looked at doctors who gave out high doses versus low doses of painkillers when they prescribe, and found the same effect: 30 percent higher use when patients saw higher dose prescribers, though the researchers also acknowledged this long-term use required prescriptions from other doctors after the ER visit.\n\n\u201cWhen it comes to opioids, it certainly seems to be the case that [the doctor] you see matters,\u201d said Anupam Jena, a professor at Harvard Medical School and an author on the study.\n\nHe and his co-authors tried to figure out what caused some doctors to prescribe more than others, looking at details like age, gender, and where the doctor trained \u2014 but they didn\u2019t find much. \u201cIt could be something as simple as prescribing the way that your mentors prescribed when you were training,\u201d Jena explained",2.0,0.0,0.0,0.0,0.0
12,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,861e7d23-79e3-496e-87c7-cde974455980,Arguments_2018_08_21,Arguments,4,,{},1,1579,2120,"The study authors then split the group into patients who happened to be assigned to doctors who prescribed a lot of opioids, and patients who met doctors who didn\u2019t. This was a clever study design, since the major difference between the groups was how the doctors prescribed opioids, which allowed the researchers to figure out whether the prescribing patterns influenced patients\u2019 long-term use of painkillers. (In the study, \u201clong-term use\u201d was described as six or more months of daily opioids in the 12-month period following the ER visit",3.0,0.0,0.0,0.0,0.0
16,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,56549bdc-f1fc-464a-a196-7e00239ba7fa,Arguments_2018_08_21,Arguments,8,,{},1,4119,4488,"The research highlights the need to better educate doctors on how to safely prescribe these drugs, said lead  study author Michael  Barnett, an assistant professor of health policy and management at Harvard. There\u2019s very little guidance in training and in medical practice on how much opioids to prescribe \u2014 which is why the profession is now galvanizing to change that",2.0,0.0,0.0,0.0,0.0
11,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,f0e71ffa-b37f-4482-ae7d-567306234031,Arguments_2018_08_21,Arguments,3,,{},1,1258,1576,"For the study, researchers from Harvard Medical School and the Harvard School of  Public Health looked at 375,000 Medicare patients who turned up in an emergency department for common reasons \u2014 such as falls, chest pain, ankle sprain, or back pain \u2014 and hadn\u2019t used opioids in the six months before their hospital stay",3.0,0.0,0.0,0.0,0.0
13,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,128822fa-ccf8-4cdd-a6e8-698704f2b01d,Arguments_2018_08_21,Arguments,5,,{},1,2124,2632,"It turns out the doctors\u2019 actions mattered hugely. The patients who saw the heavy opioid prescribers were three times more likely to receive a prescription for opioids compared with the patients who saw the more judicious opioid prescribers at the same hospital. The high prescribers doled out opioids to a quarter of their patients, while the more conservative prescribers only treated 7 percent with opioids on average, a variation the researchers thought was likely the result of inappropriate prescribing",2.0,0.0,0.0,0.0,0.0
18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,dc722486-3aad-4dde-87a1-7d23fc462c21,Arguments_2018_08_21,Arguments,10,,{},1,5172,5382,"Patients should ask their physicians, \u2018What are the side effects of me taking this opioid and do you think my pain could be treated effectively [another way], because I know how dangerous these medicines can be",3.0,0.0,0.0,0.0,0.0
17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,0b196953-04c0-4a57-bdf4-ffcf4f89f4ce,Arguments_2018_08_21,Arguments,9,,{},1,4491,5000,"The findings were specific to emergency room doctors and Medicare recipients. But other researchers have found that in terms of sheer volume, family practice and internal medicine doctors, as well as nurse practitioners and physician assistants, prescribed the most opioids. ER doctors aren\u2019t the heaviest opioid prescribers, as you can see in this chart of prescriptions per doctor. So the researchers can't say how the trend they found might be different for younger patients or those who see non-ER doctors",5.0,0.0,0.0,0.0,0.0
14,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,35ecfd53-4e1d-4fc3-b155-62581dfadc51,Arguments_2018_08_21,Arguments,6,,{},1,2637,3264,"If our results represent a causal relationship, for every 48 patients prescribed a new opioid in the emergency department who might not otherwise use opioids, 1 will become a long-term user,\u201d the researchers wrote.\n\nWhat\u2019s more, the patients who, by chance, saw a doctor who more frequently prescribed the drugs were 30 percent more likely to become long-term users of painkillers. So the higher the chances of getting opioids at a single doctor visit, the higher the risk of becoming a regular user. These patients also had higher rates of opioid-related health complications like falls, fractures, constipation, and overdoses",2.0,0.0,0.0,0.0,0.0
9,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,927c2953-73c8-4971-aaa4-24b2a2555110,Arguments_2018_08_21,Arguments,1,,{},1,294,440,"Patients who, by chance, saw a doctor that more frequently prescribed opioids were 30 percent more likely to become long-term users of painkillers",1.0,0.0,0.0,0.0,0.0
10,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,3f3f28b1-eaee-4b63-b251-25c51413d442,Arguments_2018_08_21,Arguments,2,,{},1,1032,1255,"In a new study in the New England Journal of Medicine, researchers tried to tease out that link. And they found doctors\u2019 prescribing habits \u2014 whether they give out opioids at a higher rate versus a lower rate \u2014 matter a lot",1.0,0.0,0.0,0.0,0.0
37,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,9b4166e6-1e47-4e4b-8aa3-bd328a14ac5c,QuotedSources_2018_07_11,Quoted Sources,13,,{},1,4573,4873,"other researchers have found that in terms of sheer volume, family practice and internal medicine doctors, as well as nurse practitioners and physician assistants, prescribed the most opioids. ER doctors aren\u2019t the heaviest opioid prescribers, as you can see in this chart of prescriptions per doctor",0.0,M,2,L,M
26,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,86364057-1277-47ec-9ad3-ad67c81254e9,QuotedSources_2018_07_11,Quoted Sources,2,,{},1,1273,1576,"researchers from Harvard Medical School and the Harvard School of  Public Health looked at 375,000 Medicare patients who turned up in an emergency department for common reasons \u2014 such as falls, chest pain, ankle sprain, or back pain \u2014 and hadn\u2019t used opioids in the six months before their hospital stay",0.0,L,L,M,2
38,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,7de9b174-c088-44e1-be11-daee881ffae8,QuotedSources_2018_07_11,Quoted Sources,14,,{},1,5122,5382,"For patients, Barnett said the message is clear: \u201cPatients should ask their physicians, \u2018What are the side effects of me taking this opioid and do you think my pain could be treated effectively [another way], because I know how dangerous these medicines can be",0.0,L,L,L,2
