,Unnamed: 0,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0.1,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,0,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,27.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,70b8e31e-6c75-4fa3-a5d2-b1fda8520626,b0c20524-32ae-4ba7-a923-e061aac0931b,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,fe69a36d-789e-4234-9a13-a68e0d4c5c06,checklist,1.0,0.7857142857142857,0.2142857142857143,"[2866, 2867, 2868, 2869, 2870, 2871, 2872, 2873, 2874, 2875, 2876, 2877, 2878, 2879, 2880, 2881, 2882, 2883, 2884, 2885, 2886, 2887, 2888, 2889, 2890, 2891, 2892, 2893, 2894, 2895, 2896, 2897, 2898, 2899, 2900, 2901, 2902, 2903, 2904, 2905, 2906, 2907, 2908, 2909, 2910, 2911, 2912, 2913, 2914, 2915, 2916, 2917, 2918, 2919, 2920, 2921, 2922, 2923, 2924, 2925, 2926, 2927, 2928, 2929, 2930, 2931, 2932, 2933, 2934, 2935, 2936, 2937, 2938, 2939, 2940, 2941, 2942, 2943, 2944, 2945, 2946, 2947, 2948, 2949, 2950, 2951, 2952, 2953, 2954, 2955, 2956, 2957, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969, 2970, 2971, 2972, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016]",0.6686769434548292,0.58566471765659,0.7271956145845575,14.0,9.0,"the patients who, by chance, saw a doctor who more frequently prescribed the drugs were 30 percent more likely to become long-term users of painkillers",What evidence is given for the primary causal claim? Select all that apply.,Correlation,True,0.0,Evidence
1,1,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,117.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c2ac5e38-3729-4c10-846e-a403a72dba97,8ddb6499-4994-47ed-82a3-2c8850543ddf,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,fe69a36d-789e-4234-9a13-a68e0d4c5c06,checklist,1.0,0.7142857142857143,0.2857142857142857,"[3429, 3430, 3431, 3432, 3433, 3434, 3435, 3436, 3437, 3438, 3439, 3440, 3441, 3442, 3443, 3444, 3445, 3446, 3447, 3448, 3449, 3450, 3451, 3452, 3453, 3454, 3455, 3456, 3457, 3458, 3459, 3460, 3461, 3462, 3463, 3464, 3465, 3466, 3467, 3468, 3469, 3470, 3471, 3472, 3473, 3474, 3475, 3476, 3477, 3478, 3479, 3480, 3481, 3482, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 3490, 3491]",0.6026550065460619,0.6026550065460619,0.6584703604158881,14.0,9.0,30 percent higher use when patients saw higher dose prescribers,What evidence is given for the primary causal claim? Select all that apply.,Correlation,True,0.0,Evidence
2,2,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,93.0,100000.0,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,bc8f0f3a-ee77-4252-ba8b-6d0491055a53,c2345c3e-ddab-48ad-820a-f5564adbd2c3,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,fe69a36d-789e-4234-9a13-a68e0d4c5c06,checklist,1.0,0.7857142857142857,0.2142857142857143,"[, 297, , 298, , 299, , 300, , 301, , 302, , 303, , 304, , 305, , 306, , 307, , 308, , 309, , 310, , 311, , 848, , 849, , 850, , 851, , 852, , 853, , 854, , 855, , 856, , 857, , 858, , 859, , 860, , 861, , 862, , 863, , 864, , 865, , 866, , 867, , 868, , 869, , 870, , 871, , 872, , 873, , 874, , 875, , 876, , 877, , 878, , 879, , 880, , 881, , 882, , 883, , 884, , 885, , 886, , 887, , 888, , 889, , 890, , 891, , 892, , 893, , 894, , 895, , 896, , 897, , 898, , 899, , 900, , 901, , 902, , 903, , 904, , 905, , 906, , 907, , 908, , 909, , 910, , 911, , 912, , 913, , 914, , 915, , 916, , 917, , 918, , 919, , 920, , 921, , 922, , 923, , 924, , 925, , 926, , 927, , 928, , 929, , 930, , 931, , 932, , 933, , 934, , 935, , 936, , 937, , 938, , 939, , 940, , 941, , 942, , 943, , 944, , 945, , 946, , 947, , 948, , 949, , 950, , 951, , 952, , 953, , 954, , 955, , 956, , 957, , 958, , 959, , 960, , 961, , 962, , 963, , 964, , 965, , 966, , 967, , 968, , 969, , 970, , 971, , 972, , 973, , 974, , 975, , 976, , 977, , 978, , 979, , 980, , 981, , 982, , 983, , 984, , 985, , 986, , 987, , 988, , 989, , 990, , 991, , 992, , 993, , 994, , 995, , 996, , 997, , 998, , 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1056]",0.46141393013593546,0.40412596372718657,0.6235641079251106,14.0,9.0,"associated with//Teens who slept for less than six hours per night were three times more likely to report considering suicide, planning a suicide attempt or attempting suicide, compared with teens who slept eight hours or more",What evidence is given for the primary causal claim? Select all that apply.,Correlation,True,0.0,Evidence
3,3,Evidence,4.0,,ordinal,3.0,-1.0,Sample representativeness,103.0,100000.0,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,bc8f0f3a-ee77-4252-ba8b-6d0491055a53,c2345c3e-ddab-48ad-820a-f5564adbd2c3,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,fbab56ce-cf4c-40f5-b0ca-9363769c7a00,ordinal,3.0,0.6135183410843547,0.6135183410843547,[],,,0.6135183410843547,14.0,6.0,,How representative is the sample of the population that the claim is made about?,Somewhat representative,True,-0.6135183410843547,Evidence
4,4,Evidence,4.0,,ordinal,4.0,-2.0,Sample representativeness,126.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c2ac5e38-3729-4c10-846e-a403a72dba97,8ddb6499-4994-47ed-82a3-2c8850543ddf,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,c0e1b1af-fe21-4440-9034-9826aecf8d2e,ordinal,4.0,0.6651269006857319,0.6651269006857319,[],,,0.6651269006857319,14.0,6.0,,How representative is the sample of the population that the claim is made about?,Slightly representative,True,-1.3302538013714638,Evidence
5,5,Evidence,4.0,,ordinal,4.0,-2.0,Sample representativeness,36.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,70b8e31e-6c75-4fa3-a5d2-b1fda8520626,b0c20524-32ae-4ba7-a923-e061aac0931b,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,c0e1b1af-fe21-4440-9034-9826aecf8d2e,ordinal,4.0,0.6651340727608744,0.6651340727608744,[],,,0.6651340727608744,13.0,6.0,,How representative is the sample of the population that the claim is made about?,Slightly representative,True,-1.3302681455217489,Evidence
6,6,Evidence,8.0,,ordinal,3.0,-2.0,Alternative explanation,171.0,100000.0,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,ca07c184-4d64-4def-9bbe-52965d37d08f,8602fc89-4a9d-474d-ad1f-92eff9d07395,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,2652c44f-77b0-4791-a42e-0d2bf7c35e45,ordinal,3.0,0.8239789578896779,0.8239789578896779,[],,,0.8239789578896779,6.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,True,-1.6479579157793558,Evidence
7,7,Evidence,8.0,,ordinal,3.0,-2.0,Alternative explanation,149.0,100003.0,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,c6b27353-02d7-4006-9cc0-6fff3ae7af27,17a4b898-a714-4aa4-8fec-676a440efbc7,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,2652c44f-77b0-4791-a42e-0d2bf7c35e45,ordinal,3.0,0.7648089362279381,0.7648089362279381,[],,,0.7648089362279381,7.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,True,-1.5296178724558762,Evidence
8,8,Evidence,8.0,,ordinal,4.0,-1.0,Alternative explanation,39.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,70b8e31e-6c75-4fa3-a5d2-b1fda8520626,b0c20524-32ae-4ba7-a923-e061aac0931b,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,dc70d3cd-9da0-4a77-b01c-9d705864b3fe,ordinal,4.0,0.7634006890524925,0.7634006890524925,[],,,0.7634006890524925,14.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.7634006890524925,Evidence
9,9,Evidence,8.0,,ordinal,4.0,-1.0,Alternative explanation,17.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,a4896746-3ce7-421f-9eb5-14a2e29d8b63,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,dc70d3cd-9da0-4a77-b01c-9d705864b3fe,ordinal,4.0,0.7838307722921334,0.7838307722921334,[],,,0.7838307722921334,19.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.7838307722921334,Evidence
