schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q2,T1.Q5,T1.Q6,T1.Q7,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q12.A5,T1.Q13,T1.Q14
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,40e43e44-ef16-458e-912d-349775f66d55,e44f5799-6915-45fd-874e-060f6afedcb9,2019-09-27 23:38:31.712719,2019-09-27 23:41:40.034676,188.321957,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, implicitly",No,,,"Yes, implicitly",0,0,0,1,0,8,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f288b77b-7f83-4249-93f0-722426475971,3412be43-641f-4df9-a2d3-bc24946e4640,2019-09-28 00:20:27.782103,2019-09-28 00:25:57.640996,329.858893,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,I can't tell,0,0,0,0,0,8,8
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e67cf401-9bc7-4891-891e-fa641d7e9f15,ad9e9ff6-b175-4aa0-a5f9-6d6df546a0da,2019-09-28 00:19:06.659576,2019-09-28 00:29:35.379826,628.72025,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,0,0,1,0,3,8
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,367d71b1-e1c2-4997-95a0-1d440cf7d0a8,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-09-28 00:13:00.922673,2019-09-28 00:29:42.649438,1001.726765,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,5: Middling difficulty,8
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,4716be91-7c4a-4180-99dc-e766ae148d04,6a76c935-dac8-40f8-88b1-97cf893331ad,2019-09-28 00:13:09.494045,2019-09-28 00:29:57.085609,1007.591564,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,5: Middling difficulty,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e24b519a-b82a-4902-89d0-98ba942cb8bb,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-09-28 00:18:54.801643,2019-09-28 00:30:06.156383,671.35474,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,6,4
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,02bd59fd-f5a1-4fe0-8400-a58fde78fa67,40e8da50-18a7-4eaf-aba1-69b3ee956fc1,2019-09-28 00:14:11.528409,2019-09-28 00:30:13.269897,961.741488,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,"Yes, explicitly",No,,,"No, not at all",0,0,0,0,0,5: Middling difficulty,6
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d4f1f827-055b-469e-b79f-963301f0698d,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-09-28 00:13:36.626170,2019-09-28 00:30:13.539706,996.913536,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Maybe,Somewhat justified,"Yes, explicitly",No,,,"Yes, explicitly",0,1,1,1,0,5: Middling difficulty,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,04390544-99e2-4b70-83c4-165273a97a0b,50b97722-8671-4131-8a54-409491b48a1e,2019-09-28 00:13:11.408860,2019-09-28 00:30:15.404962,1023.996102,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,0,1,1,0,6,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,8ef13806-0871-48fe-a24d-9662ceed7c09,50966100-9a8f-41d7-9ef4-be1a09c283e0,2019-09-28 00:19:20.692915,2019-09-28 00:30:19.446299,658.753384,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,0,1,1,0,5: Middling difficulty,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,72112e05-cd25-48eb-9ab2-6a3e073c0579,bd786026-bad5-4fa8-9a3a-38ca03a16412,2019-09-28 00:18:13.637742,2019-09-28 00:30:20.752528,727.114786,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,9,5: 50-50
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,4b9c40c7-5870-4bae-9b0b-16400a3b79d5,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-28 00:30:20.917596,2019-09-28 00:30:20.972386,0.05479,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,5: Middling difficulty,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,435ddd7d-1b17-4152-9d49-ca09893aca8f,aa6922da-994c-4d34-aa93-ae9abc41d8f7,2019-09-28 00:19:17.705623,2019-09-28 00:30:28.409881,670.704258,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,0,0,1,0,4,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,b16e2a6e-8665-4f58-bb32-424f45be893f,a31c365c-986b-4dbe-b752-bbb5986cc7f2,2019-09-28 00:16:21.337392,2019-09-28 00:30:51.963206,870.625814,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,0,1,0,0,6,8
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,37183c86-bbd9-4581-b4d7-7343a72b0ce9,59deb714-60fb-4368-ac51-101d628951ef,2019-09-28 00:20:05.579093,2019-09-28 00:32:01.166047,715.586954,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q12, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, explicitly",No,,,"Yes, implicitly",0,1,1,1,0,5: Middling difficulty,7
ProbabilitySpecialist_2019_08_05,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,33aeb7c3-b1f5-42a0-a94f-9a78d26ca939,https://pe.goodlylabs.org/project/BETA_Probability/task/2200,23,20,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,6f3e9dd2-079d-4f59-bc21-fe3bd89698a5,12d9718f-030a-487e-872c-46372f945e17,2019-09-28 05:01:03.026100,2019-09-28 05:03:49.419324,166.393224,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, implicitly",No,,,I can't tell,0,0,0,0,0,4,7
