task_uuid,article_filename,article_sha256,namespace,start_pos,end_pos,topic_name,case_number,target_text
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,230,300,Arguments,1,"We all know liberals and conservatives are different, broadly speaking"
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,522,620,Arguments,1,These two political classes are so dissimilar that people like to joke they are \u201cwired differently
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,623,871,Arguments,2,But it turns out that might literally be true. Recent brain science suggests there are measurable differences in how liberal and conservative brains process information\u2014distinctions that could have significant impact on what happens on Election Day
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,2373,3095,Arguments,1,"how this might extend to politics. Progressivism, the pursuit of progress, is, by definition, the pursuit of change, of new things. So, we might expect to see progressive ideology in people with more active dopamine circuits. And that\u2019s just what we do find. Researchers from the University of California discovered that people who inherit particularly active dopamine receptor genes are more likely to subscribe to a liberal ideology. (They also tend to get bored easily and seek novelty, and can be impulsive, exploratory, excitable, quick-tempered and extravagant.) It\u2019s no surprise that so many actors, artists, academics and writers tend to be liberal: Dopamine may be driving both their creativity and their politics"
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,3097,3310,Arguments,1,"Similarly, people with lower levels of dopamine and higher levels of the \u201cHere & Now\u201d brain chemicals are more likely to take their enjoyment from the appreciation of things they already have. They value tradition"
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,3503,3620,Arguments,1,genes that code for a less active dopamine system have been linked to people who identify as conservative politically
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,3846,3960,Arguments,1,This chemical difference can also help explain why liberals tend to be more politically engaged than conservatives
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,3962,4223,Arguments,2,"A 2017 study conducted by the Public Religion Research Institute found that liberals were more likely than conservatives to express political opinions on social media, contact elected officials, donate money to a political campaign, and attend a political rally"
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,4349,5057,Arguments,2,"But even though under ordinary circumstances liberals are more engaged in the political process, liberals don\u2019t always have the enthusiasm edge. Why? Because conservative brains, chemically inclined toward preserving the here and now, are more sensitive to threats that might undermine their current way of life. When a group of volunteers were divided by political affiliation, researchers found that, compared to liberals, conservatives had a stronger physiological reaction to frightening images, such as a spider crawling on a man\u2019s face. Also, when presented with a selection of positive and negative images, conservatives spent more time gazing at the negative images\u2014pictures that represented a threat"
a4353497-6781-41e4-b9d4-dec2de40b552,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,Arguments_2018_08_21,5059,5704,Arguments,2,"This neuroscience suggests that the current confrontational political climate may be helping the conservative cause. News articles that describe public harassment by activists, for example, trigger threat circuits in the brain and can turn the ordinarily complacent conservative into an enthusiastic partisan. Perhaps conservative leaders know this, which is why they frequently emphasize threats. (See the GOP midterm campaign ads accusing Democrats of encouraging \u201cmob rule.\u201d) In response, liberal leaders might reduce conservatives\u2019 motivation to vote by playing down confrontation, and instead emphasizing the commonality all Americans share"
