schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",9bb7d011-70ac-4028-81ab-9a49ed6508f3,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,1001814f-3d89-4e1f-8c1e-e712a4999c51,T1.Q1.A1,"General Causation (In general, X causes Y.)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",9bb7d011-70ac-4028-81ab-9a49ed6508f3,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,291df628-7c03-473d-a625-d189a6c4367a,T1.Q1.A2,"Singular Causation (In this case, A caused/is causing B)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",9bb7d011-70ac-4028-81ab-9a49ed6508f3,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,43deba4a-8963-4910-8ab0-e2a76b258c70,T1.Q1.A3,No causal claim made,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,fe69a36d-789e-4234-9a13-a68e0d4c5c06,T1.Q2.A1,Correlation,T1.Q4,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,96439f50-d33f-496d-af59-ed759875ad94,T1.Q2.A2,Cause precedes effect,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,374f9785-c5dd-448d-a66a-ad9a5016f6d9,T1.Q2.A3,The correlation appears across multiple independent contexts,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,1dc630d6-b642-4b88-a197-90212cf5bd64,T1.Q2.A4,A plausible mechanism is proposed,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,8fa9b6f4-caae-48e3-a756-21a692e911f2,T1.Q2.A5,An experimental study was conducted (natural experiments OK),"T1.Q4, T1.Q5",1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,2d59c2ac-a5c0-4ff7-968b-925cba1ba702,T1.Q2.A6,There is a clear dose-response curve,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,51e29e9a-345d-47e6-bd1a-80594d107daf,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d5d52599-0ece-4d4c-a25c-d0455826e9f8,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,e9bfd507-ec14-44f9-9c07-08e90523203a,T1.Q2.A7,Experts are cited,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
