schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,14f6f796-9a31-4ec4-ade6-f03f31fd2608,T1.Q1.A1,"Honorific (e.g. Mr. Mrs., Dr.)",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,36602f94-ba1b-4675-b5fa-373f54513e57,T1.Q1.A2,"Title, role, or position (e.g. ""Professor of Paleontology"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,b95987a0-79fa-4717-8c82-0a6b3a8f789e,T1.Q1.A3,"First name (e.g. ""Jon"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,841ff0be-6f0c-4b6b-a1e6-d5481a8b2af6,T1.Q1.A4,Middle name or initial,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,258f8fcc-3119-45cc-8f3f-d0e58d7bc94e,T1.Q1.A5,"Last name (e.g. ""Snow"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,0428d5d8-c147-4963-a77f-0b7175007a7a,T1.Q1.A6,"Other description of person (e.g. ""Boston's favorite ice cream heiress"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,0905ede6-d253-4ab5-a44b-b6cf2e256b5b,T1.Q1.A7,"Organization (e.g. ""from House Stark"" or ""of the University of Lichfield"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,4ad0a527-fba0-42d5-9239-01df5f74c89a,T1.Q1.A8,"Description of Organization (i.e. ""a Springfield institution"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",46bfff51-31c9-4013-9e85-196d1aaa0a89,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,fea028a3-e9f5-449c-990d-f97df2f8e956,T1.Q1.A9,"Only a vague description (e.g. ""experts say ..."")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b4ff29af-44fc-431d-9d39-f7aa3ad66e92,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",db30ea33-eb31-4467-886d-34b24a161824,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text are:",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,5fe25f51-9a02-43a8-af55-661fa548b99c,T1.Q2.A1,Direct quote,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
