schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,5aff36a3-f8c5-4e24-b28f-6b1bc7527694,T1.Q1.A1,News report,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,357cd3dd-70ea-44c5-b3ed-69de22de6bba,T1.Q1.A2,Feature article/In depth analysis,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,a2f97bce-2512-43e0-9605-0d137d30d8e6,T1.Q1.A3,Opinion piece/Editorial/Op Ed,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,a751e1df-3c0a-49cc-83fb-e0e68a2cfbbc,T1.Q1.A4,Sponsored content,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,72bd3bb2-e302-486a-a901-6368e7216c9e,T1.Q1.A5,Letter to the Editor,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,251e628c-2cd1-467a-9204-6f1b7c80cf79,T1.Q1.A6,Interview,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,3a15ec1d-16b3-4281-9a1b-47d9e621c700,T1.Q1.A7,Hyper-Partisan,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,6d895466-d7d2-4e50-89d1-bc5ee74dc2e5,T1.Q1.A8,Listicle,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f654513e-e0fc-4c38-9d07-d979bda04b49,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,04f7518e-e323-4851-ad38-343c148a7c9c,T1.Q1.A9,Other/Can't tell,T1.Q2,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,01bd5dc4-343b-472a-afef-0888c758c27f,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",abfc57cb-729f-4c00-9a85-adb38f454f41,T1.Q2,You said it was some “Other” type of article. What type of article is it?,TEXT,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",1,50a71b98-5768-482a-8247-a5923e309015,T1.Q2.A1,placeholder answer for TEXT,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
