schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q2.A1,T1.Q2.A2,T1.Q2.A3,T1.Q2.A4,T1.Q2.A5,T1.Q2.A6,T1.Q2.A7,T1.Q2.A8,T1.Q2.A9,T1.Q3,T1.Q4,T1.Q5,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13,T1.Q14
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,c5df7dbf-85ef-4935-81a7-c24daa809afe,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2848,1,4,CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,569039c7-059b-44ac-b947-2998dff1befc,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:03:27.974431,2020-03-22 15:05:45.176476,137.202045,"T1.Q1, T1.Q2, T1.Q3, T1.Q7, T1.Q8, T1.Q9, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,0,1,0,0,0,0,1,0,tests confirm Covid and deaths are not so common as to be easily ascribed to other causes,,,,If the test is actually testing for a different virus that's also lethal. Extremely unlikely,Much less likely,No,,,"No, not at all",3,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,c7230f9c-9c32-4a0f-abf2-ec7b5e74ee9f,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2849,1,4,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,e87b6852-9e1e-4bc5-9a7a-2a570a285bf9,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:03:28.228801,2020-03-22 15:08:33.625984,305.397183,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,0,1,0,0,1,0,1,0,corona tests,Can't tell; not enough info,,,None,Much less likely,Yes,Very Unlikely,Very Unlikely,I can't tell,3,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,bb5c9329-144f-4d11-b54f-ca30121028a4,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2850,1,4,CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,c4ae96b9-da9c-4ef4-bb68-68800ee26e51,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:05:45.451582,2020-03-22 15:11:30.806926,345.355344,"T1.Q1, T1.Q9, T1.Q12, T1.Q13, T1.Q14",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,No,,,"Yes, implicitly",2,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,441e43ab-6be0-4a3a-820d-72f07efee748,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2851,1,4,CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,be879639-a2cd-463e-96f3-28dc30620789,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:08:33.880598,2020-03-22 15:14:30.227215,356.346617,"T1.Q1, T1.Q2, T1.Q7, T1.Q8, T1.Q9, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,0,0,0,0,0,0,0,1,,,,,NA,Much less likely,No,,,"Yes, implicitly",3,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,fe008311-4d69-465a-85e0-f14455a827a4,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2852,1,4,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,0cb91b47-61db-4e60-a852-b4612e0d9c0d,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:11:31.082532,2020-03-22 15:15:44.159684,253.077152,"T1.Q1, T1.Q9, T1.Q12, T1.Q13, T1.Q14",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,No,,,"No, not at all",2,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,b70500ce-f185-42bf-bced-76b4f968def0,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2853,1,4,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,e2f7b4d2-eb13-448b-80b9-afe56a0cba1f,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:14:30.508314,2020-03-22 15:19:56.031951,325.523637,"T1.Q1, T1.Q2, T1.Q3, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,1,0,0,0,0,0,1,0,background knowledge now shared by readers about tests and pneumonia,,,,other deadly disease that yields a false positive on covid tests,Much less likely,Maybe,Somewhat Unlikely,Somewhat Likely,I can't tell,3,8
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,d380d897-8b52-4a5b-a319-b27ea916b674,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2854,1,4,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,675505ed-7479-43a8-85c1-bf8c89ed192a,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:15:44.431438,2020-03-22 15:20:56.729993,312.298555,"T1.Q1, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,Yes,Very Unlikely,Extremely Likely,I can't tell,3,9
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,5985e15b-66bd-41c5-9659-86fab8376b8d,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2855,1,4,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,245e3a4b-26f3-414f-9d79-404308f11958,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:19:56.321211,2020-03-22 15:23:25.543988,209.222777,"T1.Q1, T1.Q2, T1.Q3, T1.Q7, T1.Q8, T1.Q9, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,1,1,0,0,0,0,1,0,"now widely known that & how covid kills people, no need to give evidence here",,,,other virus that yields false positives. equivalent.,Much less likely,No,,,"No, not at all",3,8
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,f6e68259-8894-418e-b4c3-c785dc837aa5,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2856,1,4,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,c8c5b416-39b2-450c-868c-d42fd5cde11a,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:20:56.989394,2020-03-23 21:20:11.193132,107954.203738,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,1,0,0,1,0,0,0,0,,Fairly representative,Appropriate control,Yes,They used systematically different strains on different surfaces,Much less likely,Maybe,Very Unlikely,Very Unlikely,I can't tell,3,8
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,5ce23012-9188-4884-a734-eeaf8dc19639,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2857,1,4,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,52371355-aabe-45fc-ba2f-0f38d0d5bd2d,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-22 15:23:25.821840,2020-03-23 21:21:57.760360,107911.93852,"T1.Q1, T1.Q2, T1.Q7, T1.Q8, T1.Q9, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,1,1,0,0,0,0,0,0,,,,,some other virus is causing the deaths,Much less likely,No,,,"Yes, implicitly",2,8
