schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q2,T1.Q3,T1.Q4.A1,T1.Q4.A2,T1.Q4.A3,T1.Q4.A4,T1.Q4.A5,T1.Q4.A6,T1.Q4.A7,T1.Q4.A8,T1.Q4.A9,T1.Q5.A1,T1.Q5.A2,T1.Q5.A3,T1.Q5.A4,T1.Q5.A5,T1.Q5.A6,T1.Q5.A7,T1.Q5.A8,T1.Q5.A9,T1.Q6.A1,T1.Q6.A2,T1.Q7.A1,T1.Q7.A2,T1.Q7.A3,T1.Q7.A4,T1.Q7.A5,T1.Q7.A6,T1.Q8,T1.Q9,T1.Q10
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7c635fe6-8cc5-4671-a22a-c30fb324b1cf,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2770,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,f2e5a040-bd7e-456c-8f56-03a48009e30b,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 20:08:07.223419,2020-03-23 20:11:53.027837,225.804418,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Provide non-essential context for article.,4,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7c635fe6-8cc5-4671-a22a-c30fb324b1cf,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2770,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,d1937fdb-04d9-4242-887d-47e01dd84caa,e44f5799-6915-45fd-874e-060f6afedcb9,2020-03-23 19:17:19.357981,2020-03-23 19:20:40.426163,201.068182,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Somewhat, yes",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Provide non-essential context for article.,7,5: 50-50
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7c635fe6-8cc5-4671-a22a-c30fb324b1cf,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2770,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,5448ad37-42f5-49e9-b8f2-705f51d70542,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 22:21:37.584138,2020-03-22 22:31:14.581949,576.997811,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Irrelevant to central claim,4,7
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,a84b3b17-d59f-4350-815b-e7793ff1f76f,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2782,3,3,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,2484bfea-3a7a-47a3-aec7-0a669e8479c5,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2020-03-24 02:36:41.947386,2020-03-24 02:50:55.865689,853.918303,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Provide important support to central claim of the article.,4,7
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,a84b3b17-d59f-4350-815b-e7793ff1f76f,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2782,3,3,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,12c76300-669a-4b1a-8467-7e8e7f6f38c8,bd786026-bad5-4fa8-9a3a-38ca03a16412,2020-03-23 21:46:30.181268,2020-03-23 21:53:17.693538,407.51227,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Provide non-essential context for article.,6,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,a84b3b17-d59f-4350-815b-e7793ff1f76f,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2782,3,3,CovidArticles/Over1000PeopleCuredOf.txt,100057,Over1000PeopleCuredOf.txt,7d1747829a65cd4dad0faf30a704875a125e9decce3b3bcc82f151193923aad8,944067ed-2ac5-4bd4-b9c0-971664f456e6,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-23 21:38:24.735634,2020-03-23 21:40:35.410307,130.674673,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Central idea/s of article.,2,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,00ef0777-da36-47b0-94d4-135eb520bcfb,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2764,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,9f7b6c11-1671-475b-8871-7bd9a918b6ec,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 19:56:38.722047,2020-03-23 19:59:49.972374,191.250327,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Not really,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Provide important support to central claim of the article.,3,10: 100% certain about all my answers
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,00ef0777-da36-47b0-94d4-135eb520bcfb,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2764,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,0fec1e76-9c6b-477c-91ae-8107111269a3,e44f5799-6915-45fd-874e-060f6afedcb9,2020-03-23 19:08:36.080363,2020-03-23 19:10:52.391095,136.310732,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Not really,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,Provide non-essential context for article.,7,5: 50-50
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,00ef0777-da36-47b0-94d4-135eb520bcfb,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2764,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,934b8c31-4c3a-476d-be0c-8f10c7deb14a,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 21:35:24.432392,2020-03-22 21:42:49.307889,444.875497,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,There's no way to know based on the information given,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Provide non-essential context for article.,3,7
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b4d3861f-5db7-4def-b3d8-14ab384985b5,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2774,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,e1f33cc5-3429-4e9c-ab32-1cadacd5e34b,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-23 23:25:50.311612,2020-03-23 23:57:39.693731,1909.382119,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Somewhat, yes",No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,Provide important support to central claim of the article.,5: Middling difficulty,5: 50-50
