article_filename,article_sha256,namespace,start_pos,end_pos,topic_name,case_number,target_text
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,1258,2120,Evidence,1,"For the study, researchers from Harvard Medical School and the Harvard School of  Public Health looked at 375,000 Medicare patients who turned up in an emergency department for common reasons — such as falls, chest pain, ankle sprain, or back pain — and hadn’t used opioids in the six months before their hospital stay.

The study authors then split the group into patients who happened to be assigned to doctors who prescribed a lot of opioids, and patients who met doctors who didn’t. This was a clever study design, since the major difference between the groups was how the doctors prescribed opioids, which allowed the researchers to figure out whether the prescribing patterns influenced patients’ long-term use of painkillers. (In the study, “long-term use” was described as six or more months of daily opioids in the 12-month period following the ER visit"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,2124,2632,Evidence,1,"It turns out the doctors’ actions mattered hugely. The patients who saw the heavy opioid prescribers were three times more likely to receive a prescription for opioids compared with the patients who saw the more judicious opioid prescribers at the same hospital. The high prescribers doled out opioids to a quarter of their patients, while the more conservative prescribers only treated 7 percent with opioids on average, a variation the researchers thought was likely the result of inappropriate prescribing"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,2853,3017,Evidence,1,"What’s more, the patients who, by chance, saw a doctor who more frequently prescribed the drugs were 30 percent more likely to become long-term users of painkillers"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,3019,3136,Evidence,1,"So the higher the chances of getting opioids at a single doctor visit, the higher the risk of becoming a regular user"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,3138,3264,Evidence,1,"These patients also had higher rates of opioid-related health complications like falls, fractures, constipation, and overdoses"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,3267,3614,Evidence,2,"In a separate analysis, the researchers looked at doctors who gave out high doses versus low doses of painkillers when they prescribe, and found the same effect: 30 percent higher use when patients saw higher dose prescribers, though the researchers also acknowledged this long-term use required prescriptions from other doctors after the ER visit"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,588,603,Language,1,shockingly high
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,768,781,Language,1,minor problem
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,844,858,Language,1,wind up hooked
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,1602,1743,Reasoning,1,"split the group into patients who happened to be assigned to doctors who prescribed a lot of opioids, and patients who met doctors who didn’t"
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,1783,1861,Reasoning,1,the major difference between the groups was how the doctors prescribed opioids
1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,nan,4119,4216,Reasoning,2,The research highlights the need to better educate doctors on how to safely prescribe these drugs
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,113,133,Confidence,1,It’s long been known
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,344,347,Confidence,2,can
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,921,933,Confidence,3,every single
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,950,968,Confidence,3,noticeable changes
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,1540,1543,Confidence,1,may
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,1879,1896,Confidence,4,The team believes
1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,nan,510,594,Evidence,1,MRI scans of over twenty astronauts before and after spaceflights of various lengths
