schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q2.A1,T1.Q2.A2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q4.A1,T1.Q4.A2,T1.Q4.A3,T1.Q4.A4,T1.Q4.A5,T1.Q4.A6,T1.Q4.A7,T1.Q4.A8
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,fa81e847-20a6-4a95-afe3-351b9fa19c08,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1474,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,4aec33cf-4e0e-4ad9-8e91-469f806c1a4d,fdc90a06-8cb6-4f71-92a4-66f386bec382,2018-10-23 15:40:32.367469,2018-10-23 15:57:22.451146,1010.083677,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,8dcda7cf-fe12-44d6-a5a8-0d507a593829,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1470,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,e6fa4c24-e0ff-4573-9f21-b22e35e1b826,8301bc36-989e-4bc1-927c-5dddfd3ae95b,2018-10-20 01:10:59.585593,2018-10-20 01:25:23.165459,863.579866,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,8dcda7cf-fe12-44d6-a5a8-0d507a593829,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1470,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,12281594-ef2c-4843-ba68-50dc709fb7a7,47862826-e1c1-492b-8c3d-ccb716c16d57,2018-10-20 01:10:05.087834,2018-10-20 01:30:14.272248,1209.184414,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,b0c9661a-6f33-4a1e-aec6-6efc7c628835,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1471,Demo2,100001,politicalarticle3.txt,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,0be8f628-91c7-4c70-bc93-93cf27604746,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2018-10-20 01:26:27.129272,2018-10-20 01:32:31.361306,364.232034,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,b0c9661a-6f33-4a1e-aec6-6efc7c628835,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1471,Demo2,100001,politicalarticle3.txt,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,afdd9591-496f-409c-b749-13a5472e45d8,77fa0a74-3eae-4191-a871-d1c36ae2d007,2018-10-20 01:26:01.328571,2018-10-20 01:33:20.614529,439.285958,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ba63422-f78f-4bea-a9de-43764c26a3ec,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1468,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,3fe38c02-46e4-4923-9445-338cb11134f7,47862826-e1c1-492b-8c3d-ccb716c16d57,2018-10-20 01:03:35.729516,2018-10-20 01:10:04.866087,389.136571,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ba63422-f78f-4bea-a9de-43764c26a3ec,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1468,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,d94d170c-4d56-4509-a8ce-176d6bd0d4a3,8301bc36-989e-4bc1-927c-5dddfd3ae95b,2018-10-20 01:04:22.414812,2018-10-20 01:10:59.387039,396.972227,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ba63422-f78f-4bea-a9de-43764c26a3ec,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1468,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,49acafb4-50d0-408d-8909-2e0f4183614c,699a3411-60da-4dd4-9e77-8108b85beaf2,2018-10-20 01:03:58.469954,2018-10-20 01:12:43.552821,525.082867,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,ac71fa0a-fcbb-48cd-b80a-e8b25f311e26,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1476,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,e688d4ef-841e-41cf-ab09-3bfbd5e45567,fdc90a06-8cb6-4f71-92a4-66f386bec382,2018-10-23 15:57:22.772635,2018-10-23 16:10:37.354765,794.58213,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,acac6920-1f93-477e-a85a-f7a8a7a2904f,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1475,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2dee6818-5790-4b27-85f6-7379e1dd6e61,fdc90a06-8cb6-4f71-92a4-66f386bec382,2018-10-23 15:53:58.578018,2018-10-23 16:04:36.946313,638.368295,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,4cc7bae5-4477-4150-ae7e-c279aa1b620d,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1469,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,7104cdc2-cbc4-4b85-b582-35f740c0bdd9,8301bc36-989e-4bc1-927c-5dddfd3ae95b,2018-10-20 01:04:22.526386,2018-10-20 01:15:22.889927,660.363541,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,4cc7bae5-4477-4150-ae7e-c279aa1b620d,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1469,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,2c7c59b4-4471-4ae1-b0a3-c02891c27c94,47862826-e1c1-492b-8c3d-ccb716c16d57,2018-10-20 01:03:35.860738,2018-10-20 01:20:35.435472,1019.574734,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,4cc7bae5-4477-4150-ae7e-c279aa1b620d,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1469,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,9d6288ee-5b28-455f-85a3-e68dc6a4c11f,699a3411-60da-4dd4-9e77-8108b85beaf2,2018-10-20 01:03:58.591548,2018-10-20 01:23:38.004072,1179.412524,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,67819b73-f8f3-4544-91c6-4b32093b4bd0,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1473,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,fd03c90d-a43a-43c9-bc74-f455723fb6e9,fdc90a06-8cb6-4f71-92a4-66f386bec382,2018-10-23 15:40:32.173341,2018-10-23 15:53:58.253789,806.080448,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,2b3330a7-4536-428c-a15b-b4815bb769bf,https://pe.goodlylabs.org/project/Demo3dhSourceRel3/task/1472,Demo2,100003,politicalarticle4.txt,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,3bbca82b-fd86-4176-90ce-7fef5a201b33,797a6044-1dfc-4b95-8537-4eb191d0eb0f,2018-10-20 01:42:08.960526,2018-10-20 01:47:28.809739,319.849213,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
