schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,21b20055-b3a5-4830-9959-19660d126f28,e44f5799-6915-45fd-874e-060f6afedcb9,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,21b20055-b3a5-4830-9959-19660d126f28,Yes,1,230,241,We all know,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,21b20055-b3a5-4830-9959-19660d126f28,e44f5799-6915-45fd-874e-060f6afedcb9,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,21b20055-b3a5-4830-9959-19660d126f28,Yes,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,1e5e0244-deb7-4983-8426-720bb99cbb5d,e44f5799-6915-45fd-874e-060f6afedcb9,Probability,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,T1.Q3.A2,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",a43c2c19-493e-4fc1-aed6-a41c59c7637e,1e5e0244-deb7-4983-8426-720bb99cbb5d,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",1,5822,5887,"So, within each group there are plenty who buck the overall trend",6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,1e5e0244-deb7-4983-8426-720bb99cbb5d,e44f5799-6915-45fd-874e-060f6afedcb9,Probability,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,T1.Q3.A2,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",a43c2c19-493e-4fc1-aed6-a41c59c7637e,1e5e0244-deb7-4983-8426-720bb99cbb5d,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",1,5950,6038,"Most scientific study tells us something about groups, but very little about individuals",6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,1e5e0244-deb7-4983-8426-720bb99cbb5d,e44f5799-6915-45fd-874e-060f6afedcb9,Probability,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,T1.Q3.A2,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",a43c2c19-493e-4fc1-aed6-a41c59c7637e,1e5e0244-deb7-4983-8426-720bb99cbb5d,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",1,6156,6179,could have consequences,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,ccdbc655-959f-4ed6-9fe0-8ef9a57f4560,10e1caef-b668-42eb-aaf2-b53578207c51,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,ccdbc655-959f-4ed6-9fe0-8ef9a57f4560,Yes,1,5950,6038,"Most scientific study tells us something about groups, but very little about individuals",6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,230,241,We all know,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,398,421,The stereotypes tell us,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,2079,2086,we know,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,2242,2265,more likely than others,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,2296,2301,Often,6324
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,1ee8de2f-e16b-440c-9fe5-6dc1a38f9bd8,https://pe.goodlylabs.org/project/ElectProb2/task/1545,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,798b420d-741e-42d0-b87f-b930d6daa533,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Probability,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,798b420d-741e-42d0-b87f-b930d6daa533,Yes,1,2942,2958,"It\u2019s no surprise",6324
