quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,ab4adac1-7e6f-4322-81a5-eb1d1a596d21,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,5,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,1,"Yes, explicitly",5b0b36aa-5164-45fd-a4a9-6e48736cc3c0,ab4adac1-7e6f-4322-81a5-eb1d1a596d21,"Yes, explicitly",1,4386,4506,"the cosmic microwave background isn't directly affected by dark energy, so only serves as an ""indirect"" type of evidence",6532
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,91f143c3-8083-4bd2-9f0b-ceb69911f179,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,6,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),7,Experts are cited,8897f9f5-eaba-4e76-ac09-656d7c75e7bf,91f143c3-8083-4bd2-9f0b-ceb69911f179,Experts are cited,1,4363,4380,They also mention,6532
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,38efd198-de96-4b5d-9a08-9dff949130a1,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,5,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,2,"Yes, implicitly",2b756602-f53e-4d67-b30a-7d960e386b9f,38efd198-de96-4b5d-9a08-9dff949130a1,"Yes, implicitly",1,9027,9209,"The number of deaths on our roadways really peaked in the 1970s,"" he said. Back then, ""a lot of the safety advances that we've all become quite accustomed to"" had not yet taken place",9512
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1f8fb3d3-2872-48cf-9fc4-b16b1f50db97,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,6,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,2e54f046-c244-484a-959d-e2ea01b05efc,1f8fb3d3-2872-48cf-9fc4-b16b1f50db97,Cause precedes effect,1,9114,9209,"a lot of the safety advances that we've all become quite accustomed to"" had not yet taken place",9512
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,8ed8ab88-d8b8-4bbe-aa80-9cc04195af0f,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,6,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),4,A plausible mechanism is proposed,5345f604-d922-4ae3-9f1d-22ad5e9ef01f,8ed8ab88-d8b8-4bbe-aa80-9cc04195af0f,A plausible mechanism is proposed,1,9114,9142,a lot of the safety advances,9512
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2a01f556-fef2-4230-965a-eccf369c73de,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,CausalitySpecialist_2018_07_19,1,Evidence,12,What is the best alternative explanation you can think of for the same set of evidence?,1,placeholder answer for TEXT,1b00fc4e-24e5-4776-ab11-5566fdc1e20c,2a01f556-fef2-4230-965a-eccf369c73de,"Maybe other things changed, like laws or the types of cars people were driving",1,9215,9220,noted,9512
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,ecc54abd-40a1-463a-9da7-e215c7b41e8b,fca8adf4-bd3a-443e-9f1a-fad6c3b21489,CausalitySpecialist_2018_07_19,1,Evidence,5,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,1,"Yes, explicitly",5b0b36aa-5164-45fd-a4a9-6e48736cc3c0,ecc54abd-40a1-463a-9da7-e215c7b41e8b,"Yes, explicitly",1,4418,4441,isn't directly affected,6532
ca8f3791-bf53-4a51-8169-e265e70160ff,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1083,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,6a06a7de-ae95-4897-b943-b1da50f56162,fca8adf4-bd3a-443e-9f1a-fad6c3b21489,CausalitySpecialist_2018_07_19,1,Evidence,6,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),7,Experts are cited,8897f9f5-eaba-4e76-ac09-656d7c75e7bf,6a06a7de-ae95-4897-b943-b1da50f56162,Experts are cited,1,4759,4827,"reports lead researcher, Subir Sarkar, from the University of Oxford",6532
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,ca49367e-a7dc-4fe7-8690-205eb5b06f5d,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,CausalitySpecialist_2018_07_19,1,Evidence,5,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,2,"Yes, implicitly",2b756602-f53e-4d67-b30a-7d960e386b9f,ca49367e-a7dc-4fe7-8690-205eb5b06f5d,"Yes, implicitly",1,9114,9209,"a lot of the safety advances that we've all become quite accustomed to"" had not yet taken place",9512
67d9a581-595d-4b3c-a218-dd88c68e05dc,http://pe.goodlylabs.org/project/PreAlphaCorrCause/task/1084,SSSPETest2,1730,1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,e02c7418-5a2c-409e-8274-a42b3e0acaa2,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,CausalitySpecialist_2018_07_19,1,Evidence,6,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,2e54f046-c244-484a-959d-e2ea01b05efc,e02c7418-5a2c-409e-8274-a42b3e0acaa2,Cause precedes effect,1,9114,9209,"a lot of the safety advances that we've all become quite accustomed to"" had not yet taken place",9512
