schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,745dfdb7-9131-44db-afad-cf9637e15ab8,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A2,"Title, role, or position of a quoted or paraphrased person",9c490e84-14a9-41fb-a8e8-f9517162c8cb,745dfdb7-9131-44db-afad-cf9637e15ab8,"Title, role, or position of a quoted or paraphrased person",1,3734,3796,professor at Harvard Medical School and an author on the study,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d41f95dd-3501-40a2-a910-e42eca6294b9,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A3,First name of quoted or paraphrased person,cce1f093-8ff7-4add-b5cf-4a0c03ca428a,d41f95dd-3501-40a2-a910-e42eca6294b9,First name of quoted or paraphrased person,1,3719,3725,Anupam,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f112811f-1bea-4621-86b5-bdc5396cf463,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A5,Last name,50f3da89-8614-4c57-adc7-f7ca16e05fd5,f112811f-1bea-4621-86b5-bdc5396cf463,Last name,1,3726,3730,Jena,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f112811f-1bea-4621-86b5-bdc5396cf463,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A5,Last name,50f3da89-8614-4c57-adc7-f7ca16e05fd5,f112811f-1bea-4621-86b5-bdc5396cf463,Last name,1,4102,4106,Jena,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,9a5398a5-956a-4f0f-bc8c-79b9dc26ce77,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A7,Name of Organization being quoted or paraphrased or being represented by quoted person,8b0fff09-aaeb-4e25-afab-e1fbb16e3f14,9a5398a5-956a-4f0f-bc8c-79b9dc26ce77,Name of Organization being quoted or paraphrased or being represented by quoted person,1,3747,3769,Harvard Medical School,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,664baee7-f4df-4b72-b750-ed79cb55513d,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",T1.Q2.A1,A direct quote,795114be-deb1-40d6-82fb-98ebd9133a15,664baee7-f4df-4b72-b750-ed79cb55513d,A direct quote,1,3618,3711,"When it comes to opioids, it certainly seems to be the case that [the doctor] you see matters",5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,664baee7-f4df-4b72-b750-ed79cb55513d,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",T1.Q2.A1,A direct quote,795114be-deb1-40d6-82fb-98ebd9133a15,664baee7-f4df-4b72-b750-ed79cb55513d,A direct quote,1,3993,4099,It could be something as simple as prescribing the way that your mentors prescribed when you were training,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,92157fdb-5bbd-45ab-b6cc-451213b1a9b1,d571f417-ff11-471f-a7f2-989a70826631,Source relevance,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",T1.Q3.A4,"The quote or paraphrase is from written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",3f903705-3608-4608-ae28-b528ae11236a,92157fdb-5bbd-45ab-b6cc-451213b1a9b1,"The quote or paraphrase is from written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",1,3799,3820,He and his co-authors,5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,9546fd47-e2e2-464c-b7dd-142ac7326b88,40bbbf7e-a77b-498d-bb44-2ef6601061ef,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A2,"Title, role, or position of a quoted or paraphrased person",9c490e84-14a9-41fb-a8e8-f9517162c8cb,9546fd47-e2e2-464c-b7dd-142ac7326b88,"Title, role, or position of a quoted or paraphrased person",1,3719,3796,"Anupam Jena, a professor at Harvard Medical School and an author on the study",5385
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,46b4acf3-75d0-454b-86cc-a1e5ea86f7b6,40bbbf7e-a77b-498d-bb44-2ef6601061ef,Source relevance,T1.Q1,"If they are present, highlight each of the following elements in the bold text to the left.",T1.Q1.A3,First name of quoted or paraphrased person,cce1f093-8ff7-4add-b5cf-4a0c03ca428a,46b4acf3-75d0-454b-86cc-a1e5ea86f7b6,First name of quoted or paraphrased person,1,3719,3725,Anupam,5385
