highlight_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,1d14b7d2-456a-4cf8-81d0-8c1971d5eed3,,Quoted Sources,1,1252,1594,"We found large regions of gray matter volume decreases, which could be related to redistribution of cerebrospinal fluid in space,” Seidler explained in a post detailing the study. “Gravity is not available to pull fluids down in the body, resulting in so-called puffy face in space. This may result in a shift of brain position or compression",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,1d14b7d2-456a-4cf8-81d0-8c1971d5eed3,,Quoted Sources,1,1598,2176,"In short, the lack of gravity actually changed the physical shape of the astronauts’ brains, but there’s more. The scans showed that areas that saw increases in gray matter were the sections that process movement information, and more specifically the movement of a person’s legs. The team believes that may be related to the brain working harder to learn new ways of moving related to the lack of gravity. The scans also showed that the changes were more dramatic in the astronauts who spent months aboard the ISS as opposed to those who only had brief trips aboard the shuttle",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,1d14b7d2-456a-4cf8-81d0-8c1971d5eed3,,Quoted Sources,1,644,1034,"A total of 26 astronauts were scanned before and after their stays in space; 12 who were shuttle crew members spending two weeks in space, and 14 who resided on the International Space Station for six months at a time. After comparing the scans, the scientists discovered that every single one of them saw noticeable changes in the amount and gray matter on various sections of their brains",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,01bf9b22-f678-4beb-88e8-59428313b0ec,,Assertions,1,113,230,It’s long been known that spending an extended period of time in space can have detrimental effects to the human body,2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,86ced117-4767-4783-ba3d-d941ae7ca1fc,,Assertions,2,232,298,Changes like muscle degradation can be offset by exercise regimens,2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,c49f9184-c43f-4443-8218-6ea5bfa29a1c,,Arguments,1,304,420,new research suggests that microgravity can affect the human brain in ways that science is still struggling to grasp,2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,aa05e9cc-6668-4568-9b9a-8598c94e676a,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-22 04:25:16.603266,2018-08-22 04:27:23.261326,126.65806,c49f9184-c43f-4443-8218-6ea5bfa29a1c,,Arguments,1,422,1034,"A research team led by Rachael Seidler, a professor at the University of Michigan, took MRI scans of over twenty astronauts before and after spaceflights of various lengths, and some of the changes observed are shocking.

A total of 26 astronauts were scanned before and after their stays in space; 12 who were shuttle crew members spending two weeks in space, and 14 who resided on the International Space Station for six months at a time. After comparing the scans, the scientists discovered that every single one of them saw noticeable changes in the amount and gray matter on various sections of their brains",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e99ad0d8-d88c-48cf-a217-0a6ffa062f7b,c37ed572-0042-460d-a585-7280158e1687,2018-08-22 05:49:15.993879,2018-08-22 05:51:51.915547,155.921668,ed06006e-55ec-49b7-b8b6-b2e5197efc69,,Quoted Sources,1,1252,1594,"We found large regions of gray matter volume decreases, which could be related to redistribution of cerebrospinal fluid in space,” Seidler explained in a post detailing the study. “Gravity is not available to pull fluids down in the body, resulting in so-called puffy face in space. This may result in a shift of brain position or compression",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e99ad0d8-d88c-48cf-a217-0a6ffa062f7b,c37ed572-0042-460d-a585-7280158e1687,2018-08-22 05:49:15.993879,2018-08-22 05:51:51.915547,155.921668,cffdf77a-b6c3-48da-8124-3080d9fe9112,,Assertions,1,113,230,It’s long been known that spending an extended period of time in space can have detrimental effects to the human body,2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e99ad0d8-d88c-48cf-a217-0a6ffa062f7b,c37ed572-0042-460d-a585-7280158e1687,2018-08-22 05:49:15.993879,2018-08-22 05:51:51.915547,155.921668,2e818477-a930-4637-8f51-a5ae0442b22a,,Arguments,1,300,1034,"but new research suggests that microgravity can affect the human brain in ways that science is still struggling to grasp. A research team led by Rachael Seidler, a professor at the University of Michigan, took MRI scans of over twenty astronauts before and after spaceflights of various lengths, and some of the changes observed are shocking.

A total of 26 astronauts were scanned before and after their stays in space; 12 who were shuttle crew members spending two weeks in space, and 14 who resided on the International Space Station for six months at a time. After comparing the scans, the scientists discovered that every single one of them saw noticeable changes in the amount and gray matter on various sections of their brains",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e99ad0d8-d88c-48cf-a217-0a6ffa062f7b,c37ed572-0042-460d-a585-7280158e1687,2018-08-22 05:49:15.993879,2018-08-22 05:51:51.915547,155.921668,023ee7e7-b839-4f56-b8ef-758fa313a123,,Arguments,2,1252,1689,"We found large regions of gray matter volume decreases, which could be related to redistribution of cerebrospinal fluid in space,” Seidler explained in a post detailing the study. “Gravity is not available to pull fluids down in the body, resulting in so-called puffy face in space. This may result in a shift of brain position or compression.”

In short, the lack of gravity actually changed the physical shape of the astronauts’ brains",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e99ad0d8-d88c-48cf-a217-0a6ffa062f7b,c37ed572-0042-460d-a585-7280158e1687,2018-08-22 05:49:15.993879,2018-08-22 05:51:51.915547,155.921668,69674db7-6e78-42e6-97e6-45f647062c3f,,Arguments,3,1709,2176,"The scans showed that areas that saw increases in gray matter were the sections that process movement information, and more specifically the movement of a person’s legs. The team believes that may be related to the brain working harder to learn new ways of moving related to the lack of gravity. The scans also showed that the changes were more dramatic in the astronauts who spent months aboard the ISS as opposed to those who only had brief trips aboard the shuttle",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,89f01dce-bf1e-417d-88e1-930e28fe968c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:37.560342,2018-08-22 19:15:19.675450,282.115108,8272cbfa-6619-4444-9057-14c18ee26de9,,Quoted Sources,1,1709,2176,"The scans showed that areas that saw increases in gray matter were the sections that process movement information, and more specifically the movement of a person’s legs. The team believes that may be related to the brain working harder to learn new ways of moving related to the lack of gravity. The scans also showed that the changes were more dramatic in the astronauts who spent months aboard the ISS as opposed to those who only had brief trips aboard the shuttle",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,89f01dce-bf1e-417d-88e1-930e28fe968c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:37.560342,2018-08-22 19:15:19.675450,282.115108,0dfed229-2481-4edf-bcdc-923148669122,,Quoted Sources,2,863,1034,"After comparing the scans, the scientists discovered that every single one of them saw noticeable changes in the amount and gray matter on various sections of their brains",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,89f01dce-bf1e-417d-88e1-930e28fe968c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:37.560342,2018-08-22 19:15:19.675450,282.115108,31a7d8f7-8679-4466-bd2e-bff2351a6940,,Quoted Sources,3,1252,1594,"We found large regions of gray matter volume decreases, which could be related to redistribution of cerebrospinal fluid in space,” Seidler explained in a post detailing the study. “Gravity is not available to pull fluids down in the body, resulting in so-called puffy face in space. This may result in a shift of brain position or compression",2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,89f01dce-bf1e-417d-88e1-930e28fe968c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:37.560342,2018-08-22 19:15:19.675450,282.115108,6e320367-857d-4746-aab4-286bab1c40eb,,Assertions,1,113,289,It’s long been known that spending an extended period of time in space can have detrimental effects to the human body. Changes like muscle degradation can be offset by exercise,2342
62b259a7-91e0-486e-af73-e8ba883787e7,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1211,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,89f01dce-bf1e-417d-88e1-930e28fe968c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:37.560342,2018-08-22 19:15:19.675450,282.115108,b4fed457-926f-48df-9461-162879fe7a15,,Assertions,2,304,420,new research suggests that microgravity can affect the human brain in ways that science is still struggling to grasp,2342
39a4f230-e61a-44ed-9695-47651f2e9aa4,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1212,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,3456c10a-84af-489a-8941-8d7ebbce30d5,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:38.918769,2018-08-22 19:24:14.072617,815.153848,4b6a149a-1ab7-4687-b31e-eade7e61fada,,Quoted Sources,1,1032,1576,"In a new study in the New England Journal of Medicine, researchers tried to tease out that link. And they found doctors’ prescribing habits — whether they give out opioids at a higher rate versus a lower rate — matter a lot.

For the study, researchers from Harvard Medical School and the Harvard School of  Public Health looked at 375,000 Medicare patients who turned up in an emergency department for common reasons — such as falls, chest pain, ankle sprain, or back pain — and hadn’t used opioids in the six months before their hospital stay",5385
39a4f230-e61a-44ed-9695-47651f2e9aa4,http://pe.goodlylabs.org/project/Demo1_ForTri/task/1212,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,3456c10a-84af-489a-8941-8d7ebbce30d5,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-22 19:10:38.918769,2018-08-22 19:24:14.072617,815.153848,4b6a149a-1ab7-4687-b31e-eade7e61fada,,Quoted Sources,1,1579,2120,"The study authors then split the group into patients who happened to be assigned to doctors who prescribed a lot of opioids, and patients who met doctors who didn’t. This was a clever study design, since the major difference between the groups was how the doctors prescribed opioids, which allowed the researchers to figure out whether the prescribing patterns influenced patients’ long-term use of painkillers. (In the study, “long-term use” was described as six or more months of daily opioids in the 12-month period following the ER visit",5385
