article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,1,ordinal,1,0.9510903995190536,0.9510903995190536,"""[113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132]""",0.33054602630074337,0.33054602630074337,0.6408182129098985,0.5,0.5,4,3,It’s long been known,Does the text make any claims with great confidence? Highlight the relevant part.,Yes
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,2,ordinal,2,0.8986194438576862,0.8986194438576862,"""[]""",NA,NA,0.8986194438576862,0.5,0.5,4,5,NA,To what extent does the confidence seem justified?,Mostly justified
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,4,ordinal,3,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,4,3,NA,"Does the text take a claim less seriously because it acknowledges uncertainty? If so, highlight the relevant section.",No
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,5,ordinal,3,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,4,3,NA,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,6,nominal,1,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,4,5,NA,"If any numbers are given, is a comparison number for a similar case given for context?",No numbers
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,7,nominal,3,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,4,5,NA,Is any data presented as evidence for a pattern (e.g. a relationship between two variables)?,No
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,10,ordinal,3,0.9633141949540478,0.9633141949540478,"""[]""",NA,NA,0.9633141949540478,0.5,0.5,4,3,NA,"Does the text make a specific point estimate as if their probability estimate was definitely exactly right? (e.g. no “about,” “approximately,” or confidence intervals)",No
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,11,ordinal,3,0.9510903995190536,0.9510903995190536,"""[]""",NA,NA,0.9510903995190536,0.5,0.5,4,4,NA,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,13,ordinal,5,0.8717858249398158,0.8717858249398158,"""[]""",NA,NA,0.8717858249398158,0.5,0.5,4,10,NA,"How difficult was this task for you, on the whole?",5: Middling difficulty
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,Probability Specialist,14,ordinal,4,0.8184556328355077,0.8184556328355077,"""[]""",NA,NA,0.8184556328355077,0.5,0.5,4,10,NA,"How confident are you about your answers, on the whole?",4
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,1,ordinal,2,0.9502321632245428,0.9502321632245428,"""[2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 2248, 2249, 2250, 2251, 2252]""",0.5988701967844061,0.5988701967844061,0.7745511800044744,0.5,0.5,8,3,three times more likely,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,2,ordinal,1,0.9090452254118193,0.9090452254118193,"""[]""",NA,NA,0.9090452254118193,0.5,0.5,8,5,NA,To what extent does the confidence seem justified?,Completely justified
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,4,ordinal,3,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,8,3,NA,"Does the text take a claim less seriously because it acknowledges uncertainty? If so, highlight the relevant section.",No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,5,ordinal,3,1.0,1.0,"""[]""",NA,NA,1.0,0.5,0.5,8,3,NA,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,6,nominal,M,0.5,0.25,"""M""",M,M,0.25,0.5,0.5,8,5,M,"If any numbers are given, is a comparison number for a similar case given for context?",M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,7,nominal,M,0.5,0.125,"""M""",M,M,0.25,0.5,0.5,8,5,M,Is any data presented as evidence for a pattern (e.g. a relationship between two variables)?,M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,8,ordinal,1,0.8776053795926637,0.8776053795926637,"""[]""",NA,NA,0.8776053795926637,0.5,0.5,5,5,NA,Could the apparent pattern be a result of a systematic error in data collection or processing?,Extremely Likely
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,9,ordinal,4,0.9601857305796342,0.9601857305796342,"""[]""",NA,NA,0.9601857305796342,0.5,0.5,5,5,NA,"Could the apparent pattern be a result of unsystematic, statistical variation or error (random noise)?",Somewhat Unlikely
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,10,ordinal,3,0.9223823573738732,0.9223823573738732,"""[]""",NA,NA,0.9223823573738732,0.5,0.5,8,3,NA,"Does the text make a specific point estimate as if their probability estimate was definitely exactly right? (e.g. no “about,” “approximately,” or confidence intervals)",No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,11,ordinal,3,0.9444346485747626,0.9444346485747626,"""[]""",NA,NA,0.9444346485747626,0.5,0.5,8,4,NA,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,12,nominal,U,nan,nan,"""U""",U,U,nan,0.5,0.5,1,4,U,Does the text acknowledge the possibility of additional evidence that would (check all that apply):,U
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,13,ordinal,3,0.8823141274223253,0.8823141274223253,"""[]""",NA,NA,0.8823141274223253,0.5,0.5,8,10,NA,"How difficult was this task for you, on the whole?",3
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,Probability Specialist,14,ordinal,7,0.8709663545642141,0.8709663545642141,"""[]""",NA,NA,0.8709663545642141,0.5,0.5,8,10,NA,"How confident are you about your answers, on the whole?",7
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,1,ordinal,3,0.9530460454090545,0.9530460454090545,"""[]""",NA,NA,0.9530460454090545,0.5,0.5,5,3,NA,Does the text make any claims with great confidence? Highlight the relevant part.,No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,2,ordinal,2,0.9365663949132057,0.9365663949132057,"""[]""",NA,NA,0.9365663949132057,0.5,0.5,5,5,NA,To what extent does the confidence seem justified?,Mostly justified
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,4,ordinal,3,0.9686934259082154,0.9686934259082154,"""[]""",NA,NA,0.9686934259082154,0.5,0.5,5,3,NA,"Does the text take a claim less seriously because it acknowledges uncertainty? If so, highlight the relevant section.",No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,5,ordinal,1,0.9365663949132057,0.9365663949132057,"""[2637, 2638, 2639, 2640, 2641, 2642, 2643, 2644, 2645, 2646, 2647, 2648, 2649, 2650, 2651, 2652, 2653, 2654, 2655, 2656, 2657, 2658, 2659, 2660, 2661, 2662, 2663, 2664, 2665, 2666, 2667, 2668, 2669, 2670, 2671, 2672, 2673, 2674, 2675, 2676, 2677, 2678, 2679, 2680, 2681, 2682]""",0.3305047867711053,0.3305047867711053,0.6335355908421555,0.5,0.5,5,3,If our results represent a causal relationship,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, explicitly"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,6,nominal,M,0.6,0.39999999999999997,"""M""",M,M,0.3,0.5,0.5,5,5,M,"If any numbers are given, is a comparison number for a similar case given for context?",M
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,7,nominal,1,0.8,0.6000000000000001,"""[2637, 2638, 2639, 2640, 2641, 2642, 2643, 2644, 2645, 2646, 2647, 2648, 2649, 2650, 2651, 2652, 2653, 2654, 2655, 2656, 2657, 2658, 2659, 2660, 2661, 2662, 2663, 2664, 2665, 2666, 2667, 2668, 2669, 2670, 2671, 2672, 2673, 2674, 2675, 2676, 2677, 2678, 2679, 2680, 2681, 2682, 2683, 2684, 2685, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2699, 2700, 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708, 2709, 2710, 2711, 2712, 2713, 2714, 2715, 2716, 2717, 2718, 2719, 2720, 2721, 2722, 2723, 2724, 2725, 2726, 2727, 2728, 2729, 2730, 2731, 2732, 2733, 2734, 2735, 2736, 2737, 2738, 2739, 2740, 2741, 2742, 2743, 2744, 2745, 2746, 2747, 2748, 2749, 2750, 2751, 2752, 2753, 2754, 2755, 2756, 2757, 2758, 2759, 2760, 2761, 2762, 2763, 2764, 2765, 2766, 2767, 2768, 2769, 2770, 2771, 2772, 2773, 2774, 2775, 2776, 2777, 2778, 2779, 2780, 2781, 2782, 2783, 2784, 2785, 2786, 2787, 2788, 2789, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798, 2799, 2800, 2801, 2802, 2803, 2804, 2805, 2806, 2807, 2808, 2809, 2810, 2811, 2812, 2813, 2814, 2815, 2816, 2817, 2818, 2819, 2820, 2821, 2822, 2823, 2824, 2825]""",0.5754622642420184,0.5754622642420184,0.6877311321210092,0.5,0.5,5,5,"If our results represent a causal relationship, for every 48 patients prescribed a new opioid in the emergency department who might not otherwise use opioids, 1 will become a long-term user",Is any data presented as evidence for a pattern (e.g. a relationship between two variables)?,"Yes, explicitly"
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,8,ordinal,1,0.8739918783357965,0.8739918783357965,"""[]""",NA,NA,0.8739918783357965,0.5,0.5,4,5,NA,Could the apparent pattern be a result of a systematic error in data collection or processing?,Extremely Likely
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,9,ordinal,2,0.9510903995190536,0.9510903995190536,"""[]""",NA,NA,0.9510903995190536,0.5,0.5,4,5,NA,"Could the apparent pattern be a result of unsystematic, statistical variation or error (random noise)?",Somewhat Likely
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,10,ordinal,3,0.904439363918196,0.904439363918196,"""[]""",NA,NA,0.904439363918196,0.5,0.5,5,3,NA,"Does the text make a specific point estimate as if their probability estimate was definitely exactly right? (e.g. no “about,” “approximately,” or confidence intervals)",No
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,11,ordinal,3,0.9530460454090545,0.9530460454090545,"""[]""",NA,NA,0.9530460454090545,0.5,0.5,5,4,NA,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,13,ordinal,3,0.8776053795926637,0.8776053795926637,"""[]""",NA,NA,0.8776053795926637,0.5,0.5,5,10,NA,"How difficult was this task for you, on the whole?",3
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,Probability Specialist,14,ordinal,7,0.9274370441088134,0.9274370441088134,"""[]""",NA,NA,0.9274370441088134,0.5,0.5,5,10,NA,"How confident are you about your answers, on the whole?",7
