schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ca017254-1611-4876-a013-60d0d31a1f42,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A5,Shock or surprise,5962fd6f-928e-4c2b-af46-3f5bb68f44f0,ca017254-1611-4876-a013-60d0d31a1f42,Shock or surprise,1,585,603,so shockingly high,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,00b72b56-0c49-4446-8122-3cf20bc64e3b,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A4,Emotional tone (including expletives),027577ce-392c-4f12-a38e-73300f36bb0e,00b72b56-0c49-4446-8122-3cf20bc64e3b,Emotional tone (including expletives),1,5339,5382,I know how dangerous these medicines can be,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7633476d-0020-452e-93cd-6b513148d76a,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,7633476d-0020-452e-93cd-6b513148d76a,Slang,1,2408,2417,doled out,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7633476d-0020-452e-93cd-6b513148d76a,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,7633476d-0020-452e-93cd-6b513148d76a,Slang,1,844,858,wind up hooked,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7633476d-0020-452e-93cd-6b513148d76a,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,7633476d-0020-452e-93cd-6b513148d76a,Slang,1,180,194,getting hooked,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7633476d-0020-452e-93cd-6b513148d76a,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,7633476d-0020-452e-93cd-6b513148d76a,Slang,1,1108,1117,tease out,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5ce45f49-211f-43e6-9913-7184f6c8926e,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,5ce45f49-211f-43e6-9913-7184f6c8926e,Exaggeration,1,484,495,huge amount,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5ce45f49-211f-43e6-9913-7184f6c8926e,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,5ce45f49-211f-43e6-9913-7184f6c8926e,Exaggeration,1,2167,2173,hugely,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0ed6b2d4-6730-411a-839b-6aa66e01a053,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A9,Misleading or confusing sentence structure,2c74466e-570e-4252-a228-634a62f6368e,0ed6b2d4-6730-411a-839b-6aa66e01a053,Misleading or confusing sentence structure,1,2331,2345,more judicious,5385
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,8e98f97c-900e-4ff6-82a9-016b3b92be43,https://pe.goodlylabs.org/project/Demo3dhLang/task/1365,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ce8a7dda-376a-49d2-aa20-d0e68e092286,ee,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A11,Colorful but not misleading in any way,9d036e02-2307-49d9-bd53-810c08bd41b2,ce8a7dda-376a-49d2-aa20-d0e68e092286,Colorful but not misleading in any way,1,4462,4488,galvanizing to change that,5385
