task_uuid,article_num,start,end,category,case_number
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,949,1009,Arguments,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,1673,1757,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,1760,2039,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,2402,2517,Arguments,3.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,3280,3582,Arguments,4.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,3602,3744,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,3966,4078,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4129,4230,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4235,4332,Arguments,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4609,4710,Arguments,4.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,6488,6606,Arguments,4.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,6925,7004,Arguments,5.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,7170,7312,Arguments,4.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,7889,8255,Arguments,6.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,8259,8452,Arguments,6.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,1043,1147,Fact-check,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,1873,1932,Fact-check,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,2002,2039,Fact-check,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,3966,4230,Fact-check,3.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,120,125,Quoted Sources,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,179,201,Quoted Sources,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,691,778,Quoted Sources,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,922,944,Quoted Sources,1.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,2044,2235,Quoted Sources,2.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,3749,3962,Quoted Sources,3.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4235,4565,Quoted Sources,4.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4715,4980,Quoted Sources,5.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,4986,5108,Quoted Sources,5.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,5735,6017,Quoted Sources,6.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,6312,6327,Quoted Sources,7.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,6425,6624,Quoted Sources,7.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,6628,6866,Quoted Sources,8.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,7008,7150,Quoted Sources,9.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,7170,7312,Quoted Sources,9.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,7516,7811,Quoted Sources,10.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,9455,9610,Quoted Sources,11.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,9659,9776,Quoted Sources,11.0
3e64476b-43ee-4284-8347-5b661c7f7f8b,1014,10073,10115,Quoted Sources,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,470,510,Arguments,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,4175,4359,Arguments,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,4363,4505,Arguments,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,2939,3052,Fact-check,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,2009,2746,Quoted Sources,1.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,2939,3052,Quoted Sources,2.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,3316,3650,Quoted Sources,3.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,4510,4826,Quoted Sources,4.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,4831,4931,Quoted Sources,4.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,5180,5492,Quoted Sources,4.0
f5f24784-7316-460d-a7d9-d94a9cbb1470,1015,6176,6521,Quoted Sources,4.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,298,339,Arguments,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,343,423,Arguments,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,570,674,Arguments,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,1883,2059,Arguments,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,2062,2214,Arguments,2.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,1630,1692,Fact-check,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,1145,1312,Quoted Sources,1.0
8fc1a8a8-c561-4fcb-991b-37df007ea227,1016,2670,2794,Quoted Sources,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,164,352,Arguments,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,1281,1568,Fact-check,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,162,378,Quoted Sources,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,383,630,Quoted Sources,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,909,1276,Quoted Sources,1.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,2980,3045,Quoted Sources,2.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,3086,3351,Quoted Sources,2.0
bfb2a6d9-5813-4407-827f-e7de5ac532bd,1017,3495,3786,Quoted Sources,2.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,390,545,Arguments,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,549,645,Arguments,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,1052,1220,Arguments,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,1510,1631,Quoted Sources,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,1658,1837,Quoted Sources,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,2636,2644,Quoted Sources,1.0
9a7a00e2-e7f1-40dc-8412-161e269fd8f6,1018,2744,3052,Quoted Sources,1.0
c7fad084-da95-412a-af24-30d07989e296,1019,100,204,Arguments,1.0
c7fad084-da95-412a-af24-30d07989e296,1019,210,296,Arguments,1.0
c7fad084-da95-412a-af24-30d07989e296,1019,1462,1556,Arguments,2.0
c7fad084-da95-412a-af24-30d07989e296,1019,3693,3889,Fact-check,1.0
c7fad084-da95-412a-af24-30d07989e296,1019,100,357,Quoted Sources,1.0
c7fad084-da95-412a-af24-30d07989e296,1019,717,1206,Quoted Sources,2.0
c7fad084-da95-412a-af24-30d07989e296,1019,2274,2677,Quoted Sources,3.0
c7fad084-da95-412a-af24-30d07989e296,1019,5071,5089,Quoted Sources,4.0
c7fad084-da95-412a-af24-30d07989e296,1019,5227,5482,Quoted Sources,4.0
c7fad084-da95-412a-af24-30d07989e296,1019,5559,5638,Quoted Sources,2.0
c7fad084-da95-412a-af24-30d07989e296,1019,6008,6029,Quoted Sources,5.0
c7fad084-da95-412a-af24-30d07989e296,1019,6127,6210,Quoted Sources,5.0
c7fad084-da95-412a-af24-30d07989e296,1019,6619,6666,Quoted Sources,5.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,99,220,Arguments,1.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,2205,2519,Arguments,2.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,2523,2771,Arguments,2.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,3078,3213,Arguments,2.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,225,373,Quoted Sources,1.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,1074,1125,Quoted Sources,1.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,1128,1427,Quoted Sources,2.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,1431,1577,Quoted Sources,2.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,1761,2043,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,2111,2202,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,2523,2771,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,2907,3048,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,3457,3550,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,3676,3910,Quoted Sources,3.0
b76bf103-e8e4-4d57-b3fe-3bdb7536f296,1020,4148,4619,Quoted Sources,4.0
97920286-4299-44fd-bacf-63a8d38e7ee2,1021,396,396,Quoted Sources,1.0
97920286-4299-44fd-bacf-63a8d38e7ee2,1021,587,1005,Quoted Sources,1.0
97920286-4299-44fd-bacf-63a8d38e7ee2,1021,1201,1460,Quoted Sources,2.0
97920286-4299-44fd-bacf-63a8d38e7ee2,1021,3380,3613,Quoted Sources,1.0
b81eedba-1c47-4222-98eb-d029dc3b898b,1022,921,1033,Arguments,1.0
b81eedba-1c47-4222-98eb-d029dc3b898b,1022,1608,1688,Arguments,1.0
b81eedba-1c47-4222-98eb-d029dc3b898b,1022,921,1033,Quoted Sources,1.0
b81eedba-1c47-4222-98eb-d029dc3b898b,1022,1252,1593,Quoted Sources,1.0
