highlight_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,3667f3f5-ed71-479a-946c-773211962a5c,,Probability,6,2138,2147,no chance,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,c1e56763-7c57-4718-8a26-a7953e404183,,Probability,5,1998,2098,"every simulation should be taken seriously, even if its conclusions call for a modicum of skepticism",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b9d99c88-46fa-4597-ac92-bb41b54ec658,,Probability,4,1333,1340,so rare,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,b9d99c88-46fa-4597-ac92-bb41b54ec658,,Probability,4,1537,1623,"this study is an extrapolation, on top of an extrapolation, on top of an extrapolation",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,75a13133-4cff-4634-9852-cb2a17131f83,,Probability,3,883,990,the highly-speculative nature of the simulation has some other scientists questioning the model assumptions,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,d27eaca9-48cd-4841-9c2e-3caee7b458fa,,Probability,2,423,599,The study reveals a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,8d9c086c-6181-4f34-89c7-46bebc4f05da,,Probability,1,265,307,"certainly unlikely, and perhaps impossible",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,8d9c086c-6181-4f34-89c7-46bebc4f05da,,Probability,1,200,225,"implies that\u2019s definitely",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,8d9c086c-6181-4f34-89c7-46bebc4f05da,,Probability,1,1197,1224,perhaps the highest-profile,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,8d9c086c-6181-4f34-89c7-46bebc4f05da,,Probability,1,1197,1224,perhaps the highest-profile,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0abdff68-f8cb-4fe6-a55e-72555e306ecb,,Evidence,1,441,599,a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0abdff68-f8cb-4fe6-a55e-72555e306ecb,,Evidence,1,1000,1090,we have no direct evidence of ice sheets that large having broken off in the last 30 years,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0abdff68-f8cb-4fe6-a55e-72555e306ecb,,Evidence,1,1263,1623,"Even before that, the few examples of breaks we\u2019ve accounted for were so rare and poorly-understood that they constitute edge cases. And the simulation also ignores recent climate commitments from the OECD countries that should lower projected carbon emissions. So you see, this study is an extrapolation, on top of an extrapolation, on top of an extrapolation",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,0abdff68-f8cb-4fe6-a55e-72555e306ecb,,Evidence,1,1627,1748,Dr. Marolf suggests that a follow-up simulation that incorporates most of her concerns would be worth paying attention to,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,bf65cc1c-eee2-46be-a58b-d90fbf555d35,,Reasoning,4,2218,2355,"In my book, if you dismiss simulations of this level of rigor and sophistication, you may as well dismiss the entirety of climate science",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,bf65cc1c-eee2-46be-a58b-d90fbf555d35,,Reasoning,4,2375,2488,"For every so-called expert who questions this stuff, there are five who at least give it the benefit of the doubt",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,bf65cc1c-eee2-46be-a58b-d90fbf555d35,,Reasoning,4,2490,2562,"I trust in this study\u2019s validity because I trust my community\u2019s judgment",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,8ca2a315-ef67-45b8-81d0-50b9cb822cd0,,Reasoning,3,1971,2098,"Dr. Marolf made clear that every simulation should be taken seriously, even if its conclusions call for a modicum of skepticism",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,c0bf8398-a589-4a64-a44d-6eeff29d05f5,,Reasoning,2,1197,1260,perhaps the highest-profile NOAA member who dismissed the study,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,935c97bc-54af-46e3-aa27-97c65ac130e3,,Reasoning,1,64,85,Anyone under 30 knows,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,935c97bc-54af-46e3-aa27-97c65ac130e3,,Reasoning,1,631,657,the widely-held assumption,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,e442ec7a-874c-48e2-a753-7f16ef88143c,,Language,7,2075,2098,a modicum of skepticism,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,a8da6eeb-61bf-435a-b0df-ac7892f597f6,,Language,6,1920,1968,"Insisting that she is \u201cnot some sort of crackpot",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,a8da6eeb-61bf-435a-b0df-ac7892f597f6,,Language,6,2567,2679,"It seems to be just a hop, skip, and a jump to the idea that sea levels will rise faster than previously thought",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,fe4bbb1c-27fe-44ba-9248-02f55563be9f,,Language,4,802,815,every trusted,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,e4222364-adc3-4a09-80b6-5842c256daf8,,Language,3,773,776,the,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,d5192d34-0074-42e0-ab18-1686179f39e6,,Language,2,616,630,totally upends,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,d5192d34-0074-42e0-ab18-1686179f39e6,,Language,2,686,715,significantly more vulnerable,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,200,225,"implies that\u2019s definitely",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,265,307,"certainly unlikely, and perhaps impossible",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,1900,1918,somewhat falsified,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,2138,2186,"no chance\u201d that the findings have zero relevance",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,2565,2567,"\n\n",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,7657a983-2486-4dcb-8167-fd1a3d897092,f34d68d1-774e-4a71-8573-b36302017392,2019-03-19 22:42:50.829075,2019-03-19 23:53:01.186977,4210.357902,67a268d8-d8f0-4d28-a6e9-0dcc1a6caaed,,Language,1,316,321,could,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,36712d7c-6972-44bb-914f-d9e325766c93,,Probability,6,2375,2488,"For every so-called expert who questions this stuff, there are five who at least give it the benefit of the doubt",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,a0f31c48-440c-4dd8-8261-1088e6b2b3fe,,Probability,5,2138,2215,"no chance\u201d that the findings have zero relevance for the community as a whole",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,d541866c-4aff-4c73-9807-ed09e470c5e2,,Probability,3,1811,1829,at least a quarter,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,d541866c-4aff-4c73-9807-ed09e470c5e2,,Probability,3,1998,2040,every simulation should be taken seriously,2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,0fef118c-dfce-44a9-adcf-a8b679306af5,,Probability,2,1537,1623,"this study is an extrapolation, on top of an extrapolation, on top of an extrapolation",2681
ff10e8a2-0820-44db-9c90-ebfe27c8d5ec,https://pe.goodlylabs.org:443/project/march2019SemTri/task/1788,Articles-March-2019/Toy Articles/Probability Toy Article.txt,100006,Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,21,8,90ab1361-60c4-473d-a20e-94c58deec1d4,1d56076f-d413-4fa5-8724-068fba04ce22,2019-03-28 00:16:05.904457,2019-03-28 00:25:43.278675,577.374218,23ed5272-4754-4448-a275-a7d657eda804,,Probability,1,443,461,30% greater chance,2681
