article_filename,article_sha256,namespace,start_pos,end_pos,topic_name,case_number,target_text
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,423,599,Evidence,1,The study reveals a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,727,874,Evidence,1,"That assumption, according to most experts at the NOAA, is responsible for every trusted model of sea level rise that gets cited in federal reports"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,994,1623,Evidence,1,"Look, we have no direct evidence of ice sheets that large having broken off in the last 30 years. That\u2019s when models like this became somewhat more reliable in terms of available data,\u201d said Dr. Marolf, perhaps the highest-profile NOAA member who dismissed the study. \u201cEven before that, the few examples of breaks we\u2019ve accounted for were so rare and poorly-understood that they constitute edge cases. And the simulation also ignores recent climate commitments from the OECD countries that should lower projected carbon emissions. So you see, this study is an extrapolation, on top of an extrapolation, on top of an extrapolation"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,1627,1748,Evidence,1,Dr. Marolf suggests that a follow-up simulation that incorporates most of her concerns would be worth paying attention to
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,1760,1918,Evidence,1,ideally [she would] want new ice core samples from at least a quarter of the sheets they\u2019ve pointed to\u201d so that the previous study could be somewhat falsified
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,215,225,Language,1,definitely
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,265,307,Language,1,"certainly unlikely, and perhaps impossible"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,1943,1968,Language,2,not some sort of crackpot
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,2567,2679,Language,1,"It seems to be just a hop, skip, and a jump to the idea that sea levels will rise faster than previously thought"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,441,461,Probability,1,a 30% greater chance
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,64,85,Reasoning,1,Anyone under 30 knows
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,635,657,Reasoning,1,widely-held assumption
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,1197,1236,Reasoning,2,perhaps the highest-profile NOAA member
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,1971,2098,Reasoning,1,"Dr. Marolf made clear that every simulation should be taken seriously, even if its conclusions call for a modicum of skepticism"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,2218,2355,Reasoning,2,"In my book, if you dismiss simulations of this level of rigor and sophistication, you may as well dismiss the entirety of climate science"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,2375,2488,Reasoning,2,"For every so-called expert who questions this stuff, there are five who at least give it the benefit of the doubt"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,nan,2490,2562,Reasoning,2,I trust in this study\u2019s validity because I trust my community\u2019s judgment
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,1344,1521,Evidence,1,"Indeed, over two hundred peer-reviewed studies point to screen time correlating to increased\xa0ADHD,\xa0screen addiction,\xa0increased aggression,\xa0depression,\xa0anxiety\xa0and even\xa0psychosis"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,2841,3267,Evidence,2,"Yet many researchers and neuroscientists believe that this ADHD epidemic is\xa0a direct\xa0result\xa0of children being hyper-stimulated. Using hyper-stimulating digital content to \u201cengage\u201d otherwise distracted students exacerbates the problem that it endeavors to solve. It creates a vicious and addictive ADHD cycle: The more a child is stimulated, the more that child needs to keep getting stimulated in order to hold their attention"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,4262,4695,Evidence,2,"We could look to Finland, whose school system routinely\xa0ranks toward the top globally\xa0and has chosen to skip the tech and standardized testing. Instead, Finnish students are given as many as\xa0four outdoor free-play breaks per day, regardless of the weather\u2014while here, a sedentary American child sitting in front of a glowing screen playing edu-games while over-scheduled and stressed by standardized testing is seen as the Holy Grail"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,4698,4893,Evidence,3,"Dr. Kentaro Toyama, an associate professor at the University of Michigan\u2019s School of Information, once believed that technology in the classroom could solve the problems of modern urban education"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,5183,5648,Evidence,3,"Rather than finding a digital educational cure, he came to understand what he calls\xa0technology\u2019s \u201cLaw of Amplification\u201d: technology could help education where it\u2019s already doing well, but it does little for mediocre educational systems. Worse, in dysfunctional schools, it \u201ccan cause outright harm.\u201d He added: \u201cUnfortunately, there is no technological fix\u2026more technology only magnifies socioeconomic disparities, and the only way to avoid that is non-technological"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,5721,6003,Evidence,3,"The Organization for Economic Co-operation and Development said in a 2015 report that heavy users of computers in the classroom \u201cdo a lot worse in most learning outcomes\u201d and that: \u201cIn the end, technology can amplify great teaching,\xa0but great technology cannot replace poor teaching"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,6009,6318,Evidence,3,An exhaustive meta-study conducted by Durham University in 2012 that systemically reviewed 48 studies examining technology\u2019s impact on learning found that \u201ctechnology-based interventions tend to\xa0produce just slightly\xa0lower\xa0levels of improvement\xa0when compared with other researched interventions and approaches
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,6447,6636,Evidence,3,"School reform is a social challenge, not a technological problem\u2026a high-tech agenda for children seems likely to erode our most precious long-term intellectual reserves\u2014our children\u2019s minds"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,6643,7059,Evidence,3,"Patricia Greenfield, distinguished professor of psychology at UCLA, analyzed more than 50 studies on learning and points out that reading for pleasure among young people has decreased in recent decades, which is problematic because \u201cstudies show that\xa0reading develops imagination, induction, reflection and critical thinking, as well as vocabulary\u2026in a way that visual media such as video games and television do not"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,7236,7520,Evidence,3,"while she expected to find that computers in the classroom would be beneficial, now feels that \u201ctime on the computer might interfere with development\xa0of everything from the young child\u2019s motor skills to his or her ability to think logically and distinguish between reality and fantasy"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,7527,7793,Evidence,3,"John Vallance, a Cambridge scholar and headmaster of Australia\u2019s top K-through-12 school, Sydney Grammer, has said: \u201cI think when people come to write the history of this period in education\u2026this investment in classroom technology is going to be seen as a huge fraud"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,7858,8331,Evidence,1,"Students don\u2019t even prefer e-learning over traditional education. In a 2011 study, researchers found that\xa0students actually preferred \u201cordinary, real-life lessons\u201d\xa0to using technology. Those results surprised the researchers: \u201cIt is not the portrait that we expected, whereby students would embrace anything that happens on a more highly technological level. On the contrary\u2014they really seem to like access to human interaction, a smart person at the front of the classroom"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,nan,437,446,Language,1,dutifully
