highlight_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,task_uuid,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,8f53496f-981b-4f7b-a1f4-4d1ddf10eb7a,QuotedSources_2018_07_11,Quoted Sources,4,2019,2758,"The sample size and categorization of sleep duration were beneficial to the study, according to\xa0Reut Gruber, director of the\xa0Attention, Behavior and Sleep Laboratory\xa0at the Douglas Mental Health University Institute and associate professor in the\xa0Department of Psychiatry\xa0at McGill University. Gruber was not involved in the study.\n\n""I think it reinforces what we believe is the case,"" Gruber said, ""I'm not sure each one of the findings is completely a surprise or new, but it does certainly validate what we think. Sometimes, the challenge with other studies, they might be much smaller, or the sample might not be selected properly, might be biased, so I think the methodology in terms of the sampling and sample size is a real strength",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,8f53496f-981b-4f7b-a1f4-4d1ddf10eb7a,QuotedSources_2018_07_11,Quoted Sources,4,2983,3174,"Gruber advises parents to stay on top of their child's sleep schedule, as teenagers are not always able to manage their own sleep and may not know when is the best time to turn out the lights",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,8f53496f-981b-4f7b-a1f4-4d1ddf10eb7a,QuotedSources_2018_07_11,Quoted Sources,4,3178,3511,"I think my message to parents is that it is a priority. It will make a huge difference in their children's lives and performance and mood and behavior,"" Gruber said. ""My experience, my impression, is that it's something that we still need to prioritize as parents just like what we do with other things we know are unhealthy for kids",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,465bfc4d-39b1-41bd-8961-c2ad54c85aa8,QuotedSources_2018_07_11,Quoted Sources,1,244,543,"Fewer hours of sleep on an average school night [is] associated with increased odds of all selected unsafe behaviors,"" the authors wrote, including risk-taking while driving, such as drunken driving, potentially unsafe sexual activity, aggressive behavior and use of alcohol, tobacco and other drugs",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,465bfc4d-39b1-41bd-8961-c2ad54c85aa8,QuotedSources_2018_07_11,Quoted Sources,1,715,768,"study published Monday\xa0in the journal JAMA Pediatrics",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,465bfc4d-39b1-41bd-8961-c2ad54c85aa8,QuotedSources_2018_07_11,Quoted Sources,1,771,1171,"The team found the strongest associations in relation to mood and self-harm. Teens who slept for less than six hours per night\xa0were three times more likely to report considering suicide, planning a suicide attempt or attempting suicide, compared with teens who slept eight hours or more. They were also four times more likely to have reported a suicide attempt that resulted in them needing treatment",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,ae52a6de-39c8-45a7-a720-180ee68c2711,Arguments_2018_08_21,Arguments,1,114,543,"The amount a teenager sleeps is associated with how likely they are to engage in risky and suicidal behavior, a new study said.\n\n""Fewer hours of sleep on an average school night [is] associated with increased odds of all selected unsafe behaviors,"" the authors wrote, including risk-taking while driving, such as drunken driving, potentially unsafe sexual activity, aggressive behavior and use of alcohol, tobacco and other drugs",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,ae52a6de-39c8-45a7-a720-180ee68c2711,Arguments_2018_08_21,Arguments,1,546,1171,"Participants' sleep duration was categorized as eight hours or more, seven hours, six hours or less than six hours and then measured against high-risk behaviors, in the\xa0study published Monday\xa0in the journal JAMA Pediatrics.\n\nThe team found the strongest associations in relation to mood and self-harm. Teens who slept for less than six hours per night\xa0were three times more likely to report considering suicide, planning a suicide attempt or attempting suicide, compared with teens who slept eight hours or more. They were also four times more likely to have reported a suicide attempt that resulted in them needing treatment",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,ae52a6de-39c8-45a7-a720-180ee68c2711,Arguments_2018_08_21,Arguments,1,1174,2349,"The researchers used data from from February 2007 to May 2015 from the Youth Risk Behavior Survey, a US-based survey exploring behaviors related to health risks in youth, and found that more than 70% of high school students were getting less than\xa0the recommended\xa0eight hours of sleep per night.\n\n""Prior reports have documented that high school students who slept less than eight hours were at increased risk of adverse self-behaviors,"" said\xa0Matthew Weaver, instructor in medicine at\xa0Harvard Medical School\xa0and associate epidemiologist in the\xa0Division of Sleep and Circadian Disorders at Brigham and Women's Hospital, who led the study. ""Our study adds to this literature by using a larger updated data set over a longer study interval and by incorporating more granular sleep information and looking at a wider array of risk taking behaviors.""\n\nThe sample size and categorization of sleep duration were beneficial to the study, according to\xa0Reut Gruber, director of the\xa0Attention, Behavior and Sleep Laboratory\xa0at the Douglas Mental Health University Institute and associate professor in the\xa0Department of Psychiatry\xa0at McGill University. Gruber was not involved in the study",3515
9854ab03-99ab-4772-b806-cb37fd6033e2,https://pe.goodlylabs.org/project/Demo2FormTri/task/1325,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,542bf69f-7f7e-43c2-b2c9-58a4b984b7bc,17,10,b8e6d994-e6f0-4b65-9217-a80f84aa36a3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-15 00:49:12.118348,2018-10-15 01:06:08.687880,1016.569532,ae52a6de-39c8-45a7-a720-180ee68c2711,Arguments_2018_08_21,Arguments,1,2353,2758,"I think it reinforces what we believe is the case,"" Gruber said, ""I'm not sure each one of the findings is completely a surprise or new, but it does certainly validate what we think. Sometimes, the challenge with other studies, they might be much smaller, or the sample might not be selected properly, might be biased, so I think the methodology in terms of the sampling and sample size is a real strength",3515
