schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,c5080539-1ae3-4d74-803d-790ad0847429,e44f5799-6915-45fd-874e-060f6afedcb9,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,c5080539-1ae3-4d74-803d-790ad0847429,Exaggeration,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,2fc9b118-5eca-44b5-860e-44745a48577c,e44f5799-6915-45fd-874e-060f6afedcb9,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A8,Bad grammar,573679cb-6885-4e0c-880e-4741d7e4be03,2fc9b118-5eca-44b5-860e-44745a48577c,Bad grammar,1,6103,6114,how whether,6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,2fc9b118-5eca-44b5-860e-44745a48577c,e44f5799-6915-45fd-874e-060f6afedcb9,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A8,Bad grammar,573679cb-6885-4e0c-880e-4741d7e4be03,2fc9b118-5eca-44b5-860e-44745a48577c,Bad grammar,1,6233,6261,"when you\u2019re playing the odds",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,12106a7e-21a0-4436-9b71-3f6e2886e0e4,e44f5799-6915-45fd-874e-060f6afedcb9,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A7,Typos,1e149f44-5f07-4664-ba35-36e08a842cad,12106a7e-21a0-4436-9b71-3f6e2886e0e4,Typos,1,6103,6114,how whether,6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,925937a2-8343-475f-867f-c471478bbfd4,e3d48c03-8c49-410f-9fe3-3df70622b747,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,925937a2-8343-475f-867f-c471478bbfd4,Slang,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,da4d2736-2d28-4433-b885-09aaf297b6f5,e3d48c03-8c49-410f-9fe3-3df70622b747,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,b5e7e082-5e09-40f0-89f5-7ab46d669816,da4d2736-2d28-4433-b885-09aaf297b6f5,Metaphorical Language,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,45dc760c-89cc-494f-b7ef-dc023b6e085c,e3d48c03-8c49-410f-9fe3-3df70622b747,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,45dc760c-89cc-494f-b7ef-dc023b6e085c,Exaggeration,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,1c33b3a5-5225-47e4-80ea-c6dd614e634c,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,1c33b3a5-5225-47e4-80ea-c6dd614e634c,Exaggeration,1,2942,2958,"It\u2019s no surprise",6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,eff6824c-e070-4e94-b9ca-e8540702d01e,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A8,Bad grammar,573679cb-6885-4e0c-880e-4741d7e4be03,eff6824c-e070-4e94-b9ca-e8540702d01e,Bad grammar,1,6103,6114,how whether,6324
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,f26b2184-daa2-4c1d-aebc-8b946fff44f9,https://pe.goodlylabs.org/project/ElectLang3/task/1544,Election,100005,brain_science.txt,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,2836b8a8-0eac-49e9-96b3-2830bee4f797,6a3312d3-4288-409c-a6c4-6fc71d79ae7e,Language Specialist V3,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,2836b8a8-0eac-49e9-96b3-2830bee4f797,Slang,1,2942,2958,"It\u2019s no surprise",6324
