schema_namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,task_uuid,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,submitted_tua
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A11,Colorful but not misleading in any way,9b32235d-a95f-45ac-be68-0f8b263c5bae,97ffcecc-0479-4b82-b59d-bfc8ff3500a9,Colorful but not misleading in any way,1,1,"[{""case_number"": 1, ""text"": ""political vendetta that could affect the U.S. election"", ""answer_id"": 4864, ""end"": 962, ""start"": 908}]"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A2,Exaggeration,7a146b92-9a34-4cf6-b678-714ac53a02a8,996b0d6f-12e5-46b5-94a8-989acfcb952f,Exaggeration,1,1,"[{""case_number"": 1, ""text"": ""obsessed"", ""answer_id"": 4855, ""end"": 1581, ""start"": 1573}]"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q3,How much does the exaggeration misrepresent reality?,T1.Q3.A5,The exaggeration could not possibly mislead anyone,f8caa533-9b29-4f11-914e-8114bf21ae48,07303aa5-8975-4c83-89c8-1c164f5f6518,The exaggeration could not possibly mislead anyone,0,0,[]
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,3db66758-c91d-4d42-9df0-c5adcd8e1cf3,5c1ab891-d7cb-4444-b7f4-90072a097968,Nope,0,0,[]
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A4,4,0eaa5e52-7f94-41cf-8474-627b368ae008,5c7d3744-5e61-4139-aa0b-6a3a47d5f8f7,4,0,0,[]
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,0a468934-e03e-4f86-9e5a-644139700495,3,5,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A6,6,e60e7752-ba14-4deb-8e8f-979f4ef77f0c,ecb1d820-8f95-4f07-8786-4858a8606739,6,0,0,[]
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,8390627c-c51b-46ad-a89e-05f4d03a0fee,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,f7e70c99-c5e8-4e28-a8cb-2ad5e7812a78,3,5,b372e02c-a073-40f9-88dc-facd3ddd6e25,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.837033,2019-11-13 20:16:40.205800,545.368767,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A11,Colorful but not misleading in any way,9b32235d-a95f-45ac-be68-0f8b263c5bae,1fdd363e-4979-4f68-94a7-d7d898ff9281,Colorful but not misleading in any way,1,1,"[{""case_number"": 1, ""text"": ""insufficiently loyal"", ""answer_id"": 4864, ""end"": 2451, ""start"": 2431}]"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,8390627c-c51b-46ad-a89e-05f4d03a0fee,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,f7e70c99-c5e8-4e28-a8cb-2ad5e7812a78,3,5,b372e02c-a073-40f9-88dc-facd3ddd6e25,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.837033,2019-11-13 20:16:40.205800,545.368767,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A3,Scandal,f6059f4c-079d-42db-bb9d-f84cca619e03,0bfc858e-1f17-4f33-a4fe-8ce0b74f12d8,Scandal,1,1,"[{""case_number"": 1, ""text"": ""resisted pressuring Ukraine"", ""answer_id"": 4856, ""end"": 2512, ""start"": 2485}]"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,8390627c-c51b-46ad-a89e-05f4d03a0fee,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,f7e70c99-c5e8-4e28-a8cb-2ad5e7812a78,3,5,b372e02c-a073-40f9-88dc-facd3ddd6e25,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.837033,2019-11-13 20:16:40.205800,545.368767,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A10,Other unnecessary or misleading coloring of language,a358692b-f1bb-4be1-ae44-7d4fb5207fcf,64cfcb7b-472b-496b-bb30-a4f6284c8270,Other unnecessary or misleading coloring of language,1,1,"[{""case_number"": 1, ""text"": ""apparently"", ""answer_id"": 4863, ""end"": 2472, ""start"": 2462}]"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,8390627c-c51b-46ad-a89e-05f4d03a0fee,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,f7e70c99-c5e8-4e28-a8cb-2ad5e7812a78,3,5,b372e02c-a073-40f9-88dc-facd3ddd6e25,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.837033,2019-11-13 20:16:40.205800,545.368767,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,3db66758-c91d-4d42-9df0-c5adcd8e1cf3,7f91078f-45ac-4d7f-866c-5611c268b712,Nope,0,0,[]
