schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q2.A1,T1.Q2.A2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q4,T1.Q5,T1.Q6
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b03bae6f-704c-4545-972a-7ca5783698e6,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2317,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,880a3aca-3d40-4c67-8dbc-5cb3336c29a3,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 21:30:34.307494,2019-11-13 21:49:46.290751,1151.983257,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,Provide important support to central claim of article.,6,7
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b03bae6f-704c-4545-972a-7ca5783698e6,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2317,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,80035d29-3262-4e25-86ee-89c02342159b,c56a533a-deab-4c1a-a516-e8994c45e84c,2019-11-13 19:14:30.925389,2019-11-13 19:36:15.766913,1304.841524,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,Provide important support to central claim of article.,5: Middling difficulty,5: 50-50
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b03bae6f-704c-4545-972a-7ca5783698e6,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2317,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0fc7d3e5-146c-4e4c-92cc-90293f3523b9,aa6922da-994c-4d34-aa93-ae9abc41d8f7,2019-10-28 03:50:53.944227,2019-10-28 03:53:48.165483,174.221256,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,Central idea/s of article.,3,8
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b03bae6f-704c-4545-972a-7ca5783698e6,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2317,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,250f4d57-81f1-4d6a-be24-a6e157b54953,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-10-27 06:30:22.152343,2019-10-27 07:03:55.874521,2013.722178,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,Provide important support to central claim of article.,5: Middling difficulty,8
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,b03bae6f-704c-4545-972a-7ca5783698e6,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2317,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,fdce68b4-ab5a-4ce9-9c18-2e8679f8fadd,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-10-27 00:39:09.661985,2019-10-27 00:42:03.876863,174.214878,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,Central idea/s of article.,5: Middling difficulty,9
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,25934017-34a6-4cb7-b135-fa360ff2de3a,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2318,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,c6e105b6-d1aa-4164-9432-52bc0d9167d7,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 21:30:34.593430,2019-11-13 21:52:26.971643,1312.378213,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Provide important support to central claim of article.,5: Middling difficulty,6
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,25934017-34a6-4cb7-b135-fa360ff2de3a,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2318,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,c523b4b8-ab77-4d84-b700-c4dfd842a337,c56a533a-deab-4c1a-a516-e8994c45e84c,2019-11-13 19:14:31.025979,2019-11-13 19:39:01.019122,1469.993143,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Provide important support to central claim of article.,5: Middling difficulty,5: 50-50
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,25934017-34a6-4cb7-b135-fa360ff2de3a,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2318,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,4e29a2ef-b168-4efe-a442-40bb3507d012,aa6922da-994c-4d34-aa93-ae9abc41d8f7,2019-10-28 03:50:54.196514,2019-10-28 03:55:18.224248,264.027734,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,Provide non-essential context for article.,4,9
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,25934017-34a6-4cb7-b135-fa360ff2de3a,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2318,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,957a74e4-cb9e-4aca-86ea-5645eea02b8a,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-10-27 06:30:22.280876,2019-10-27 07:11:28.492713,2466.211837,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Provide important support to central claim of article.,4,8
SourceSpecialist2019_08_04,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,25934017-34a6-4cb7-b135-fa360ff2de3a,https://pe.goodlylabs.org/project/NYU_QuotedSources/task/2318,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,5ce91c6e-fa38-491a-9981-82a1414ebb72,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-10-27 00:39:09.756600,2019-10-27 01:03:11.375525,1441.618925,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6",1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,Provide important support to central claim of article.,5: Middling difficulty,7
