schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q2.A1,T1.Q2.A2,T1.Q2.A3,T1.Q2.A4,T1.Q2.A5,T1.Q2.A6,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q3.A7,T1.Q4,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q6.A9,T1.Q6.A10,T1.Q7,T1.Q8,T1.Q9,T1.Q10
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,4f3bca38-79d9-4a37-aebd-db9a33657fe8,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2467,5,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,58213c8c-be55-477d-bf7a-a76ad2532513,6a76c935-dac8-40f8-88b1-97cf893331ad,2019-11-14 19:44:23.351153,2019-11-14 19:50:08.723694,345.372541,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,4,7
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,4f3bca38-79d9-4a37-aebd-db9a33657fe8,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2467,5,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,9a42ac8a-1897-4a3b-aea5-ba58648d995c,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 22:45:05.475705,2019-11-13 23:18:43.656428,2018.180723,"T1.Q1, T1.Q9, T1.Q10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,7,4
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,4f3bca38-79d9-4a37-aebd-db9a33657fe8,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2467,5,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,346e884f-2ad0-4a48-a86a-2524cd840a88,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 22:15:13.837208,2019-11-13 22:23:07.600356,473.763148,"T1.Q1, T1.Q2, T1.Q9, T1.Q10",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,6,6
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,4f3bca38-79d9-4a37-aebd-db9a33657fe8,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2467,5,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,1ef11ef2-4e33-42be-91b2-ec9250fc8c00,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:16:46.525040,2019-11-13 22:18:17.894846,91.369806,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,2,8
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,4f3bca38-79d9-4a37-aebd-db9a33657fe8,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2467,5,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,ccf6b83e-7ee3-418f-8082-a83e38428abd,12d9718f-030a-487e-872c-46372f945e17,2019-11-13 21:37:34.295809,2019-11-13 21:38:54.226314,79.930505,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,3,6
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,ff62dc00-85e0-4d67-acf4-13bc60ac04a4,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2468,5,3,NYU_Articles/Day1/NBCABCAndCBSAppear.txt,100034,NBCABCAndCBSAppear.txt,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,4b44831d-05cb-4790-9e15-81e396899112,6a76c935-dac8-40f8-88b1-97cf893331ad,2019-11-14 19:44:23.718115,2019-11-14 19:51:55.199331,451.481216,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,6,8
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,ff62dc00-85e0-4d67-acf4-13bc60ac04a4,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2468,5,3,NYU_Articles/Day1/NBCABCAndCBSAppear.txt,100034,NBCABCAndCBSAppear.txt,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,777f88e6-0f37-4d7d-811c-a83137be9e32,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 22:45:05.718862,2019-11-13 23:22:54.460851,2268.741989,"T1.Q1, T1.Q2, T1.Q9, T1.Q10",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,7,4
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,ff62dc00-85e0-4d67-acf4-13bc60ac04a4,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2468,5,3,NYU_Articles/Day1/NBCABCAndCBSAppear.txt,100034,NBCABCAndCBSAppear.txt,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,72efef7e-1804-42d5-b1e9-87d7d88a3a32,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 22:15:13.991107,2019-11-13 22:38:42.472525,1408.481418,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,6,6
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,ff62dc00-85e0-4d67-acf4-13bc60ac04a4,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2468,5,3,NYU_Articles/Day1/NBCABCAndCBSAppear.txt,100034,NBCABCAndCBSAppear.txt,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,f57efa08-3613-4118-89cb-0c23b5b6ca34,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:16:46.655055,2019-11-13 22:20:17.214057,210.559002,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,9,2
NYU_Reasoning2,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,ff62dc00-85e0-4d67-acf4-13bc60ac04a4,https://pe.goodlylabs.org/project/NYU_Reasoning2/task/2468,5,3,NYU_Articles/Day1/NBCABCAndCBSAppear.txt,100034,NBCABCAndCBSAppear.txt,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,bb533622-e445-40c5-8848-7310cd999719,12d9718f-030a-487e-872c-46372f945e17,2019-11-13 21:37:34.559996,2019-11-13 21:40:16.621784,162.061788,"T1.Q1, T1.Q3, T1.Q9, T1.Q10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,4,6
