task_pybossa_id,taskrun_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,contributor_id,created,finish_time,elapsed_seconds,anno_id,topic_namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
778,1738,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,,2018-03-10 17:10:19.320162,2018-03-10 17:10:47.191229,27.871067,1421,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",4,Not very credible,0,0,0,,0
778,1738,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,,2018-03-10 17:10:19.320162,2018-03-10 17:10:47.191229,27.871067,1422,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,2,No,0,0,0,,0
778,1738,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,,2018-03-10 17:10:19.320162,2018-03-10 17:10:47.191229,27.871067,1423,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,13,"Last question: How credible do you find this article, as a whole?",3,Somewhat credible,0,0,0,,0
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1424,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,1,"Please skim the article to the left; you will be answering questions about it.  How credible do you find this article, as a whole?",3,Somewhat credible,0,0,0,,0
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,1043,1148,"As states legalize marijuana or its medical use, expectant mothers are taking it up in increasing numbers",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,1805,2001,"Marijuana’s main psychoactive ingredient — tetrahydrocannabinol, or THC — can cross the placenta to reach the fetus, experts say, potentially harming brain development, cognition and birth weight.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,3295,3460,6-year-olds born to mothers who had smoked one joint or more daily in the first trimester showed a decreased ability to understand concepts in listening and reading.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,3472,3584,children exposed to THC in utero were more impulsive than other children and less able to focus their attention.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,3602,3746,"children of mothers who used marijuana heavily in the first trimester had lower scores in reading, math and spelling at age 14 than their peers.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,3748,3815,"“Prenatal exposure can affect the adolescent pretty significantly,”",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,3993,4080,"changes in the brains of fetuses, 18 to 22 weeks old, linked to maternal marijuana use.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,4081,4186,"In male fetuses who were exposed, for instance, researchers have noted abnormal function of the amygdala,",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,4234,4335,"“Even early in development, marijuana is changing critical circuits and neurotransmitting receptors,”",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,4609,4682,"developing brains of teenagers can be altered with regular marijuana use,",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,5212,5324,advise against prenatal cannabis use because of its links to cognitive impairment and academic underachievement.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,6488,6609,"some studies have found risks associated with marijuana use during pregnancy, such as low birth weight or preterm birth,”",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,6783,6869,"smoking cannabis “does confer, in terms of birth weight, the same risk as cigarettes.”",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,6925,7006,prenatal cannabis exposure does not appear to be linked to obvious birth defects.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1425,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,5,Does the article make some kind of causal claim?,1,Yes,0,9198,9312,"Depression, anxiety, stress, pain, nausea and vomiting were the most common reasons women reported using marijuana",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,3295,3460,6-year-olds born to mothers who had smoked one joint or more daily in the first trimester showed a decreased ability to understand concepts in listening and reading.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,3472,3584,children exposed to THC in utero were more impulsive than other children and less able to focus their attention.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,3602,3746,"children of mothers who used marijuana heavily in the first trimester had lower scores in reading, math and spelling at age 14 than their peers.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,4081,4186,"In male fetuses who were exposed, for instance, researchers have noted abnormal function of the amygdala,",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,5264,5324,links to cognitive impairment and academic underachievement.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1426,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),1,Correlation,0,6512,6609,"risks associated with marijuana use during pregnancy, such as low birth weight or preterm birth,”",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,3295,3460,6-year-olds born to mothers who had smoked one joint or more daily in the first trimester showed a decreased ability to understand concepts in listening and reading.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,1043,1148,"As states legalize marijuana or its medical use, expectant mothers are taking it up in increasing numbers",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,3472,3584,children exposed to THC in utero were more impulsive than other children and less able to focus their attention.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,3295,3460,6-year-olds born to mothers who had smoked one joint or more daily in the first trimester showed a decreased ability to understand concepts in listening and reading.,10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,3602,3746,"children of mothers who used marijuana heavily in the first trimester had lower scores in reading, math and spelling at age 14 than their peers.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1427,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),2,Cause precedes effect,0,4609,4712,"developing brains of teenagers can be altered with regular marijuana use, even eventually reducing I.Q.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1428,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),7,Experts are cited,0,3821,3964,"Dr. Lauren M. Jansson, the director of pediatrics at the Center for Addiction and Pregnancy at the Johns Hopkins University School of Medicine.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1428,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),7,Experts are cited,0,4341,4472,"Dr. Yasmin Hurd, a neuroscientist and the director of the addiction center at Icahn School of Medicine at Mount Sinai in Manhattan.",10122
778,1851,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,45,2018-03-15 23:26:28.381394,2018-03-15 23:40:53.789482,865.408088,1428,SSScience and Causality Questions V2,1,Science and Causality Questions for SSS Students V2,6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),7,Experts are cited,0,4797,4914,"Jodi Gilman, an assistant professor of psychiatry at Harvard Medical School who studies adolescent users of cannabis.",10122
