contributor_id,taskrun_article_number,answer_count
2,8,46
4,3,23
4,4,23
4,6,23
4,7,27
13,2,32
13,3,25
13,4,19
13,6,19
13,7,20
13,8,33
13,9,27
13,10,35
13,12,21
13,13,23
13,14,22
13,15,28
13,16,25
13,17,23
13,18,22
13,19,21
13,21,30
13,22,27
13,23,25
13,24,22
13,25,29
13,26,32
13,27,27
13,28,32
13,29,27
13,30,18
13,31,28
13,32,23
13,33,18
13,35,23
13,36,23
13,37,25
13,38,19
13,39,24
13,45,26
13,47,37
13,50,25
13,53,26
13,54,24
14,2,51
14,3,60
14,4,38
14,6,24
14,7,47
14,8,66
14,9,63
14,10,43
14,12,43
14,13,54
14,14,28
14,15,54
14,16,55
14,17,45
14,18,36
14,19,28
14,21,44
14,22,37
14,23,41
14,24,37
14,25,40
14,26,41
14,27,63
14,28,78
14,29,47
14,30,47
14,31,44
14,32,74
14,33,50
14,35,44
14,36,40
14,37,44
15,2,30
15,3,25
15,4,29
15,6,19
15,7,23
15,8,36
15,9,29
15,10,31
15,12,20
15,13,24
15,14,22
15,15,46
15,16,36
15,17,24
15,18,34
15,19,26
15,21,35
15,22,28
15,23,33
15,24,23
15,25,30
15,26,33
15,27,30
15,28,30
15,29,26
15,30,29
15,31,41
15,32,25
15,33,22
15,35,26
15,36,23
15,37,20
15,38,20
15,45,45
15,53,36
