article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0428d5d8-c147-4963-a77f-0b7175007a7a,checklist,6,1.0,0.0,"[6912, 6913, 6914, 6915, 6916, 6917, 6918, 6919, 6920]",0.34376344086021504,0.34376344086021504,0.6718817204301075,2,9,TV source,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),"Other description of person (e.g. ""Boston's favorite ice cream heiress"")"
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,M,0.5,0.5,M,M,M,0.25,2,9,M,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),M
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,2,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,2,0,checklist,L,0.0,1.0,L,L,L,0.0,2,2,L,"Using the highlight options below, indicate which portions of the bolded text are:",L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,2,6dfe050f-08be-41b8-9948-ae75532c57e8,checklist,2,1.0,0.0,[],NA,NA,1.0,2,2,NA,"Using the highlight options below, indicate which portions of the bolded text are:",Paraphrase
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,M,0.5,0.5,M,M,M,0.25,2,6,M,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",M
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,2,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,M,0.5,0.5,M,M,M,0.25,2,6,M,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",M
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,2,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,2,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,2,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,4,d37298d1-bd6d-4426-94be-088521a37f04,ordinal,2,0.9068905956085185,0.9068905956085185,[],NA,NA,0.9068905956085185,2,8,NA,How are the quoted sources' ideas important to the article?,Provide important support to central claim of article.
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,12ba78b8-fef2-4d36-8db8-761e4ccf9604,7e1be6ae-d0c4-451e-806d-2847170a9209,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,5,60bb3c7a-aaba-484a-8c56-541839d4e425,ordinal,4,0.925999418556223,0.925999418556223,[],NA,NA,0.925999418556223,2,10,NA,"How difficult was this task for you, on the whole?",4
