article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,1,69f3fb88-edd7-4c01-bd2c-b165743c682e,ordinal,3,0.9740917395500914,0.9740917395500914,[],NA,NA,0.9740917395500914,3,3,NA,Does the text make any claims with great confidence? Highlight the relevant part.,No
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,2,e1c45989-f0aa-4490-bd2b-0836b199bc34,ordinal,3,1.0,1.0,[],NA,NA,1.0,1,5,NA,To what extent does the confidence seem justified?,Somewhat justified
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,5,a8ab9ba4-6aad-4109-8072-52f5a51bbba9,ordinal,3,0.9871114450218768,0.9871114450218768,[],NA,NA,0.9871114450218768,3,3,NA,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,6,8ab7ae5b-336c-4c31-b76e-faa490dd9bf7,ordinal,1,1.0,1.0,[],NA,NA,1.0,3,3,NA,Are any numbers given?,No
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,11,4ddafbb5-c56e-470f-85e5-88fa5f09e311,ordinal,4,0.8286346099994961,0.8286346099994961,[],NA,NA,0.8286346099994961,3,4,NA,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all"
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,13,7d051d42-19a7-4637-8bd8-47c25293e868,ordinal,2,1.0,1.0,[],NA,NA,1.0,3,10,NA,"How difficult was this task for you, on the whole?",2
100036,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,0467c2ca-2b15-4a24-b1cc-e796e77ccd65,c28a5a5f-da41-4fb1-9fd5-e50eed4642c6,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,14,9ee3d72c-5c95-40a6-9663-afcd156bcdc1,ordinal,8,1.0,1.0,[],NA,NA,1.0,3,10,NA,"How confident are you about your answers, on the whole?",8
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,1,69f3fb88-edd7-4c01-bd2c-b165743c682e,ordinal,3,0.981345411102332,0.981345411102332,[],NA,NA,0.981345411102332,5,3,NA,Does the text make any claims with great confidence? Highlight the relevant part.,No
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,2,77fce664-a12c-448d-aac1-5b9715269aea,ordinal,4,1.0,1.0,[],NA,NA,1.0,1,5,NA,To what extent does the confidence seem justified?,Slightly justified
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,5,a8ab9ba4-6aad-4109-8072-52f5a51bbba9,ordinal,3,0.8308796657650243,0.8308796657650243,[],NA,NA,0.8308796657650243,5,3,NA,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,6,8ab7ae5b-336c-4c31-b76e-faa490dd9bf7,ordinal,1,1.0,1.0,[],NA,NA,1.0,5,3,NA,Are any numbers given?,No
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,11,e14ed590-965e-44dc-a2a0-dc3defa196ec,ordinal,3,0.7387138949015927,0.7387138949015927,[],NA,NA,0.7387138949015927,5,4,NA,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,12,57c17127-55a5-4858-826e-e782b019109e,ordinal,2,0.84799690655495,0.84799690655495,[],NA,NA,0.84799690655495,1,5,NA,Does the text acknowledge the possibility of additional evidence that would... (check all that apply):,Challenge the claim
