article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,1,4af1c5a5-650e-4ea3-a8dd-9274cf48016b,ordinal,2,0.8926906350375459,0.8926906350375459,[],NA,NA,0.8926906350375459,6,5,NA,"Knowing everything you know about the world, how *credible* does the article seem to you, overall?",Fairly credible
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,2,5e5c35ea-e965-41c3-921c-0a75f87fc648,ordinal,5,0.7890195072541117,0.7890195072541117,[],NA,NA,0.7890195072541117,6,5,NA,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Not at all biased
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,e517992b-dfb3-4b01-8034-fdedbd2a883f,checklist,1,0.8333333333333334,0.16666666666666663,[],NA,NA,0.8333333333333334,6,11,NA,What type of article is this?,News report
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,b1689186-39bb-4cc3-80b6-859d4bf0d371,checklist,2,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Feature article/In depth analysis
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,2f47d547-9431-4fe3-8d43-631d64acb0af,checklist,3,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Opinion piece/Editorial/Op Ed
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,8a734c5c-a493-4780-88cd-558d6b1282da,checklist,4,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Sponsored piece
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,2990b2dd-ba55-4748-b594-e38f0c820947,checklist,5,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Letter to the Editor
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,0cd2d035-57f4-44da-ac37-64e57e6ae82f,checklist,6,0.16666666666666666,0.8333333333333334,[],NA,NA,0.16666666666666666,6,11,NA,What type of article is this?,Interview
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,0c2ec9f5-ed1d-41af-986a-2986ccf1e791,checklist,7,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Hyper-Partisan
100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,nan,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,a44bbc54-31e6-450f-8abc-67b40add9f93,checklist,8,0.0,1.0,[],NA,NA,0.0,6,11,NA,What type of article is this?,Health News
