,schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
0,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,96bca7a1-0be8-42bf-b9d8-bb03b45ea122,T1.Q1.A1,Metaphorical Language,T1.Q2,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
1,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,67a95b42-1bf4-4b81-9113-3917291ad12f,T1.Q1.A2,Exaggeration,T1.Q3,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
2,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,e313bd30-7fc2-4fe0-8ed4-7f5e1ace50c0,T1.Q1.A3,Scandal (i.e. portrayal of immoral actions/situations/behavior),,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
3,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,b416ceee-7f20-446a-9455-a7439c26b3ba,T1.Q1.A4,Emotional tone (including expletives),"T1.Q5, T1.Q6",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
4,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,11b71a76-0b92-4b01-8924-3aaf44a8dceb,T1.Q1.A5,Shock or surprise,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
5,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,0bddd655-dd94-45d6-b469-86953b983701,T1.Q1.A6,Slang,"T1.Q9, T1.Q10",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
6,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,6834bf4f-3653-4ed4-9c86-e14d90602160,T1.Q1.A7,Typos,T1.Q11,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
7,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,31ca5eb7-5ad0-4e8e-ba4e-5032381f77d4,T1.Q1.A8,Bad grammar,T1.Q11,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
8,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,56a5c548-5d48-42c8-8a7a-da2e8b7c053f,T1.Q1.A9,Misleading or confusing sentence structure,T1.Q11,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
9,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,43b9ac53-eaf0-41b0-95e3-6191481d642f,T1.Q1.A10,Other unnecessary or misleading coloring of language,T1.Q13,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
10,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,8f3c9424-e2a3-42c4-9015-1df33d42a79f,T1.Q1.A11,Colorful but not misleading in any way,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
11,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,061d1a1c-ae3a-4238-bccc-9fb36ae60613,T1.Q1.A12,Other problem with language,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
12,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,b5fa2b57-e26f-4120-bc91-9eff8f492ccd,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,f9a2a481-869c-4620-b727-1eff5be163eb,T1.Q1.A13,Nothing wrong with language,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
