Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,L0,Language,Exaggeration,-2.1620648128589544,"[1565, 1566, 1567, 1568, 1569, 1570, 1571, 1572, 1573, 1574, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1586, 1587, 1588, 1589, 1590, 1591, 1592, 1593, 1594, 1595, 1596, 1597, 1598]",1565,1599,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Inappropriate confidence,-0.33903595255631885,"[1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653]",1646,1653,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Inappropriate confidence,0,"[1850, 1851, 1852, 1853, 1854, 1855, 1856, 1857, 1858, 1859, 1860, 1861, 1862]",1850,1862,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Inappropriate confidence,0,"[1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2051, 2052, 2053, 2054, 2055, 2056, 2057, 2058, 2059, 2060, 2061, 2062, 2063, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2099, 2100, 2101, 2102, 2103]",1930,2104,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Inappropriate confidence,-0.35660654468232106,"[1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345]",1326,1346,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Inappropriate confidence,-0.8390359525563189,"[2765, 2766, 2767, 2768, 2769, 2770, 2771, 2772, 2773, 2774, 2775, 2776, 2777, 2778, 2779, 2780, 2781, 2782, 2783, 2784, 2785, 2786, 2787, 2788, 2789, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798, 2799, 2800, 2801, 2802, 2803, 2804, 2805, 2806, 2807, 2808, 2809, 2810, 2811, 2812, 2813, 2814, 2815, 2816, 2817, 2818, 2819, 2820, 2821, 2822, 2823, 2824]",2765,2825,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0.5932363806085086,"[1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341]",1326,1342,likely candidates
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0.1836917486188659,"[1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653, 1654, 1655, 1656, 1657, 1658]",1646,1658,probably will//will need weeks//If//There are such areas//In the worst case
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0,"[1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776]",1762,1776,probably will//will need weeks//If//There are such areas//In the worst case
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0,"[2211, 2212]",2211,2212,probably will//will need weeks//If//There are such areas//In the worst case
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0,"[2343, 2344, 2345, 2346, 2347, 2348, 2349, 2350, 2351, 2352, 2353, 2354, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 2362]",2343,2362,probably will//will need weeks//If//There are such areas//In the worst case
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Acknowledges uncertainty,0,"[2440, 2441, 2442, 2443, 2444, 2445, 2446, 2447, 2448, 2449, 2450, 2451, 2452, 2453, 2454, 2455]",2440,2456,probably will//will need weeks//If//There are such areas//In the worst case
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,-1.6617593315300483,[],-1,-1,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,-0.5535250128471734,"[1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653]",1646,1653,probably//will need weeks to get the final results confirming the existence of the disease//could//can carry
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,0,"[1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778, 1779, 1780, 1781, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818, 1819, 1820, 1821, 1822, 1823, 1824, 1825, 1826, 1827, 1828, 1829, 1830, 1831, 1832, 1833, 1834, 1835, 1836, 1837, 1838, 1839, 1840, 1841]",1762,1841,probably//will need weeks to get the final results confirming the existence of the disease//could//can carry
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,0,"[1850, 1851, 1852, 1853, 1854]",1850,1854,probably//will need weeks to get the final results confirming the existence of the disease//could//can carry
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2013,2021,probably//will need weeks to get the final results confirming the existence of the disease//could//can carry
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Doesn’t acknowledge uncertainty,-1.1054483912493094,[],-1,-1,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Open to evidence,0.3370903573282566,"[1092, 1093, 1094, 1095, 1096, 1097, 1098]",1092,1098,"depends//this type of transformation//but other pathogens, such as the severe acute respiratory syndrome coronavirus and some influenza strains will have the same properties, ""the Portuguese newspaper quoted Visao as saying"
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Open to evidence,0,"[1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374]",1348,1374,"depends//this type of transformation//but other pathogens, such as the severe acute respiratory syndrome coronavirus and some influenza strains will have the same properties, ""the Portuguese newspaper quoted Visao as saying"
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,P0,Probability,Open to evidence,0,"[1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1389, 1390, 1391, 1392, 1393, 1394, 1395, 1396, 1397, 1398, 1399, 1400, 1401, 1402, 1403, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475, 1476, 1477, 1478, 1479, 1480, 1481, 1482, 1483, 1484, 1485, 1486, 1487, 1488, 1489, 1490, 1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499, 1500, 1501, 1502, 1503, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1511, 1512, 1513, 1514, 1515, 1516, 1517, 1518, 1519, 1520, 1521, 1522, 1523, 1524, 1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542, 1543, 1544, 1545, 1546, 1547, 1548, 1549, 1550, 1551, 1552, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560]",1377,1561,"depends//this type of transformation//but other pathogens, such as the severe acute respiratory syndrome coronavirus and some influenza strains will have the same properties, ""the Portuguese newspaper quoted Visao as saying"
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,R0,Reasoning,Stereotyping,-2.0,[],-1,-1,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,R0,Reasoning,Other misleading reasoning,-2.5993613220889418,"[2488, 2489, 2490, 2491, 2492, 2493, 2494, 2495, 2496, 2497, 2498, 2499, 2500, 2501, 2502, 2503, 2504, 2505, 2506, 2507, 2508, 2509, 2510, 2511, 2512, 2513, 2514, 2515, 2516, 2517, 2518, 2519, 2520, 2521, 2522, 2523, 2524, 2525, 2526, 2527, 2528, 2529, 2530, 2531, 2532, 2533, 2534, 2535, 2536, 2537, 2538, 2539, 2540, 2541, 2542, 2543, 2544, 2545, 2546, 2547, 2548, 2549, 2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 2569, 2570, 2571, 2572, 2573, 2574, 2575, 2576, 2577, 2578, 2579, 2580, 2581, 2582, 2583, 2584, 2585, 2586, 2587, 2588, 2589, 2590, 2591, 2592, 2593, 2594, 2595, 2596, 2597, 2598, 2599, 2600, 2601, 2602, 2603, 2604, 2605, 2606, 2607, 2608, 2609, 2610, 2611, 2612, 2613, 2614, 2615, 2616, 2617, 2618, 2619, 2620, 2621, 2622, 2623, 2624, 2625, 2626, 2627, 2628, 2629, 2630]",2488,2631,"from ten to several hundred million Westerners will become infected with this disease , and the number of deaths will amount to tens of millions"
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,R0,Reasoning,Other misleading reasoning,-2.2344542893275063,[],-1,-1,"there will be a degradation of vital infrastructure, there will be economic losses on a global scale"
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,R0,Reasoning,Other misleading reasoning,-1.5,[],-1,-1,nan
raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,R0,Reasoning,Begging the Question,-2.0,[],-1,-1,nan
