Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,-3.1799883995810623,"[813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826]",813,827,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,-2.1199922663873747,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,-0.1783032723411605,"[771, 772, 773, 774, 775, 776, 777, 778]",771,778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,0,"[1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777]",1769,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,-0.9674820326231568,"[771, 772, 773, 774, 775, 776, 777, 778]",771,778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,0,"[1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777]",1769,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.31482811460187604,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.414317304999748,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,P0,Probability,Inappropriate confidence,-0.713213089364642,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,P0,Probability,Acknowledges uncertainty,0.8829299862884445,"[301, 302, 303, 304]",301,305,might
,,,,,,,,
