Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Inappropriate slang,-0.4239984532774749,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Denigration,-0.5,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Writing errors,-1.6951797627815943,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Well-balanced,0.40367746102880203,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Well-balanced,0.5,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,L0,Language,Well-balanced,0.40367746102880203,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,P0,Probability,Inappropriate confidence,-0.631517202916897,"[485, 486, 487, 488, 489, 490, 491, 492, 493, 494]",485,495,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,P0,Probability,Doesn’t acknowledge uncertainty,-1.6041849272347897,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,P0,Probability,Doesn’t acknowledge uncertainty,-2.0,[],-1,-1,nan
86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,P0,Probability,Doesn’t acknowledge uncertainty,-1.6041849272347897,[],-1,-1,nan
,,,,,,,,
