Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Metaphor unhelpful,-1.6959938131098995,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,-0.21199922663873744,"[1769, 1770, 1771, 1772]",1769,1772,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,0,"[1774, 1775, 1776, 1777]",1774,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,-0.403677461028802,"[1769, 1770, 1771, 1772]",1769,1772,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,0,"[1774, 1775, 1776, 1777]",1774,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Writing errors,-1.25,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.403677461028802,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.5,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,-2.5,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,-1.25,"[813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826, 827]",813,827,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,0,"[847, 848, 849, 850, 851]",847,851,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Exaggeration,0,"[957, 958, 959, 960, 961, 962, 963, 964, 965]",957,966,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,-4.5,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,-3.0,"[813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826, 827, 828, 829, 830, 831, 832, 833, 834, 835, 836, 837, 838, 839, 840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857, 858, 859, 860, 861, 862]",813,862,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,0,"[993, 994, 995, 996, 997, 998, 999, 1000]",993,1000,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,0,"[1556, 1557, 1558, 1559, 1560, 1561, 1562]",1556,1563,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Writing errors,-2.5,[],-1,-1,nan
,,,,,,,,
