Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,-4.890792267633891,"[295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353]",295,353,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,0,"[638, 639, 640, 641, 642, 643, 644, 645]",638,645,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,0,"[748, 749, 750, 751, 752, 753]",748,753,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,0,"[786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798]",786,799,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Inappropriately emotional,-5.315299503047469,"[198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291]",198,291,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Inappropriately emotional,0,"[744, 745, 746, 747, 748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798]",744,799,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.43820695793375297,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.43820695793375297,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.40367746102880203,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.4075060212390804,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.8150120424781608,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.8150120424781608,[],-1,-1,nan
,,,,,,,,
