Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Metaphor unhelpful,-1.4562804815107255,"[844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857, 858, 859, 860, 861, 862, 863, 864, 865, 866, 867, 868, 869, 870, 871, 872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889, 890, 891, 892, 893, 894, 895, 896, 897, 898, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909]",844,909,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Metaphor unhelpful,0,"[1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222]",1215,1223,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Exaggeration,-2.542769644172392,"[591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669]",591,670,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriately emotional,-3.8159860794972764,"[369, 370]",369,370,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriately emotional,0,"[416, 417, 418, 419, 420, 421, 422]",416,422,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriately emotional,0,"[615, 616]",615,617,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriate slang,-0.5085539288344783,"[5463, 5464, 5465, 5466, 5467, 5468, 5469, 5470]",5463,5471,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriate slang,-0.42399845327747504,"[5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 5206, 5207, 5208, 5209, 5210, 5211, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5219, 5220, 5221, 5222, 5223, 5224, 5225, 5226, 5227, 5228, 5229, 5230, 5231, 5232, 5233, 5234, 5235, 5236, 5237, 5238, 5239, 5240, 5241, 5242, 5243, 5244, 5245, 5246, 5247, 5248, 5249]",5115,5250,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Inappropriate slang,-0.42399845327747504,"[518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582]",518,583,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Denigration,-0.3219280948873624,"[5463, 5464, 5465, 5466, 5467, 5468, 5469, 5470]",5463,5471,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Denigration,-0.4387218755408672,"[518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582]",518,583,nan
raw_30c87020bba7064b93bf74559d8ba394ef83b1b4d84f1308fc4f77ba3b1099a140,L0,Language,Denigration,-0.25,"[5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 5206, 5207, 5208, 5209, 5210, 5211, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5219, 5220, 5221, 5222, 5223, 5224, 5225, 5226, 5227, 5228, 5229, 5230, 5231, 5232, 5233, 5234, 5235, 5236, 5237, 5238, 5239, 5240, 5241, 5242, 5243, 5244, 5245, 5246, 5247, 5248, 5249]",5115,5250,nan
,,,,,,,,
