Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Metaphor unhelpful,-2.034215715337913,"[247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314]",247,314,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Metaphor unhelpful,0,"[590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611]",590,611,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Metaphor unhelpful,0,"[2750, 2751, 2752, 2753, 2754, 2755, 2756, 2757, 2758, 2759, 2760, 2761, 2762, 2763, 2764, 2765, 2766]",2750,2766,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Metaphor unhelpful,0,"[4496, 4497, 4498, 4499, 4500, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4512, 4513, 4514]",4496,4515,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Exaggeration,-2.1199922663873747,"[247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261]",247,261,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Exaggeration,0,"[590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611]",590,611,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Exaggeration,0,"[2750, 2751, 2752, 2753, 2754, 2755, 2756]",2750,2756,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Exaggeration,0,"[4496, 4497, 4498, 4499, 4500, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4512, 4513, 4514]",4496,4515,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Inappropriately emotional,-3.815986079497274,"[247, 248, 249, 250, 251, 252, 253]",247,253,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Inappropriately emotional,0,"[590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611]",590,611,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Inappropriately emotional,0,"[2750, 2751, 2752, 2753, 2754, 2755, 2756]",2750,2756,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Inappropriately emotional,0,"[4496, 4497, 4498, 4499, 4500]",4496,4501,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Well-balanced,0.0,[],-1,-1,nan
3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,L0,Language,Well-balanced,0.0,[],-1,-1,nan
,,,,,,,,
