Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,L0,Language,Metaphor unhelpful,-1.6959938131098995,[],-1,-1,nan
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,L0,Language,Inappropriate slang,-0.5085539288344783,[],-1,-1,nan
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,L0,Language,Denigration,-0.25,[],-1,-1,nan
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,O0,Overall,Very Biased,-1.3814105385399311,[],-1,-1,nan
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,O0,Overall,Good Title,0.6836742566545242,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]",7,66,Doctor Tells CNN Trump’s Walter Reed Medical Visit Was Fishy
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,O0,Overall,Celebrity Gossip,-3.929855326611136,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]",7,66,Doctor Tells CNN Trump’s Walter Reed Medical Visit Was Fishy//regarding Mr. Trump’s physical health
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,O0,Overall,Celebrity Gossip,0,"[157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192]",157,193,Doctor Tells CNN Trump’s Walter Reed Medical Visit Was Fishy//regarding Mr. Trump’s physical health
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,R0,Reasoning,Just World Fallacy,nan,"[539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644]",539,644,"He said that if a president has medical issues that is usually done by doctors on duty at the White House and there isn’t a need to go to the hospital//I MEAN TYPICALLY EVEN WITH THIS WHITE HOUSE, WE’VE GOTTEN PLENTY OF NOTICE IN THE PAST THAT THE PRESIDENT WAS GOING TO BE GETTING A PHYSICAL EXAM//THAT IT WAS GOING TO TAKE PLACE AT WALTER REED, WHICH IT HAS IN THE PAST"
ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,R0,Reasoning,Just World Fallacy,0,"[647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 675, 676, 677, 678, 679, 680, 681, 682, 683, 684, 685, 686, 687, 688, 689, 690, 691, 692, 693, 694, 695, 696, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 709, 710, 711, 712, 713, 714, 715, 716, 717, 718, 719, 720, 721, 722, 723, 724, 725, 726, 727, 728, 729, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 747, 748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796]",647,796,"He said that if a president has medical issues that is usually done by doctors on duty at the White House and there isn’t a need to go to the hospital//I MEAN TYPICALLY EVEN WITH THIS WHITE HOUSE, WE’VE GOTTEN PLENTY OF NOTICE IN THE PAST THAT THE PRESIDENT WAS GOING TO BE GETTING A PHYSICAL EXAM//THAT IT WAS GOING TO TAKE PLACE AT WALTER REED, WHICH IT HAS IN THE PAST"
