,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Key Question,answer_uuid_x,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid_y,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Overall,2,,ordinal,2,-2.0,Very Biased,,,41,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.6907052692699656,0.6907052692699656,[],nan,nan,0.6907052692699656,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.3814105385399311,Overall
1,Overall,2,,ordinal,2,-2.0,Very Biased,,,21,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.625379026507187,0.625379026507187,[],nan,nan,0.625379026507187,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.250758053014374,Overall
2,Overall,2,,ordinal,5,1.0,Circumspect,,,1,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,5e5c35ea-e965-41c3-921c-0a75f87fc648,ordinal,5,0.7890195072541117,0.7890195072541117,[],nan,nan,0.7890195072541117,6,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Not at all biased,True,0.7890195072541117,Overall
3,Overall,6,,ordinal,1,2.0,Good Title,,,58,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.9624020749541876,0.9624020749541876,"[62, 63, 64, 65, 66]",0.14596923076923074,-0.06806519367454533,0.5541856528617093,5,5,Fishy,Does the title match the text?,"Yes, without exaggeration",True,1.1083713057234186,Overall
4,Overall,6,,ordinal,1,2.0,Good Title,,,38,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.8540536313144019,0.8540536313144019,[],nan,nan,0.8540536313144019,5,5,nan,Does the title match the text?,"Yes, without exaggeration",True,1.7081072626288039,Overall
5,Overall,6,,ordinal,1,2.0,Good Title,,,18,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,1.0,1.0,[],nan,nan,1.0,6,5,nan,Does the title match the text?,"Yes, without exaggeration",True,2.0,Overall
6,Overall,3,,checklist,10,-10.0,Celebrity Gossip,,,51,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,checklist,10,0.8,0.2,L,L,L,0.4,5,11,nan,What type of article is this?,Celebrity Gossip,True,-4.0,Overall
0,Overall,2,,ordinal,2,-2.0,Very Biased,,,41,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.6907052692699656,0.6907052692699656,[],nan,nan,0.6907052692699656,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.3814105385399311,Overall
1,Overall,2,,ordinal,2,-2.0,Very Biased,,,21,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.625379026507187,0.625379026507187,[],nan,nan,0.625379026507187,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.250758053014374,Overall
2,Overall,2,,ordinal,5,1.0,Circumspect,,,1,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,5e5c35ea-e965-41c3-921c-0a75f87fc648,ordinal,5,0.7890195072541117,0.7890195072541117,[],nan,nan,0.7890195072541117,6,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Not at all biased,True,0.7890195072541117,Overall
3,Overall,6,,ordinal,1,2.0,Good Title,,,58,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.9624020749541876,0.9624020749541876,"[62, 63, 64, 65, 66]",0.14596923076923074,-0.06806519367454533,0.5541856528617093,5,5,Fishy,Does the title match the text?,"Yes, without exaggeration",True,1.1083713057234186,Overall
4,Overall,6,,ordinal,1,2.0,Good Title,,,38,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.8540536313144019,0.8540536313144019,[],nan,nan,0.8540536313144019,5,5,nan,Does the title match the text?,"Yes, without exaggeration",True,1.7081072626288039,Overall
5,Overall,6,,ordinal,1,2.0,Good Title,,,18,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,1.0,1.0,[],nan,nan,1.0,6,5,nan,Does the title match the text?,"Yes, without exaggeration",True,2.0,Overall
6,Overall,3,,checklist,10,-10.0,Celebrity Gossip,,,51,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,checklist,10,0.8,0.2,L,L,L,0.4,5,11,nan,What type of article is this?,Celebrity Gossip,True,-4.0,Overall
0,Overall,2,,ordinal,2,-2.0,Very Biased,,,41,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.6907052692699656,0.6907052692699656,[],nan,nan,0.6907052692699656,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.3814105385399311,Overall
1,Overall,2,,ordinal,2,-2.0,Very Biased,,,21,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0ca38e4b-7559-4aa7-ab44-868f49244d12,ordinal,2,0.625379026507187,0.625379026507187,[],nan,nan,0.625379026507187,5,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Very biased,True,-1.250758053014374,Overall
2,Overall,2,,ordinal,5,1.0,Circumspect,,,1,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,5e5c35ea-e965-41c3-921c-0a75f87fc648,ordinal,5,0.7890195072541117,0.7890195072541117,[],nan,nan,0.7890195072541117,6,5,nan,"Given everything you know about the world, how *biased* does the article seem to you, overall?",Not at all biased,True,0.7890195072541117,Overall
3,Overall,6,,ordinal,1,2.0,Good Title,,,58,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.9624020749541876,0.9624020749541876,"[62, 63, 64, 65, 66]",0.14596923076923074,-0.06806519367454533,0.5541856528617093,5,5,Fishy,Does the title match the text?,"Yes, without exaggeration",True,1.1083713057234186,Overall
4,Overall,6,,ordinal,1,2.0,Good Title,,,38,100040,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,6375834d-682b-489b-8000-b6c6e60c45f9,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,0.8540536313144019,0.8540536313144019,[],nan,nan,0.8540536313144019,5,5,nan,Does the title match the text?,"Yes, without exaggeration",True,1.7081072626288039,Overall
5,Overall,6,,ordinal,1,2.0,Good Title,,,18,100041,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,34429049-6872-4f6c-b569-ef68127979a4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d7210ff0-aa4a-4d74-8682-4816668dfabc,ordinal,1,1.0,1.0,[],nan,nan,1.0,6,5,nan,Does the title match the text?,"Yes, without exaggeration",True,2.0,Overall
6,Overall,3,,checklist,10,-10.0,Celebrity Gossip,,,51,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,checklist,10,0.8,0.2,L,L,L,0.4,5,11,nan,What type of article is this?,Celebrity Gossip,True,-4.0,Overall
