Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,-3.113404747927847,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",7,22,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Exaggeration,-3.802539265004168,"[295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352]",295,353,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Inappropriately emotional,-5.315299503047469,"[791, 792, 793, 794, 795, 796, 797, 798]",791,799,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Inappropriate slang,-0.75,"[2855, 2856, 2857, 2858, 2859, 2860, 2861, 2862, 2863, 2864, 2865, 2866]",2855,2867,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Denigration,-0.5424812503605781,"[2855, 2856, 2857, 2858, 2859, 2860, 2861, 2862, 2863, 2864, 2865, 2866]",2855,2867,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.0,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.0,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.0,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.0,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.8150120424781608,[],-1,-1,nan
4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,L0,Language,Well-balanced,0.8150120424781608,[],-1,-1,nan
,,,,,,,,
