Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Metaphor unhelpful,-0.8648259251435817,"[771, 772, 773, 774, 775, 776, 777]",771,778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,-3.534215715337913,"[813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826, 827]",813,827,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,0,"[993, 994, 995, 996, 997, 998]",993,998,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriately emotional,0,"[1556, 1557, 1558, 1559, 1560, 1561, 1562]",1556,1563,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,-0.2256443238394881,"[771, 772, 773, 774, 775, 776, 777, 778]",771,778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Inappropriate slang,0,"[1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777]",1769,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,-0.4075060212390804,"[771, 772, 773, 774, 775, 776, 777, 778]",771,778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Denigration,0,"[1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777]",1769,1778,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.0,[],-1,-1,nan
832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,L0,Language,Well-balanced,0.0,[],-1,-1,nan
,,,,,,,,
