Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Exaggeration,-2.5,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Exaggeration,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,-0.75,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Inappropriate slang,-0.1783032723411605,"[1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626]",1606,1627,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,-0.25,"[1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626]",1606,1627,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,-0.25,"[301, 302, 303, 304, 305, 306, 307, 308, 309]",301,309,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Denigration,0,"[435, 436, 437, 438, 439, 440]",435,441,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Writing errors,-1.25,[],-1,-1,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Well-balanced,0.0,[],-1,-1,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Well-balanced,0.0,[],-1,-1,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Well-balanced,0.0,[],-1,-1,nan
95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,L0,Language,Well-balanced,0.0,[],-1,-1,nan
,,,,,,,,
